seed,abstraction,n_pairs,n_train,n_test,effective_regimes,final_train_error,monotone_history,sigma_rbf,distance_scale,seed_seconds
0,kahkm_folding_nlms,1600,1200,400,20,0.0018778350818338364,1,0.15596728889248218,0.34539094161759654,1.5303831100463867
0,kmeans_hard_nlms,1600,1200,400,20,0.11548387472228275,0,0.15596728889248218,0.34539094161759654,1.5324931144714355
0,kmeans_distance_nlms,1600,1200,400,20,0.09988124743685498,0,0.15596728889248218,0.34539094161759654,1.5344960689544678
0,kmeans_rbf_nlms,1600,1200,400,20,0.032922926068397314,0,0.15596728889248218,0.34539094161759654,1.5365402698516846
1,kahkm_folding_nlms,1600,1200,400,20,0.0017329172905895362,1,0.15552112377792068,0.3631406905607991,1.369591236114502
1,kmeans_hard_nlms,1600,1200,400,20,0.11814966425559163,0,0.15552112377792068,0.3631406905607991,1.371772050857544
1,kmeans_distance_nlms,1600,1200,400,20,0.09199738550788876,0,0.15552112377792068,0.3631406905607991,1.3738739490509033
1,kmeans_rbf_nlms,1600,1200,400,20,0.03338465897227348,0,0.15552112377792068,0.3631406905607991,1.375952959060669
2,kahkm_folding_nlms,1600,1200,400,20,0.0026614042466218788,1,0.15957947742283637,0.3454785724262603,1.3814189434051514
2,kmeans_hard_nlms,1600,1200,400,20,0.1153272596209464,0,0.15957947742283637,0.3454785724262603,1.3835768699645996
2,kmeans_distance_nlms,1600,1200,400,20,0.09800000850026562,0,0.15957947742283637,0.3454785724262603,1.3856480121612549
2,kmeans_rbf_nlms,1600,1200,400,20,0.031959103091912265,0,0.15957947742283637,0.3454785724262603,1.3877229690551758
