centered_rank,n_clusters,omega,selection_horizons,n_runs,mean_centered_error,mean_multihorizon_r2,centered_error_sd,centered_error_se,target_normalized_association_variation_mean,target_normalized_association_variation_std,target_association_effective_rank_mean,target_association_effective_rank_std,target_normalized_association_effective_rank_mean,target_normalized_association_effective_rank_std,inside_centered_one_se_set,selected_by_centered_retvar_rule,centered_best_mean_error,centered_best_standard_error,centered_one_se_limit
1,25,6.0,1 10 50 100 200,3,0.11151195624733601,0.888488043752664,0.005881290242164794,0.0033955645044961634,0.354489274725765,0.003768009210585705,14.261084877525477,0.11340772270033128,0.5942118698968949,0.004725321779180474,1,1,0.11151195624733601,0.0033955645044961634,0.11490752075183217
2,30,6.0,1 10 50 100 200,3,0.11352030467960574,0.8864796953203943,0.005172699867892817,0.0029864596611650597,0.3218918718849171,0.002100149679207831,15.582313804978233,0.1867529946954425,0.5373211656889046,0.00643975843777386,1,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217
3,20,4.0,1 10 50 100 200,3,0.11353909259502364,0.8864609074049764,0.01083047407674583,0.006252977123660469,0.27198735830540666,0.00476130056330269,10.416597889244649,0.2333039514487348,0.548241994170771,0.012279155339407133,1,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217
4,30,8.0,1 10 50 100 200,3,0.1159632316480448,0.8840367683519552,0.008133722395750977,0.0046960068147005145,nan,nan,nan,nan,nan,nan,0,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217
5,25,4.0,1 10 50 100 200,3,0.11694225365141603,0.883057746348584,0.005501236394482615,0.003176140313230304,nan,nan,nan,nan,nan,nan,0,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217
6,40,8.0,1 10 50 100 200,3,0.11918706026524141,0.8808129397347586,0.004436102487578961,0.0025611849653564816,nan,nan,nan,nan,nan,nan,0,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217
7,15,2.0,1 10 50 100 200,3,0.11946917116489948,0.8805308288351005,0.004073840472954819,0.0023520328936960573,nan,nan,nan,nan,nan,nan,0,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217
8,50,12.0,1 10 50 100 200,3,0.12135968346344304,0.8786403165365569,0.000976853046994969,0.0005639863696412516,nan,nan,nan,nan,nan,nan,0,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217
9,10,2.0,1 10 50 100 200,3,0.12694359940929556,0.8730564005907044,0.004242890328483949,0.002449633873292268,nan,nan,nan,nan,nan,nan,0,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217
10,40,6.0,1 10 50 100 200,3,0.12885705631387753,0.8711429436861224,0.005115526285298351,0.0029534504778636096,nan,nan,nan,nan,nan,nan,0,0,0.11151195624733601,0.0033955645044961634,0.11490752075183217
