experiment,seed,n_steps,dt,mu,n_clusters,effective_regimes,omega,tau,beta,nlms_epochs,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,1,400,0.00032065183762647245,0.995828344204935,6.661338147750939e-16
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,10,391,0.005227062431022409,0.9323975862486074,4.6629367034256575e-15
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,50,351,0.026042510571343786,0.6771660861263027,2.0650148258027912e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,100,301,0.03696526263320246,0.5264478633466425,3.064215547965432e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,200,201,0.04403978081528595,0.3102815873953394,3.019806626980426e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,1,400,0.00042925250759031665,0.9943661773931654,6.661338147750939e-16
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,10,391,0.006362711788423673,0.9169004005004082,4.218847493575595e-15
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,50,351,0.027923263607876097,0.6485697918807437,1.5654144647214707e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,100,301,0.04315655179117091,0.4407404718166965,2.4424906541753444e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,200,201,0.055358120171480875,0.12172473261768124,3.352873534367973e-14
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,1,400,0.0003474063736464858,0.995368694946526,7.771561172376096e-16
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,10,391,0.005495852990920193,0.9270702045497738,5.218048215738236e-15
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,50,351,0.02596879394764356,0.6688931788876862,2.2426505097428162e-14
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,100,301,0.037069788851384324,0.5108485329641653,4.6629367034256575e-14
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,0.5,1e-06,0.1,20,200,201,0.0414746997271733,0.3541599040044381,6.52811138479592e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,1,400,0.0008157912522328375,0.9968318376569777,8.881784197001252e-16
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,10,391,0.010927411051058135,0.9578008429410925,0.0010576311052972877
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,50,351,0.04173394264473,0.8442496911808408,3.2862601528904634e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,100,301,0.05321646654468525,0.7955885717121063,0.0005493768719791491
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,200,201,0.0559155189829726,0.7389426448112715,6.23945339839338e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,1,400,0.0009602693422344305,0.9962605052834864,8.881784197001252e-16
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,10,391,0.012506572741281127,0.9515483023167252,5.329070518200751e-15
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,50,351,0.045975555446396636,0.8273581963533717,1.6431300764452317e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,100,301,0.06450921832846349,0.7514060903353157,2.1316282072803006e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,200,201,0.07207656147185217,0.6624191418083795,2.1538326677728037e-14
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,1,400,0.000937407329045607,0.9963225548934265,6.661338147750939e-16
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,10,391,0.011525784175952934,0.9549630373392127,0.0018110347942143779
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,50,351,0.04041163993718395,0.8474251098966363,0.001373937778629407
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,100,301,0.05102079444503897,0.8017076312929861,0.0010673238627033708
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,1.0,1e-06,0.1,20,200,201,0.05782186453213976,0.733788577370635,2.2537527399890678e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,1,400,0.0012553855304926367,0.9978021860916485,0.00029810487567309034
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,10,391,0.019151854225329352,0.9666858682540793,0.03841861816943135
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,50,351,0.07752002270468017,0.8688133081071898,0.05402520248338501
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,100,301,0.11614394781263887,0.7972641081423277,0.055639094180019937
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,200,201,0.12227064739486614,0.7507549081625509,0.06026371953435249
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,1,400,0.0013368581293907722,0.9976560724080621,1.7763568394002505e-15
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,10,391,0.02041436170789539,0.9644379637605811,0.03242393721370437
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,50,351,0.08116093678615406,0.8624392549790247,0.06140729198925613
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,100,301,0.12252054697245972,0.786473929904459,0.06442098595209221
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,200,201,0.13260201586790926,0.7302202943556837,0.059333984287310446
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,1,400,0.001483014462193809,0.99740291641419,0.0004626148854493513
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,10,391,0.020000418329918515,0.9651566404758168,0.032971237869829785
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,50,351,0.07731857561743935,0.8689837738498348,0.06877659086470508
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,100,301,0.11638011119603967,0.7968177679995438,0.06942243330380911
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,2.0,1e-06,0.1,20,200,201,0.12682703019188776,0.7449370159555744,0.06611678883052041
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,1,400,0.0015790230145509775,0.9979064661639502,0.010344194970484102
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,10,391,0.055484664461971436,0.9269144216810514,0.10720072723421366
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,50,351,0.16414291401332828,0.7889553168899389,0.14091070248510149
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,100,301,0.22911319121265278,0.6961919674811052,0.1383314675878625
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,200,201,0.26810242854231114,0.6046258086954748,0.09207173244289175
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,1,400,0.001642327476649793,0.9978180055755523,0.009581841742977885
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,10,391,0.05694754240591653,0.9248416636610968,0.10845126449012327
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,50,351,0.16917994802618921,0.7823341082838278,0.13966365898332259
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,100,301,0.23807246739651516,0.6849815029491174,0.1356311489490845
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,200,201,0.28052969164893166,0.5866252757325285,0.08301464325542093
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,1,400,0.0016574522872245935,0.9978112544027599,0.010778424370362085
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,10,391,0.05244437663080088,0.9311511764050702,0.11223467716722622
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,50,351,0.15492115204129833,0.8010589283911997,0.1400781103304589
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,100,301,0.22337888190771824,0.7044838156255555,0.14075192790413754
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,200,201,0.2646854492421463,0.6140228092053366,0.11160908128829967
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,1,400,0.0025445893658018748,0.9968077422166532,0.019245502308048817
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,10,391,0.11347025456620663,0.8584668444433098,0.13187967001033446
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,50,351,0.25761091856307977,0.6857056191841123,0.11005090423653431
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,100,301,0.32642582232856,0.5906571552159922,0.10526585801010788
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,200,201,0.4162877669947258,0.431132964895539,0.04211903489841953
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,1,400,0.0025960730631340388,0.9967360595695006,0.01992960847476944
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,10,391,0.11511514532091537,0.8561146802013424,0.1337384386770627
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,50,351,0.2628410794341769,0.6791200873383342,0.10935176918939259
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,100,301,0.33580571013546145,0.5795772387617966,0.10611390965219672
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,200,201,0.42653488063577644,0.41670731049104914,0.04045500641291565
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,1,400,0.0025017219395952507,0.9968733788496195,0.02111146313887212
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,10,391,0.10711729177792147,0.866865108462473,0.139612717498116
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,50,351,0.24153054040307673,0.7057153108391523,0.11159133948554423
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,100,301,0.3150239845137501,0.605713716063321,0.10733422354569878
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,6.0,1e-06,0.1,20,200,201,0.4086367443507094,0.44662785819250184,0.046854541059594926
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,1,400,0.0037620531048262558,0.9953947874185497,0.02206906513882821
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,10,391,0.16697003626578497,0.7966472564826804,0.1244913575980445
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,50,351,0.3487512450086555,0.5838996420729781,0.07812504908365023
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,100,301,0.4309221680546645,0.4729557524740653,0.06891663434428104
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,200,201,0.5564189798061008,0.26578228391776615,0.018697655821478313
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,1,400,0.0038044751629966495,0.9953321125910608,0.022682498034491475
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,10,391,0.1683674656894327,0.7944798232753036,0.12622442356034078
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,50,351,0.3535505352008614,0.5778612168211827,0.07733392887142082
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,100,301,0.4380157908133919,0.4648628691383707,0.0683297322208843
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,200,201,0.561746909420938,0.25735709873067325,0.01675859957770692
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,1,400,0.0036486317366088614,0.995547138870487,0.023578838146881786
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,8.0,1e-06,0.1,20,10,391,0.15912884017257073,0.8067925754234115,0.13083452285609146
