rank,n_clusters,omega,selection_objective_mean_error,selection_horizons,E1,E10,E50,E100,E200,mean_association_r2_over_selection_horizons,n_selection_horizons_present
1,15,0.5,0.01931177773024743,1 10 50 100 200,0.0004349552857684274,0.005445348076812438,0.027668569785217423,0.03158412161279504,0.031425893890643826,0.6172748322001105,5
2,10,0.5,0.023745447336386054,1 10 50 100 200,0.00036577023962109165,0.005695209070122092,0.026644856042287817,0.0390638677585859,0.046957533571313374,0.6680509037922076,5
3,20,0.5,0.030285759393932347,1 10 50 100 200,0.0005280861765261368,0.007438376223762068,0.04159687486332369,0.05125878610400422,0.050606673602045626,0.3342751413947413,5
4,10,1.0,0.03469031988168453,1 10 50 100 200,0.0009044893078376249,0.011653255989430733,0.042707046009436866,0.0562488264393959,0.061937981662321506,0.8571075156794976,5
5,15,1.0,0.03854043972600725,1 10 50 100 200,0.0012534281854610079,0.011995155612282288,0.0468527547446626,0.06385421312853913,0.06874664695909125,0.8122848246220246,5
6,25,0.5,0.038905867257386845,1 10 50 100 200,0.0007315803094680291,0.010530338896140615,0.05442225447936782,0.06565647882159771,0.06318868378036005,0.11458397106470075,5
7,30,0.5,0.04390708877204999,1 10 50 100 200,0.000906533263029025,0.013032557615917923,0.06275765999454151,0.07432927510164387,0.06850941788511762,-0.04356992698200862,5
8,20,1.0,0.0481967529822277,1 10 50 100 200,0.0017793595304523805,0.01667936728353739,0.06250333852243194,0.07935802535993837,0.08066367421477842,0.7569695758900928,5
9,40,0.5,0.04994911613104903,1 10 50 100 200,0.0012450517405451342,0.018028097422477463,0.0696952117234974,0.0795029678507154,0.08127425191800976,-0.16349764966425206,5
10,50,0.5,0.055446539989774966,1 10 50 100 200,0.0014421092406324482,0.020590465367493937,0.07045356630646031,0.08482043365808213,0.09992612537620599,-0.16849166805881372,5
11,25,1.0,0.05955182379216828,1 10 50 100 200,0.0026264843895781875,0.025211845388663858,0.08209951305371825,0.0931000665592679,0.0947212095696132,0.6976985145795572,5
12,15,2.0,0.06527365518925518,1 10 50 100 200,0.0019257643865806435,0.01612763722274053,0.07086044775628553,0.12155724625892422,0.115897180321745,0.8805308288351006,5
13,10,2.0,0.06909238179528636,1 10 50 100 200,0.0013584193740257394,0.019855544754381085,0.07866651170275786,0.11834820199371275,0.12723323115155438,0.8730564005907044,5
14,20,2.0,0.07527682124049773,1 10 50 100 200,0.003148494692544534,0.02121009866285298,0.08322348242809735,0.1320652076685765,0.13673682275041726,0.8652206461124393,5
15,30,1.0,0.07856804742512327,1 10 50 100 200,0.003390397075454348,0.03327888026477051,0.10880343944322163,0.12120158719897674,0.1261659331431931,0.5949504268923204,5
16,25,2.0,0.0878730112958298,1 10 50 100 200,0.005051310581144522,0.031953540495353906,0.09302825085338891,0.14187377883937036,0.16745817570989133,0.8467825473987363,5
17,20,4.0,0.08883041920944607,1 10 50 100 200,0.0018889676089864325,0.015247138511131547,0.08355032125554995,0.16391436858519937,0.17955130008636302,0.8864609074049763,5
18,25,4.0,0.0941271285439475,1 10 50 100 200,0.0033044611700821526,0.020875909856883323,0.09150367609227024,0.16237682334653603,0.1925747722539658,0.883057746348584,5
19,25,6.0,0.09479297860371277,1 10 50 100 200,0.0023660762728916584,0.020229774613508285,0.09345032826550091,0.1699638850656532,0.1879548288010098,0.888488043752664,5
20,30,6.0,0.09765642168153672,1 10 50 100 200,0.00273289307053578,0.019067014824926305,0.09307482036832242,0.17377045917387282,0.1996369209700263,0.8864796953203943,5
21,15,4.0,0.10063115739440984,1 10 50 100 200,0.0013115754647288547,0.020545875280953852,0.09581849235432323,0.1905344609916142,0.19494538288042906,0.868094421950409,5
22,30,8.0,0.10206579513367839,1 10 50 100 200,0.0031054277408075898,0.02633888064231693,0.10524253351872076,0.17888503472047826,0.19675709904606845,0.8840367683519552,5
23,30,2.0,0.10216571864130286,1 10 50 100 200,0.006689013853609093,0.038605839516791585,0.10921347413081826,0.16457371383430439,0.191746551870991,0.8250325777447228,5
24,40,8.0,0.10632860910049897,1 10 50 100 200,0.003357105222591255,0.021475171841927432,0.10075804935799705,0.18579880729467282,0.22025391178530626,0.8808129397347585,5
25,30,4.0,0.10709782743282362,1 10 50 100 200,0.004253404451593738,0.023745219952045652,0.10175398228857979,0.18257774174875432,0.22315878872314454,0.8690372603186232,5
26,50,12.0,0.11165035160425245,1 10 50 100 200,0.005591500638508654,0.028616494863812403,0.11409030388804196,0.19124792999257856,0.21870552863832068,0.878640316536557,5
27,40,6.0,0.11274524593703124,1 10 50 100 200,0.004138067171926497,0.023356071664207265,0.10537300818560223,0.1926758033465145,0.23818327931690564,0.8711429436861226,5
28,20,6.0,0.11283263003966956,1 10 50 100 200,0.001842992573250654,0.02824489194288413,0.11716574604014596,0.2005557324687696,0.21635378717329748,0.8641857329010341,5
29,25,8.0,0.11509484769271243,1 10 50 100 200,0.0031097593164656156,0.035855183137679075,0.12324125802086731,0.19742772474036938,0.2158403132481808,0.8678772307969487,5
30,40,1.0,0.11601875803840467,1 10 50 100 200,0.005007914139592252,0.05339868526413557,0.16431795503026136,0.17745224223879427,0.17991699351923987,0.40653457102154666,5
31,50,8.0,0.11778972090897817,1 10 50 100 200,0.004325193026455932,0.026169390200718883,0.11236064640702755,0.20327962919736298,0.24281374571332545,0.869249144921781,5
32,40,12.0,0.11798598987462686,1 10 50 100 200,0.005668050341316187,0.03456419737262393,0.12486943681341778,0.19830194782758762,0.2265263170181888,0.8707163773590537,5
33,40,4.0,0.12519372863362827,1 10 50 100 200,0.00718299006851502,0.031387827402292616,0.11929699849806959,0.2044749180515226,0.2636259091477416,0.8504597108618984,5
34,50,6.0,0.12791016211308404,1 10 50 100 200,0.005836361516864441,0.029435386975850016,0.12032500045974369,0.21622246841192974,0.2677315932010323,0.85546956228354,5
35,40,2.0,0.13453653147713188,1 10 50 100 200,0.010710801393564355,0.057986600536918016,0.15172754056282053,0.20694745792029556,0.24531025697206088,0.7763810091234542,5
36,50,1.0,0.13902833778362209,1 10 50 100 200,0.006057839998964493,0.07033057843207352,0.2003996570216968,0.2181755377290134,0.2001780757363623,0.31002706627871546,5
37,30,12.0,0.14061302517457736,1 10 50 100 200,0.006557168089535948,0.06687554275445785,0.16801918490335702,0.2183846475880679,0.24322858253746804,0.8442030806692786,5
38,50,4.0,0.1426914515383325,1 10 50 100 200,0.010013723379363827,0.03974626160212517,0.1385093301221665,0.23239291423649658,0.2927950283515104,0.8319462634160157,5
39,10,4.0,0.14412543402054703,1 10 50 100 200,0.0016262675928084547,0.05495886116622961,0.16274800469360529,0.2301881801722954,0.2711058564777964,0.8026481680762376,5
40,15,6.0,0.14453154274601948,1 10 50 100 200,0.0019418666124863336,0.05279044634639315,0.15345464147942203,0.23837334163820498,0.2760974176535909,0.8221730431076427,5
41,20,8.0,0.14517140409378876,1 10 50 100 200,0.0029635221666520755,0.05711017234943636,0.16430804488774195,0.237139150495144,0.2643361305699694,0.8298758249723142,5
42,50,2.0,0.15096137826821707,1 10 50 100 200,0.01382334306851405,0.07635129080051438,0.18143751172813136,0.22588726798488587,0.25730747775903967,0.752341058737955,5
