experiment,status,seed,n_steps,dt,mu,train_fraction,n_train,n_test,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,train_closure_error,train_association_r2,test_closure_error,test_association_r2,raw_predicted_simplex_violation,projected_stochastic_simplex_violation,nlms_history_first,nlms_history_last,B_raw_spectral_radius,B_raw_min_entry,B_raw_max_entry,B_raw_row_sum_min,B_raw_row_sum_max,fit_seconds,eval_seconds,total_job_seconds,error_message
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,0.5,1e-06,0.1,20,0.00037128120421222726,0.995450303753348,0.00032065183762647245,0.995828344204935,6.661338147750939e-16,4.440892098500626e-16,0.0004155461904562469,0.00037128120421222726,0.9999999999999996,-0.015497493939854093,0.9991909782506777,0.9999999999999968,1.0000000000000062,0.7032678127288818,0.030972003936767578,0.7740650177001953,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,0.5,1e-06,0.1,20,0.0005158466244486478,0.9935448198288086,0.00042925250759031665,0.9943661773931654,6.661338147750939e-16,4.440892098500626e-16,0.0005599475809352953,0.0005158466244486478,1.0000000000000004,-0.015943288960401154,0.9977093034884352,0.9999999999999949,1.0000000000000053,0.619685173034668,0.03686404228210449,0.6933519840240479,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,0.5,1e-06,0.1,20,0.0003940775316579591,0.9950263784993502,0.0003474063736464858,0.995368694946526,7.771561172376096e-16,4.440892098500626e-16,0.0004360289968255285,0.0003940775316579591,1.000000000000001,-0.015661413439398444,0.999020323347595,0.9999999999999929,1.0000000000000053,0.6017560958862305,0.031080961227416992,0.6684589385986328,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,1.0,1e-06,0.1,20,0.0009348284220139381,0.9965247806189423,0.0008157912522328375,0.9968318376569777,8.881784197001252e-16,4.440892098500626e-16,0.001070088986514091,0.0009348284220139381,1.0,-0.030245132794220125,1.0029030151735434,0.9999999999999969,1.0000000000000036,0.593836784362793,0.030694961547851562,0.6601579189300537,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,1.0,1e-06,0.1,20,0.0011249665259353105,0.9957801237776168,0.0009602693422344305,0.9962605052834864,8.881784197001252e-16,4.440892098500626e-16,0.0012604349961029926,0.0011249665259353105,1.0,-0.03048111592181595,0.9998923703818222,0.999999999999996,1.0000000000000038,0.6025731563568115,0.0323939323425293,0.6706042289733887,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,1.0,1e-06,0.1,20,0.001045247699253135,0.996071440861014,0.000937407329045607,0.9963225548934265,6.661338147750939e-16,4.440892098500626e-16,0.001183535251704865,0.001045247699253135,0.9999999999999997,-0.031262643917007324,1.0030946142299075,0.9999999999999963,1.0000000000000029,0.5869219303131104,0.030729055404663086,0.6530380249023438,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,2.0,1e-06,0.1,20,0.0014020877138592968,0.997621460907958,0.0012553855304926367,0.9978021860916485,0.00029810487567309034,4.440892098500626e-16,0.001549101002204068,0.0014020877138592968,0.9999999999999986,-0.048909381753602196,1.0018352952776193,0.9999999999999971,1.0000000000000027,0.5936381816864014,0.030785799026489258,0.6599040031433105,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,2.0,1e-06,0.1,20,0.001501553364858437,0.9974491936005314,0.0013368581293907722,0.9976560724080621,1.7763568394002505e-15,4.440892098500626e-16,0.001647446855826017,0.001501553364858437,1.0000000000000013,-0.04845007404705202,1.0027905142047757,0.9999999999999983,1.000000000000004,0.594390869140625,0.031269073486328125,0.6613421440124512,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,2.0,1e-06,0.1,20,0.0016312483930984007,0.9972327576694792,0.001483014462193809,0.99740291641419,0.0004626148854493513,6.661338147750939e-16,0.0017838335319920236,0.0016312483930984007,1.0000000000000009,-0.05010894025867891,1.0029192000477511,0.9999999999999983,1.000000000000003,0.5955221652984619,0.03089284896850586,0.6619119644165039,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,4.0,1e-06,0.1,20,0.0016095340728655633,0.9979194108228711,0.0015790230145509775,0.9979064661639502,0.010344194970484102,4.440892098500626e-16,0.0015802893292288652,0.0016095340728655633,1.0000000000000004,-0.035196351643339084,0.9969929480555839,0.9999999999999991,1.0000000000000004,0.595400333404541,0.030931949615478516,0.6618821620941162,
