n_clusters,omega,noise_level,weighted_long_horizon_score,E50,E100,E200
10,0.25,0.0,0.016021870307925446,0.013347435040322733,0.01793525378757802,0.016402396201900517
10,0.25,0.005,0.016593305354859037,0.013423846717086454,0.01809281264857442,0.01742828102688764
10,0.25,0.01,0.015226055799196508,0.01128223785453971,0.015993763806791413,0.016814110767727455
10,0.25,0.02,0.01881353510761857,0.012731067916303046,0.01901293546578914,0.021755068524191047
10,0.25,0.05,0.0288146141812015,0.014088672585429174,0.025240337615969638,0.037964723261703595
10,0.5,0.0,0.03990594773587511,0.026644856042287814,0.0390638677585859,0.04695753357131337
10,0.5,0.005,0.04687051013219674,0.0287021970351638,0.04465799667661405,0.05706092340850455
10,0.5,0.01,0.043538153785730845,0.024522564721841406,0.041747843986264827,0.053941103217408574
10,0.5,0.02,0.036883543679535155,0.022280126084469106,0.03465522205907335,0.045299413287299084
10,0.5,0.05,0.05900546057349547,0.02876370531573556,0.0550602352706495,0.0760989508537984
10,1.0,0.0,0.05570795894336895,0.04270704600943686,0.0562488264393959,0.06193798166232151
10,1.0,0.005,0.06717651616980314,0.041062161488414586,0.06502843891377863,0.08130773213850966
10,1.0,0.01,0.057706487894329694,0.039300432224920294,0.06259761776832878,0.06446395079203485
10,1.0,0.02,0.0820794113353018,0.04191267294083534,0.0820417099689405,0.10218163121571569
10,1.0,0.05,0.14440613354803464,0.07890583372349906,0.16548528109163868,0.16661670968850043
10,2.0,0.0,0.11287029399989484,0.07866651170275786,0.11834820199371276,0.12723323115155438
10,2.0,0.005,0.1360392423017217,0.07994921458135693,0.14108411935133142,0.16156181763709923
10,2.0,0.01,0.17823080994658655,0.08465607551706891,0.18018889546726238,0.22403913440100745
10,2.0,0.02,0.17605358116430422,0.0808608351992845,0.16547567592862988,0.22893890676465126
10,2.0,0.05,0.2950678432066672,0.17178920900011235,0.30083702648928345,0.3538225686686365
10,4.0,0.0,0.23378697445537333,0.16274800469360526,0.2301881801722954,0.27110585647779634
10,4.0,0.005,0.2452329467949787,0.17030829645791595,0.2344306177714094,0.2880964364752947
10,4.0,0.01,0.2982782603940635,0.18096153303964144,0.28502279417891324,0.3635643571788497
10,4.0,0.02,0.2938388666693531,0.21101137242262924,0.3145755215406848,0.3248842863570492
10,4.0,0.05,2.3147490165989426,0.46318697251061547,0.9824040155028451,3.9067025391911554
