n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds
10,0.25,0.0,0,1,400,0.00010890908199406006,0.9946673062569543,4.440892098500626e-16,0.00012700564039268527,0.9942233968675802,0.6925740242004395
10,0.25,0.0,0,10,391,0.0021493487667555234,0.895456819016213,2.886579864025407e-15,0.00012700564039268527,0.9942233968675802,0.6925740242004395
10,0.25,0.0,0,50,351,0.013335540522984532,0.382311361549563,1.2212453270876722e-14,0.00012700564039268527,0.9942233968675802,0.6925740242004395
10,0.25,0.0,0,100,301,0.01765163960507043,0.14824511873878787,2.886579864025407e-14,0.00012700564039268527,0.9942233968675802,0.6925740242004395
10,0.25,0.0,0,200,201,0.014997798314310468,0.1278847810938586,1.3988810110276972e-14,0.00012700564039268527,0.9942233968675802,0.6925740242004395
10,0.25,0.0,1,1,400,0.00015262561025398323,0.9924127030553349,6.661338147750939e-16,0.00018523243574262776,0.9913145287280697,0.574052095413208
10,0.25,0.0,1,10,391,0.0026074695790287063,0.871059474851198,3.3306690738754696e-15,0.00018523243574262776,0.9913145287280697,0.574052095413208
10,0.25,0.0,1,50,351,0.01359473935194143,0.3555580031521718,1.4876988529977098e-14,0.00018523243574262776,0.9913145287280697,0.574052095413208
10,0.25,0.0,1,100,301,0.018667740407793586,0.08342909157902667,2.930988785010413e-14,0.00018523243574262776,0.9913145287280697,0.574052095413208
10,0.25,0.0,1,200,201,0.017468556395956694,-0.035696230867592105,3.852473895449293e-14,0.00018523243574262776,0.9913145287280697,0.574052095413208
10,0.25,0.0,2,1,400,0.00011194692277149079,0.9943049203409776,8.881784197001252e-16,0.00013241325108987598,0.99369727404851,0.5748448371887207
10,0.25,0.0,2,10,391,0.00220313848497376,0.8885628208975879,5.551115123125783e-15,0.00013241325108987598,0.99369727404851,0.5748448371887207
10,0.25,0.0,2,50,351,0.013112025246042233,0.36591628705337687,2.1538326677728037e-14,0.00013241325108987598,0.99369727404851,0.5748448371887207
10,0.25,0.0,2,100,301,0.017486381349870034,0.11746223496387531,3.1308289294429414e-14,0.00013241325108987598,0.99369727404851,0.5748448371887207
10,0.25,0.0,2,200,201,0.016740833895434383,0.019203323829851904,3.4861002973229915e-14,0.00013241325108987598,0.99369727404851,0.5748448371887207
10,0.25,0.005,0,1,400,0.00018528833457797446,0.9909095123563317,6.661338147750939e-16,0.0002438401917200448,0.9886258756666031,0.5765550136566162
10,0.25,0.005,0,10,391,0.0033262244640094828,0.8387535706791109,3.9968028886505635e-15,0.0002438401917200448,0.9886258756666031,0.5765550136566162
