rank,n_clusters,omega,robust_weighted_score_mean_over_noise,robust_weighted_score_std_over_noise,E50_mean_over_noise,E100_mean_over_noise,E200_mean_over_noise,E200_max_over_noise,n_noise_levels,selection_weights
1,10,0.25,0.019093876150160213,0.00500442698882964,0.012974652022736224,0.019255020664940527,0.022072915956482052,0.037964723261703595,5,"50:0.25,100:0.25,200:0.5"
2,15,0.25,0.022104876444522987,0.004096068942225281,0.013844770195750575,0.021891145874488444,0.026341794853926466,0.03876673691201182,5,"50:0.25,100:0.25,200:0.5"
3,25,0.25,0.026590478583924226,0.010740645312103593,0.01651111225773482,0.025486001546294663,0.03218240026583371,0.0663501139233384,5,"50:0.25,100:0.25,200:0.5"
4,20,0.25,0.02712596815229567,0.010645992901091233,0.01594719793406684,0.02593279371619244,0.033311940479461705,0.06609088967083258,5,"50:0.25,100:0.25,200:0.5"
5,30,0.25,0.027539677244667115,0.012581611952264015,0.016930709525987298,0.026335072697751587,0.03344646337746479,0.07261123325638959,5,"50:0.25,100:0.25,200:0.5"
6,40,0.25,0.030651482642683636,0.017899376359680506,0.017405371555589435,0.02770803262366524,0.038746263195739934,0.09574003978880646,5,"50:0.25,100:0.25,200:0.5"
7,15,0.5,0.04084310936521856,0.016146439335390603,0.02904037456672202,0.03957198076129476,0.04738004106642872,0.08772544456368966,5,"50:0.25,100:0.25,200:0.5"
8,10,0.5,0.04524072318136666,0.007659310958643382,0.026182689839899537,0.043037033150237526,0.055871584867664796,0.0760989508537984,5,"50:0.25,100:0.25,200:0.5"
9,20,0.5,0.05816441233258607,0.025674505922153486,0.03850880160537021,0.05476283574453507,0.0696930059902195,0.13881186761386852,5,"50:0.25,100:0.25,200:0.5"
10,25,0.5,0.060227465762023424,0.007023070246422557,0.04142411184906452,0.05693583666546817,0.0712749572667805,0.09244237229334136,5,"50:0.25,100:0.25,200:0.5"
11,30,0.5,0.06534734014191901,0.0052732803410875185,0.04689938998302461,0.06548910453585206,0.0745004330243997,0.08665286018583411,5,"50:0.25,100:0.25,200:0.5"
12,40,0.5,0.0773278261576662,0.014959060027412215,0.05400919636964966,0.07621323211267111,0.08954443807417202,0.13616289419041375,5,"50:0.25,100:0.25,200:0.5"
13,10,1.0,0.08141530157816765,0.03284510397477491,0.04877762927742123,0.0862803748364165,0.09530160109941643,0.16661670968850043,5,"50:0.25,100:0.25,200:0.5"
14,15,1.0,0.08994447277661559,0.030829256205520024,0.052739297756466484,0.08802494196951613,0.10950682569023987,0.19449517542672065,5,"50:0.25,100:0.25,200:0.5"
15,20,1.0,0.09330481983438996,0.022120452825729588,0.0616433457890572,0.09063336581620259,0.11047128386615002,0.1803583354819605,5,"50:0.25,100:0.25,200:0.5"
16,25,1.0,0.1014566888092786,0.019566627265998816,0.07458642593416326,0.10106190947014565,0.11508920991640276,0.16814444452731142,5,"50:0.25,100:0.25,200:0.5"
17,30,1.0,0.12346021413901169,0.03850781586379122,0.08913703925096546,0.11861156617396228,0.1430461255655595,0.2608118638818862,5,"50:0.25,100:0.25,200:0.5"
18,40,1.0,0.1403010112904659,0.026297768775551632,0.11293710469053692,0.13726531767072267,0.15550081140030203,0.20398158843482916,5,"50:0.25,100:0.25,200:0.5"
19,25,2.0,0.17441936232186833,0.04609870850525724,0.1060624734198279,0.17558859311729164,0.2080131913751769,0.33333613346987306,5,"50:0.25,100:0.25,200:0.5"
20,15,2.0,0.17604888075740488,0.09141932111605217,0.09263476575876045,0.18140326077560381,0.21507874824762763,0.4330433374991711,5,"50:0.25,100:0.25,200:0.5"
21,10,2.0,0.1796523541238349,0.06276568194817482,0.09918436920011611,0.18118678384604398,0.21911913172458977,0.3538225686686365,5,"50:0.25,100:0.25,200:0.5"
22,20,2.0,0.1887994972416251,0.10591954453965989,0.10458651880560843,0.1886457795833383,0.2309828452887768,0.5239802031098351,5,"50:0.25,100:0.25,200:0.5"
23,30,2.0,0.20200724585368007,0.08133588924460962,0.12466697321937656,0.20596389855476835,0.2386990558202877,0.469660140251259,5,"50:0.25,100:0.25,200:0.5"
24,40,2.0,0.223721075060151,0.05558073385104054,0.15335801226372603,0.22920732429626456,0.2561594818403067,0.4131077252928662,5,"50:0.25,100:0.25,200:0.5"
25,25,4.0,0.2400303539958715,0.10519076537346565,0.1423635491762157,0.2371184448524684,0.29031971097740095,0.5178231502766688,5,"50:0.25,100:0.25,200:0.5"
26,20,4.0,0.2574810009170928,0.14772686770475343,0.15202565436118504,0.2582015659437536,0.30984839168171624,0.6551265024656954,5,"50:0.25,100:0.25,200:0.5"
27,15,4.0,0.26896502587515697,0.09321495124199423,0.16303527069173632,0.2751022785548027,0.31886127712704443,0.5258143270245643,5,"50:0.25,100:0.25,200:0.5"
28,40,4.0,0.2928244746946685,0.1306549243193055,0.17760967824251786,0.27980149333306614,0.356943363601545,0.6333857828263424,5,"50:0.25,100:0.25,200:0.5"
29,30,4.0,0.2937029213047173,0.145129292081979,0.16412932061050123,0.28518118838127693,0.3627505881135456,0.6554784215142102,5,"50:0.25,100:0.25,200:0.5"
30,10,4.0,0.6771772129825423,0.8191855551387293,0.23764323582488148,0.4093242258332296,1.0308706951360291,3.9067025391911554,5,"50:0.25,100:0.25,200:0.5"
