n_clusters,omega,noise_level,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,fit_seconds_mean
10,0.25,0.0,1,3,0.00012449387167317802,1.993076609718968e-05,0.00010890908199406006,0.00015262561025398323,0.993794976551089,0.000988548060144316,6.661338147750939e-16,8.881784197001252e-16,0.613823652267456
10,0.25,0.0,10,3,0.002319985610252663,0.00020446451635743228,0.0021493487667555234,0.0026074695790287063,0.885026371588333,0.010269289357569837,3.92278802034222e-15,5.551115123125783e-15,0.613823652267456
10,0.25,0.0,50,3,0.013347435040322733,0.00019724660819313985,0.013112025246042233,0.01359473935194143,0.3679285505850372,0.011014307355297888,1.6209256159527285e-14,2.1538326677728037e-14,0.613823652267456
10,0.25,0.0,100,3,0.01793525378757802,0.0005223217777858714,0.017486381349870034,0.018667740407793586,0.11637881509389662,0.026472119838989398,2.982799192826254e-14,3.1308289294429414e-14,0.613823652267456
10,0.25,0.0,200,3,0.016402396201900517,0.0010366826672318545,0.014997798314310468,0.017468556395956694,0.037130624685372794,0.06797415173214172,2.912485067933327e-14,3.852473895449293e-14,0.613823652267456
10,0.25,0.005,1,3,0.00011602523866334653,4.940104314904869e-05,7.347774132759127e-05,0.00018528833457797446,0.9942890780893728,0.0023987719365402608,6.661338147750939e-16,6.661338147750939e-16,0.574308713277181
10,0.25,0.005,10,3,0.002375326953371156,0.0006803649435536433,0.001772637764928307,0.0033262244640094828,0.8840096363167286,0.03210267339059642,3.9968028886505635e-15,4.218847493575595e-15,0.574308713277181
10,0.25,0.005,50,3,0.013423846717086454,0.0015766086061767975,0.011601834274932535,0.015447842174896344,0.37123200526198374,0.066402110981684,1.7726560959848332e-14,1.9984014443252818e-14,0.574308713277181
10,0.25,0.005,100,3,0.01809281264857442,0.001939833555092167,0.016260126557798904,0.02077702944559173,0.11917542875982234,0.0911900066936912,3.2566542055671256e-14,3.7969627442180354e-14,0.574308713277181
10,0.25,0.005,200,3,0.01742828102688764,0.004928711442067756,0.011987119888967498,0.02392160844955326,-0.0401995947652117,0.31705947140378465,5.0774199659523824e-14,7.083222897108499e-14,0.574308713277181
10,0.25,0.01,1,3,9.683940217608538e-05,3.8008680694916936e-05,6.288924583081062e-05,0.00014990505911037158,0.9946560338589759,0.002630476602085849,5.551115123125783e-16,6.661338147750939e-16,0.5838032563527426
10,0.25,0.01,10,3,0.0019247495832539017,0.00014878915193159946,0.001779996270991392,0.0021293842317355667,0.8976840337984185,0.017448998397200793,3.1086244689504383e-15,3.552713678800501e-15,0.5838032563527426
10,0.25,0.01,50,3,0.01128223785453971,0.0002854083942410635,0.01087901881171707,0.011499586813164233,0.4310301546928826,0.05914748607308886,1.4654943925052066e-14,1.84297022087776e-14,0.5838032563527426
10,0.25,0.01,100,3,0.015993763806791413,0.0012235465139958017,0.01429876043752609,0.017142632031539803,0.16363576614823414,0.12983197071261118,3.016105883565009e-14,3.6637359812630166e-14,0.5838032563527426
10,0.25,0.01,200,3,0.016814110767727455,0.003406891174672694,0.012058495823158485,0.019861586880712868,-0.08446559026525458,0.2847038759896214,2.990200679657088e-14,4.285460875053104e-14,0.5838032563527426
10,0.25,0.02,1,3,8.136854868157528e-05,4.7447337398580295e-05,4.31408712672784e-05,0.0001482407191116118,0.9960923867545391,0.002490003072013873,5.921189464667501e-16,6.661338147750939e-16,0.5751229127248129
10,0.25,0.02,10,3,0.001991463171179336,0.0004603289045818305,0.0015594286082097647,0.002629219297080937,0.9068418049784385,0.026429911719609324,3.478698810492157e-15,3.6637359812630166e-15,0.5751229127248129
10,0.25,0.02,50,3,0.012731067916303046,0.00022977745900484945,0.01242009359333715,0.012968211362553396,0.43268869488723966,0.033342803297514254,1.3766765505351941e-14,1.4654943925052066e-14,0.5751229127248129
10,0.25,0.02,100,3,0.01901293546578914,0.0011387970324595463,0.017463800156124934,0.020168846621905438,0.1251114008653499,0.01192525623067316,2.3240668648819945e-14,2.8199664825478976e-14,0.5751229127248129
10,0.25,0.02,200,3,0.021755068524191047,0.001749766865142206,0.0193018319304254,0.023262308959867688,-0.27802870231757465,0.1023916955480407,4.0930222174514107e-14,5.3179682879545e-14,0.5751229127248129
10,0.25,0.05,1,3,7.463410771510823e-05,1.0918158010599753e-05,6.598086428582878e-05,9.00354888010327e-05,0.9981137898530257,0.00037325581857426205,5.551115123125783e-16,6.661338147750939e-16,0.5796985626220703
10,0.25,0.05,10,3,0.0020937695256993535,5.4230224980124964e-05,0.0020257146693967608,0.002158420120772403,0.9476578533148394,0.003870151339249208,3.848773152033876e-15,5.551115123125783e-15,0.5796985626220703
10,0.25,0.05,50,3,0.014088672585429174,0.0006044586717382328,0.01357142648875553,0.014936700236196476,0.6546894781581177,0.011478782378407036,1.5802174383831396e-14,2.1094237467877974e-14,0.5796985626220703
10,0.25,0.05,100,3,0.025240337615969638,0.0031941352973169582,0.022558671975897816,0.029729225786931383,0.3556863447827673,0.07291304588194059,2.453592884421596e-14,3.1308289294429414e-14,0.5796985626220703
10,0.25,0.05,200,3,0.037964723261703595,0.004042696760847737,0.03315907301919716,0.04304978438306504,-0.19527376231983454,0.11366448475728509,3.730349362740526e-14,5.417888360170764e-14,0.5796985626220703
10,0.5,0.0,1,3,0.00036577023962109165,4.6198485251495114e-05,0.00032065183762647245,0.00042925250759031665,0.9951877388482088,0.000610487116161529,7.031412489292658e-16,7.771561172376096e-16,0.5812656084696451
10,0.5,0.0,10,3,0.005695209070122092,0.0004845836704344195,0.005227062431022409,0.006362711788423673,0.9254560637662631,0.006428829825107679,4.69994413757983e-15,5.218048215738236e-15,0.5812656084696451
10,0.5,0.0,50,3,0.026644856042287814,0.0009044714710693233,0.02596879394764356,0.027923263607876097,0.6648763522982442,0.012014940228229284,1.9576932667556928e-14,2.2426505097428162e-14,0.5812656084696451
10,0.5,0.0,100,3,0.0390638677585859,0.0028942792281215803,0.03696526263320246,0.04315655179117091,0.49267895604250145,0.037274114206788424,3.3898809685221444e-14,4.6629367034256575e-14,0.5812656084696451
10,0.5,0.0,200,3,0.04695753357131337,0.006031710739490832,0.041474699727173284,0.05535812017148086,0.2620554080058196,0.10083270140280329,4.300263848714773e-14,6.52811138479592e-14,0.5812656084696451
10,0.5,0.005,1,3,0.00029959053048498875,9.829900682226853e-05,0.00018946433227469013,0.0004281261241998633,0.9960033081715082,0.001314474583585275,7.401486830834377e-16,8.881784197001252e-16,0.5730806986490885
10,0.5,0.005,10,3,0.00501766408147026,0.0009047936840169945,0.004091845994392784,0.006245506500006925,0.9333518587497193,0.012107042080994664,5.070018479121548e-15,6.661338147750939e-15,0.5730806986490885
10,0.5,0.005,50,3,0.0287021970351638,0.0028684423444716575,0.026169939511502354,0.03271290155669439,0.6327313696937105,0.039160102723578755,2.161234154603638e-14,2.6867397195928788e-14,0.5730806986490885
10,0.5,0.005,100,3,0.04465799667661405,0.003695086076858176,0.04129068853888674,0.04980234700523285,0.4083325844263154,0.06055272213158804,3.09382149528877e-14,3.68594044175552e-14,0.5730806986490885
10,0.5,0.005,200,3,0.05706092340850455,0.0066441691246680555,0.05082347225108965,0.06626554475775688,0.09793713184973525,0.12016845205591045,4.289161618468521e-14,5.6621374255882984e-14,0.5730806986490885
10,0.5,0.01,1,3,0.00014082783605937706,3.8992761311568964e-05,9.61706608993279e-05,0.00019117348419355327,0.9981772948551367,0.0005928802194482967,5.921189464667501e-16,6.661338147750939e-16,0.5771733919779459
10,0.5,0.01,10,3,0.003717467121643183,0.0001622220555220409,0.0035979588311614544,0.0039468158402827715,0.9526824030900879,0.004413369114545454,3.92278802034222e-15,4.440892098500626e-15,0.5771733919779459
