n_train_trajectories,config_a,config_b,difference_definition,n_paired_replicates,mean_paired_difference,paired_difference_sd,paired_difference_se,replicate_0_difference,replicate_1_difference,replicate_2_difference
1,clean_tuned,old_default,mean_centered_error(config_a) - mean_centered_error(config_b),3,0.002734305917828921,0.019162569346211602,0.01106351457040014,0.00648464431891195,0.01974445602505634,-0.018026182590481526
1,clean_tuned,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,-0.0022109206768105385,0.009446272288878843,0.005453807848822703,0.006136442269944253,-0.0003040422226813222,-0.012465162077694547
1,old_default,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,-0.00494522659463946,0.013409375033593005,0.007741906285309568,-0.0003482020489676968,-0.02004849824773766,0.005561020512786979
2,clean_tuned,old_default,mean_centered_error(config_a) - mean_centered_error(config_b),3,0.0049051548320669285,0.01575802340487894,0.00909789905470328,-0.009845753083048608,0.003054377793787408,0.021506839785461987
2,clean_tuned,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,0.0036456367121284286,0.00523854370238959,0.003024474616736249,-0.002204561898200813,0.005238924361456537,0.007902547673129562
2,old_default,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,-0.0012595181199385002,0.011033531905605309,0.0063702126158135496,0.007641191184847795,0.0021845465676691295,-0.013604292112332425
3,clean_tuned,old_default,mean_centered_error(config_a) - mean_centered_error(config_b),3,0.0046697696558020045,0.0108074397507621,0.006239678249353161,0.014997903390447861,0.005571837813007088,-0.006560432236048935
3,clean_tuned,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,-0.000535167048560492,0.005635972069955996,0.003253929991734307,-0.00042156764018679016,0.0050431466049533635,-0.006227080110448049
3,old_default,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,-0.0052049367043624966,0.00885654070753467,0.00511332616158402,-0.015419471030634652,-0.0005286912080537248,0.0003333521256008859
5,clean_tuned,old_default,mean_centered_error(config_a) - mean_centered_error(config_b),3,0.009664337115848584,0.009551781074748713,0.005514723374746543,0.01903090787850943,-6.246249773873835e-05,0.010024565966775062
5,clean_tuned,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,0.012434209684656328,0.004129406143271443,0.002384113748411062,0.014868352332335757,0.007666334610375164,0.014767942111258064
5,old_default,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,0.0027698725688077436,0.006186445203795175,0.0035717458037380135,-0.004162555546173674,0.007728797108113902,0.0047433761444830025
8,clean_tuned,old_default,mean_centered_error(config_a) - mean_centered_error(config_b),3,0.01861391833985468,0.006857222857665806,0.003959019462766608,0.017444025156177462,0.012416902253103587,0.02598082761028299
8,clean_tuned,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,0.012996283001660891,0.005591963989850493,0.0032285219148388763,0.01680909279701029,0.015602850778637614,0.00657690542933477
8,old_default,robust_tuned,mean_centered_error(config_a) - mean_centered_error(config_b),3,-0.005617635338193788,0.012091156328771733,0.006980832361230207,-0.0006349323591671729,0.003185948525534027,-0.01940392218094822
