config_name,n_clusters,omega,n_train_trajectories,horizon,n_runs,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,fit_seconds_mean
clean_tuned,25,6.0,1,1,3,0.0026705027923556697,0.00037539862803121545,0.9969415933850414,0.0004281610637699593,0.034505922452146134,0.04680328220544006,0.1322177251180013
clean_tuned,25,6.0,1,10,3,0.02581186291054108,0.004411756946826668,0.9704656397987381,0.0050203416381464075,0.12905476227917292,0.1860262194486785,0.1322177251180013
clean_tuned,25,6.0,1,50,3,0.10304212519947557,0.013371187020674021,0.8829292925394568,0.015200393658721266,0.12014710004021566,0.1318936822306654,0.1322177251180013
clean_tuned,25,6.0,1,100,3,0.20440431820159702,0.014567755664145816,0.7688840015165767,0.01646828618401916,0.10098455756005052,0.10267034196552062,0.1322177251180013
clean_tuned,25,6.0,1,200,3,0.2062034764381997,0.016490381629905022,0.7645542929883986,0.018503734996651405,0.08762206995546035,0.11090132221727968,0.1322177251180013
clean_tuned,25,6.0,2,1,3,0.0024551721365007073,0.0003375590385344921,0.997198620552859,0.0003846871865780027,0.03842182023763283,0.04650706261684342,0.30498234430948895
clean_tuned,25,6.0,2,10,3,0.021899953256731795,0.0013423495767554605,0.9750335765402992,0.0015192447005254754,0.1140183827069564,0.1308199960931211,0.30498234430948895
clean_tuned,25,6.0,2,50,3,0.09376904367992692,0.005986277265170052,0.8937841052314802,0.006815328641354121,0.15537355513122558,0.18698196275306714,0.30498234430948895
clean_tuned,25,6.0,2,100,3,0.19581140272742173,0.007134082093427129,0.7789927170067164,0.008196948406853937,0.11319548303512776,0.124232321406386,0.30498234430948895
clean_tuned,25,6.0,2,200,3,0.19769584331361092,0.004233739970998634,0.775008168657551,0.005220367913426419,0.08423319529899875,0.09649969399745369,0.30498234430948895
clean_tuned,25,6.0,3,1,3,0.0019862024474736326,0.0002810275085338159,0.9977344460249413,0.0003206844272816747,0.031859625248412904,0.0425450566837201,0.4450980027516683
clean_tuned,25,6.0,3,10,3,0.020421241943402654,0.001450333189733883,0.9767262122509566,0.001673531177574785,0.11768689462270963,0.14317810280460816,0.4450980027516683
clean_tuned,25,6.0,3,50,3,0.08630039773103272,0.004441939191150398,0.9022857233668614,0.0050993786133986104,0.13145861036289488,0.14413518018816507,0.4450980027516683
clean_tuned,25,6.0,3,100,3,0.18475781785376696,0.008470703908727664,0.7914751121270052,0.009368770654271125,0.11791792302457796,0.13367332331694806,0.4450980027516683
clean_tuned,25,6.0,3,200,3,0.17617253184811862,0.011641889048666268,0.7995295393113945,0.012977474930540685,0.0793242026355028,0.08616503104686472,0.4450980027516683
clean_tuned,25,6.0,5,1,3,0.002038808441456649,0.00023237421107619806,0.9976667553270441,0.00026077007033278355,0.03281484472865007,0.0422559013456254,0.8537542025248209
clean_tuned,25,6.0,5,10,3,0.018881422487635014,0.0023946655131248033,0.9784116297312195,0.002689483769395225,0.10697782576165356,0.15227264178381064,0.8537542025248209
clean_tuned,25,6.0,5,50,3,0.09056603356996823,0.002005710311620237,0.8971823149197599,0.0021915579541891554,0.11268555003159876,0.12042899719987483,0.8537542025248209
clean_tuned,25,6.0,5,100,3,0.19626995647855097,0.001348809370224563,0.7782268515809012,0.0016591590162582301,0.1086027229943066,0.11269252652604358,0.8537542025248209
clean_tuned,25,6.0,5,200,3,0.19360762144468993,0.0050180286940346526,0.7790872973310319,0.005525596929132475,0.0770506414306043,0.08718480071927918,0.8537542025248209
clean_tuned,25,6.0,8,1,3,0.001663062724255752,9.111049519417749e-05,0.9980898931344816,0.00010373325070260081,0.027123395676785327,0.0278819976780623,1.5620284875233967
clean_tuned,25,6.0,8,10,3,0.016445939998894828,0.0013352782133907637,0.9811296659850026,0.0015226910766053705,0.08171548920481934,0.10491748572028396,1.5620284875233967
clean_tuned,25,6.0,8,50,3,0.08728074528400863,0.004495495479492642,0.9006170054166764,0.005041015784110085,0.11381354955163198,0.11455309441705117,1.5620284875233967
clean_tuned,25,6.0,8,100,3,0.19474410346340434,0.006278255620554725,0.7793780335172706,0.007129709684173988,0.11677983690667185,0.11693682878960864,1.5620284875233967
clean_tuned,25,6.0,8,200,3,0.1869303246145506,0.004336562410645784,0.7860877064511054,0.0051705657934843115,0.09103069146066901,0.10985341842804949,1.5620284875233967
old_default,20,4.0,1,1,3,0.0024205411827615867,0.0007249079012383502,0.9970484359038824,0.0008735784688102218,0.028112883581035517,0.03116498648955076,0.38054776191711426
old_default,20,4.0,1,10,3,0.021389682590394102,0.004637715292023365,0.973933714487132,0.0055742699009765475,0.1322775045631308,0.14945537121730965,0.38054776191711426
old_default,20,4.0,1,50,3,0.09259852700544903,0.007238338613254357,0.887979542469395,0.00861313249373287,0.11456661486563016,0.14463184759164555,0.38054776191711426
old_default,20,4.0,1,100,3,0.19439397617650397,0.006061945087046309,0.7660883141238997,0.00744289911549447,0.10870908616563266,0.12625756431308996,0.38054776191711426
old_default,20,4.0,1,200,3,0.18701846662861407,0.012959673474360013,0.7723963428330473,0.016094570775218957,0.06717065145661807,0.0706192625308357,0.38054776191711426
old_default,20,4.0,2,1,3,0.0021421831222604524,0.0004993059695576012,0.997384559620674,0.0006084271757847376,0.025425715840108006,0.0328709270273262,0.8808446725209554
old_default,20,4.0,2,10,3,0.01621833306245794,0.0034054644255740686,0.9802194630913923,0.004145752690956681,0.08355546961827409,0.10637379089507881,0.8808446725209554
old_default,20,4.0,2,50,3,0.08204466882204296,0.01047420019600663,0.9008052267676749,0.012540695458112048,0.13358991050396632,0.15601486300577017,0.8808446725209554
old_default,20,4.0,2,100,3,0.18516369646577374,0.016326533602594527,0.7775594935622396,0.01915518204410406,0.1140360144785584,0.14168825058525839,0.8808446725209554
old_default,20,4.0,2,200,3,0.17391993049834678,0.012847522108408602,0.7885742191072597,0.01542816565488014,0.07832218098860898,0.0995693946269812,0.8808446725209554
old_default,20,4.0,3,1,3,0.0017949061963241158,0.0001565319152202127,0.997807926356562,0.0001988242235315172,0.023511392772764747,0.024014792414981022,1.4196606477101643
old_default,20,4.0,3,10,3,0.013366854257147282,0.0008286113383269406,0.983698082665891,0.0010462808236552982,0.0926788148636496,0.10534110313184547,1.4196606477101643
old_default,20,4.0,3,50,3,0.07472678192726749,0.004147459355749239,0.909647496343334,0.005145592033231319,0.11592471905538468,0.13665211103157174,1.4196606477101643
old_default,20,4.0,3,100,3,0.17350578444762513,0.007293017392516484,0.7914025201377453,0.008931912024523014,0.11759241168424568,0.12122800942076294,1.4196606477101643
old_default,20,4.0,3,200,3,0.1572727089726288,0.006229824394291799,0.8085438558566367,0.0077343077293665985,0.08256782040837685,0.11516184028944808,1.4196606477101643
old_default,20,4.0,5,1,3,0.0015027067089441516,0.00030853187613727175,0.9981563515533343,0.0003787240874569246,0.02554975092901729,0.02778159698585343,2.634077310562134
old_default,20,4.0,5,10,3,0.012011386846252298,0.0009832761539808367,0.985283214642235,0.0012048941713089876,0.09381462977195015,0.11856705137689359,2.634077310562134
old_default,20,4.0,5,50,3,0.07466842844881906,0.005278487924572598,0.909340961091796,0.006397164101907492,0.11562623630868003,0.15959843421833703,2.634077310562134
old_default,20,4.0,5,100,3,0.18142194532982445,0.005930229435791418,0.7812547467798863,0.0069094222682008965,0.1205957522853649,0.13304647496153205,2.634077310562134
old_default,20,4.0,5,200,3,0.1597429731152763,0.013166514737152064,0.8048612604019479,0.01569664187884605,0.07604714851184835,0.08821624090459783,2.634077310562134
old_default,20,4.0,8,1,3,0.0014463306730199195,0.00014884891560776933,0.9982267980153205,0.00018138974055563443,0.02284536288033794,0.02511508411241708,4.750063578287761
old_default,20,4.0,8,10,3,0.010841577576813158,0.0005105401267021856,0.9867242627181576,0.0005846183959048259,0.079060904095087,0.08517356191245282,4.750063578287761
old_default,20,4.0,8,50,3,0.06454684101856928,0.0004719587725286786,0.9216115866527068,0.0006886654975216367,0.09907150912665932,0.10084518457547753,4.750063578287761
old_default,20,4.0,8,100,3,0.1576025710454248,0.007880310188957074,0.8098552516792712,0.009682778053626972,0.10940008445801085,0.1243113712383885,4.750063578287761
old_default,20,4.0,8,200,3,0.14592371308271893,0.0019848548090867064,0.821953997138354,0.002922425573905338,0.07151888609491788,0.0897172008183331,4.750063578287761
robust_tuned,25,4.0,1,1,3,0.0032908776000559097,0.0004389422849705168,0.9960424629922033,0.0005193244794486024,0.02379835410704079,0.028242464231692705,0.18439165751139322
robust_tuned,25,4.0,1,10,3,0.022842803613443343,0.0028168325155276735,0.9725541534937014,0.0033316853646979784,0.09044277862444174,0.12354703157421576,0.18439165751139322
