config_name,n_clusters,omega,n_train_trajectories,replicate,train_seeds,test_seeds,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error,train_association_r2,fit_seconds
robust_tuned,10,0.25,1,0,0,100 101 102,1,2400,0.00012051549540717472,0.9940450712478099,6.661338147750939e-16,0.0001233451012134368,0.9940073571462286,0.5677313804626465
robust_tuned,10,0.25,1,0,0,100 101 102,10,2373,0.0023491195663775553,0.884391198709679,3.3306690738754696e-15,0.0001233451012134368,0.9940073571462286,0.5677313804626465
robust_tuned,10,0.25,1,0,0,100 101 102,50,2253,0.013334871254968784,0.3565097468277838,1.4876988529977098e-14,0.0001233451012134368,0.9940073571462286,0.5677313804626465
robust_tuned,10,0.25,1,0,0,100 101 102,100,2103,0.01874327232671382,0.11784421170837145,2.7644553313166398e-14,0.0001233451012134368,0.9940073571462286,0.5677313804626465
robust_tuned,10,0.25,1,0,0,100 101 102,200,1803,0.02025136530727565,-0.004684574232407757,5.573319583618286e-14,0.0001233451012134368,0.9940073571462286,0.5677313804626465
robust_tuned,10,0.25,1,1,1000,100 101 102,1,2400,0.00016827635182304232,0.990542304469153,6.661338147750939e-16,0.00017903663602228696,0.9898311289856601,0.5043129920959473
robust_tuned,10,0.25,1,1,1000,100 101 102,10,2373,0.002523481105711866,0.8587834028764794,2.7755575615628914e-15,0.00017903663602228696,0.9898311289856601,0.5043129920959473
robust_tuned,10,0.25,1,1,1000,100 101 102,50,2253,0.013820350859363792,0.2440140095317419,1.4210854715202004e-14,0.00017903663602228696,0.9898311289856601,0.5043129920959473
robust_tuned,10,0.25,1,1,1000,100 101 102,100,2103,0.021167687994348934,-0.13312794415469842,2.8310687127941492e-14,0.00017903663602228696,0.9898311289856601,0.5043129920959473
robust_tuned,10,0.25,1,1,1000,100 101 102,200,1803,0.02552589812439507,-0.4130977736276831,6.306066779870889e-14,0.00017903663602228696,0.9898311289856601,0.5043129920959473
