horizon,rank,method,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std
1,1,state_edmd_poly3,1.260526814007066e-05,2.1625166450891824e-05,0.9990090570509945,0.0017037441882160902
1,2,state_edmd_poly2,2.1860673473218736e-05,1.9493764862720158e-05,0.9984481068489243,0.0014828647481174991
1,3,state_dmd,0.00015925933657998508,4.1211794486838455e-05,0.989508045821104,0.0021169277778529095
1,4,kahkm_nlms,0.0002502150313332206,3.9113556809497174e-05,0.9835421596769991,0.0002709845267622944
10,1,state_edmd_poly3,1.6782958312719982e-07,3.399516377101883e-08,0.9999886699864945,1.3339929184448191e-06
10,2,state_edmd_poly2,1.3387437133704394e-05,2.2764411214455002e-05,0.9991689095007835,0.0014099964537561424
10,3,state_dmd,0.002062783298243739,0.00038724432547664853,0.8612247343315138,0.00554358731030943
10,4,kahkm_nlms,0.0022028654924445986,0.0003458728831813485,0.8512898776285885,0.00045739551517320437
50,1,state_edmd_poly2,2.893025760178011e-05,2.1873266360665358e-05,0.9975219092061488,0.0018922556404377833
50,2,state_edmd_poly3,4.940486376198496e-05,1.667100742764889e-05,0.9960504030251408,0.0008900850849328236
50,3,kahkm_nlms,0.0060992329377416304,0.0009254775356062968,0.5056477576610104,0.01667370399150475
50,4,state_dmd,0.020981316432455276,0.002281913693708888,-0.7108071449647729,0.14333993197776648
100,1,state_edmd_poly3,6.929302424965446e-05,3.785078084012592e-05,0.9927113745925465,0.002892236917384605
100,2,state_edmd_poly2,0.000283041196809389,7.475865802252799e-05,0.9695795307675666,0.0013703966924961274
100,3,kahkm_nlms,0.007848638811176855,0.001681326296125122,0.1473461001345594,0.07316853822977344
100,4,state_dmd,0.04803019450249171,0.005963172356134057,-4.328131568173789,1.0317914230864476
200,1,state_edmd_poly3,0.0001363795916454724,8.886158721670688e-05,0.9774014789203331,0.011409312531623214
200,2,state_edmd_poly2,0.00024328616858491393,4.1783039912869074e-05,0.9545930739634448,0.013407363377769778
200,3,kahkm_nlms,0.007331927562484686,0.00167075709036486,-0.3155221275842252,0.055175821190062424
200,4,state_dmd,0.0883378000520363,0.015231979552780472,-15.04189533982231,1.7771905154524021
