horizon,rank,method,association_r2_mean,association_r2_std,centered_error_mean,relative_association_error_mean,relative_association_error_std
1,1,state_edmd_poly3,0.9999996005984796,3.371548731512012e-07,3.9940152041229027e-07,3.334570245004316e-07,2.8087762235167e-07
1,2,kahkm_nlms,0.9963465006145897,0.00017429636253628154,0.0036534993854102638,0.0030535587444124775,0.00015114615969208465
1,3,state_edmd_poly2,0.9577729954399409,0.001429704922000632,0.04222700456005912,0.03529198865880024,0.001245038924638499
1,4,state_dmd,0.9573962823932355,0.0015457078186056105,0.04260371760676451,0.035606969938725766,0.0013443863218711317
10,1,state_edmd_poly3,0.9982634870842908,9.649429589941692e-05,0.0017365129157091985,0.0014525765763190046,8.188846991138731e-05
10,2,kahkm_nlms,0.9806058730846755,0.0024170405521980838,0.019394126915324494,0.01622503940913253,0.002049789022185379
10,3,state_edmd_poly2,0.4484499839198551,0.003694241396183726,0.551550016080145,0.4613492153896987,0.0022802965195543043
10,4,state_dmd,0.42725408274629567,0.006602412130615384,0.5727459172537044,0.4790759210243385,0.0046622946498827925
50,1,kahkm_nlms,0.9019750897868395,0.0024415047187042326,0.09802491021316051,0.08258747080633674,0.0021944100856180525
50,2,state_edmd_poly3,0.5338642027667025,0.01763593670413578,0.46613579723329746,0.39269683022175667,0.014103515583831782
50,3,state_dmd,0.09087898154814245,0.003710628758547409,0.9091210184518576,0.7659236766653897,0.002119615111333858
50,4,state_edmd_poly2,0.07771896266415546,0.005429327288340675,0.9222810373358445,0.777008893974147,0.0033074324648893873
100,1,kahkm_nlms,0.7853415833415373,0.0005535692077345807,0.21465841665846275,0.18177778583943535,0.0005828049243499785
100,2,state_edmd_poly3,0.3717449006228624,0.016874927101041045,0.6282550993771376,0.532012571356154,0.013831926853325875
100,3,state_edmd_poly2,-0.0995285685532763,0.006708486659667081,1.0995285685532763,0.9311024452651856,0.004876563834558973
100,4,state_dmd,-0.10842809947372893,0.004300553333933319,1.108428099473729,0.9386399296988696,0.0028268116038343122
200,1,kahkm_nlms,0.7723995207448885,0.004423831481038496,0.2276004792551115,0.19069124355394218,0.004178914832264524
200,2,state_edmd_poly3,0.40745002122994634,0.010601703309618671,0.5925499787700537,0.49642771281990633,0.007680562954177445
200,3,state_edmd_poly2,0.20613320675901395,0.0026664708063706996,0.7938667932409861,0.6651095308158351,0.003733937325653314
200,4,state_dmd,0.2050980037015715,0.0019161806705250868,0.7949019962984285,0.6659761561913935,0.0031927189592825325
