horizon,rank,method,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std
1,1,state_edmd_poly3,4.180724688853893e-10,2.0919565489537043e-10,0.9999999774460676,1.1253904636129777e-08
1,2,kahkm_nlms,0.00017863470901561835,4.112689286028459e-09,0.9903634427106809,7.087712286477027e-05
1,3,state_edmd_poly2,0.00018846152145732484,2.3710136750832326e-05,0.9898325637059694,0.00128534460646579
1,4,state_dmd,0.00019224809873526446,2.3873358343239393e-05,0.9896283737158661,0.001293417799420935
10,1,state_edmd_poly3,1.693517658164019e-05,1.8270091276502398e-05,0.9990918620437115,0.0009780895971400875
10,2,state_edmd_poly2,0.0019128005857137582,1.3256882931972826e-05,0.8972697125283009,0.0009445522543231825
10,3,state_dmd,0.001995700459187459,1.674178406544221e-05,0.892816283872794,0.0012620538081489824
10,4,kahkm_nlms,0.0021255042895848546,4.29438561058611e-05,0.8858571874786025,0.001422924004723783
50,1,state_edmd_poly3,0.0010667461006711287,6.21498048868436e-05,0.9440004325431478,0.003655846752600351
50,2,state_dmd,0.0051284702556086735,3.137570223614872e-05,0.7308535855117096,0.0013971034899298404
50,3,state_edmd_poly2,0.005202754448597608,1.2370114274662285e-05,0.7269523607429426,0.0013737927535147642
50,4,kahkm_nlms,0.00929389877564498,1.725034861166053e-05,0.5122423877261261,0.0026791063065612895
100,1,state_edmd_poly3,0.003165701198634211,0.0001046545241612111,0.8369530006078728,0.00633816864938218
100,2,state_edmd_poly2,0.011167686446099376,0.00014824009208524547,0.4248604965708525,0.010957208390288622
100,3,state_dmd,0.011264067448337313,0.0001538485612809858,0.41989611768387475,0.01126612526284174
100,4,kahkm_nlms,0.016893982204145452,1.3530709787280794e-05,0.1299975705414501,0.005294627844623063
200,1,state_edmd_poly3,0.001531661933735388,3.22784667854946e-05,0.9180239900265114,0.002428694435753803
200,2,state_edmd_poly2,0.004515639076661376,2.398160225265004e-05,0.7583455541032668,0.0027326601069167515
200,3,state_dmd,0.004558831524359885,1.69507787449014e-05,0.7560318677735571,0.002898525691986449
200,4,kahkm_nlms,0.02070578089172979,0.00017905378998817894,-0.10800579106581869,0.0006145061293939805
