method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.07354450013940786,-0.07038584565893435,8.881784197001252e-16,CartPole-v1
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.07354450013940786,-0.07038584565893435,5.551115123125783e-16,CartPole-v1
kmeans_hard_nlms,1,own_association,0.6753027651497436,0.08569150961185212,1.1102230246251565e-16,CartPole-v1
kmeans_distance_nlms,1,own_association,0.38025287707013616,0.24240383104461927,0.09352359136966532,CartPole-v1
kmeans_rbf_nlms,1,own_association,0.05284235643656884,0.03281599469218566,7.771561172376096e-16,CartPole-v1
state_dmd,1,kahkm_association_of_predicted_state,0.058053591001566394,0.1550728881159017,6.661338147750939e-16,CartPole-v1
state_edmd_poly2,1,kahkm_association_of_predicted_state,0.06753510515271297,0.017076457063078143,7.771561172376096e-16,CartPole-v1
state_edmd_poly3,1,kahkm_association_of_predicted_state,0.05284935010161312,0.23081676816335606,5.551115123125783e-16,CartPole-v1
kahkm_nlms,5,kahkm_association,0.08145743132229552,-0.1841314405920058,2.886579864025407e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.08145743132229552,-0.1841314405920058,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,5,own_association,0.9711195616945105,-0.31229706517587674,3.3306690738754696e-16,CartPole-v1
kmeans_distance_nlms,5,own_association,0.42220486762091625,0.1592631595290629,0.05576923302188776,CartPole-v1
kmeans_rbf_nlms,5,own_association,0.05180337881235281,0.05375554930816229,1.6653345369377348e-15,CartPole-v1
state_dmd,5,kahkm_association_of_predicted_state,0.07142009929896101,-0.038220622689278505,6.661338147750939e-16,CartPole-v1
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.07047871136338933,-0.024535842378764272,5.551115123125783e-16,CartPole-v1
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.0711412136814774,-0.03416651464007403,6.661338147750939e-16,CartPole-v1
kahkm_nlms,10,kahkm_association,0.0831931361607727,-0.2128042188836754,4.884981308350689e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.0831931361607727,-0.2128042188836754,6.661338147750939e-16,CartPole-v1
kmeans_hard_nlms,10,own_association,1.1380876108078675,-0.5372968518771173,6.661338147750939e-16,CartPole-v1
kmeans_distance_nlms,10,own_association,0.46564586337891795,0.07335842270374815,0.04212573758614136,CartPole-v1
kmeans_rbf_nlms,10,own_association,0.05107547490004809,0.060724896752102575,2.4424906541753444e-15,CartPole-v1
state_dmd,10,kahkm_association_of_predicted_state,0.07322664871849441,-0.06751100630316764,6.661338147750939e-16,CartPole-v1
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.07351051941994383,-0.07164932347959896,5.551115123125783e-16,CartPole-v1
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.07078509226744215,-0.031917565532328274,5.551115123125783e-16,CartPole-v1
kahkm_nlms,20,kahkm_association,0.08584495191342036,-0.24917599642329624,8.43769498715119e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.08584495191342033,-0.2491759964232958,5.551115123125783e-16,CartPole-v1
kmeans_hard_nlms,20,own_association,1.1391010657120768,-0.5308650772713299,8.881784197001252e-16,CartPole-v1
kmeans_distance_nlms,20,own_association,0.5416070660085487,-0.06980858197774231,3.1086244689504383e-15,CartPole-v1
kmeans_rbf_nlms,20,own_association,0.0514197750202613,0.059974177648599025,3.552713678800501e-15,CartPole-v1
state_dmd,20,kahkm_association_of_predicted_state,0.07099969420479828,-0.03315467918810633,6.661338147750939e-16,CartPole-v1
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.07123510686837597,-0.03658029527898532,6.661338147750939e-16,CartPole-v1
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.07231583553792156,-0.05230655853095145,5.551115123125783e-16,CartPole-v1
kahkm_nlms,50,kahkm_association,0.08960596250016947,-0.30261862307361453,1.2434497875801753e-14,CartPole-v1
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.08960596250016939,-0.3026186230736134,5.551115123125783e-16,CartPole-v1
kmeans_hard_nlms,50,own_association,1.1004974418458189,-0.46336974592533364,2.220446049250313e-15,CartPole-v1
kmeans_distance_nlms,50,own_association,0.6238979177056365,-0.21686967434904814,3.9968028886505635e-15,CartPole-v1
kmeans_rbf_nlms,50,own_association,0.049861749899262245,0.058889918557639254,7.216449660063518e-15,CartPole-v1
state_dmd,50,kahkm_association_of_predicted_state,0.07081998727015601,-0.029523390296343877,6.661338147750939e-16,CartPole-v1
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.07076118069199876,-0.02866850807947441,6.661338147750939e-16,CartPole-v1
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.0711751577261787,-0.034686569592362826,5.551115123125783e-16,CartPole-v1
