task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
CartPole-v1,kahkm_nlms,kahkm_association,1,0.07354450013940786,0.0,-0.07038584565893435,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,10,0.0831931361607727,0.0,-0.2128042188836754,0.0,4.884981308350689e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,20,0.08584495191342036,0.0,-0.24917599642329624,0.0,8.43769498715119e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,5,0.08145743132229552,0.0,-0.1841314405920058,0.0,2.886579864025407e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,50,0.08960596250016947,0.0,-0.30261862307361453,0.0,1.2434497875801753e-14,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.07354450013940786,0.0,-0.07038584565893435,0.0,5.551115123125783e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.0831931361607727,0.0,-0.2128042188836754,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.08584495191342033,0.0,-0.2491759964232958,0.0,5.551115123125783e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.08145743132229552,0.0,-0.1841314405920058,0.0,4.440892098500626e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.08960596250016939,0.0,-0.3026186230736134,0.0,5.551115123125783e-16,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,1,0.38025287707013616,0.0,0.24240383104461927,0.0,0.09352359136966532,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,10,0.46564586337891795,0.0,0.07335842270374815,0.0,0.04212573758614136,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,20,0.5416070660085487,0.0,-0.06980858197774231,0.0,3.1086244689504383e-15,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,5,0.42220486762091625,0.0,0.1592631595290629,0.0,0.05576923302188776,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,50,0.6238979177056365,0.0,-0.21686967434904814,0.0,3.9968028886505635e-15,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,1,0.6753027651497436,0.0,0.08569150961185212,0.0,1.1102230246251565e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,10,1.1380876108078675,0.0,-0.5372968518771173,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,20,1.1391010657120768,0.0,-0.5308650772713299,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,5,0.9711195616945105,0.0,-0.31229706517587674,0.0,3.3306690738754696e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,50,1.1004974418458189,0.0,-0.46336974592533364,0.0,2.220446049250313e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,1,0.05284235643656884,0.0,0.03281599469218566,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,10,0.05107547490004809,0.0,0.060724896752102575,0.0,2.4424906541753444e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,20,0.0514197750202613,0.0,0.059974177648599025,0.0,3.552713678800501e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,5,0.05180337881235281,0.0,0.05375554930816229,0.0,1.6653345369377348e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,50,0.049861749899262245,0.0,0.058889918557639254,0.0,7.216449660063518e-15,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,1,0.058053591001566394,0.0,0.1550728881159017,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,10,0.07322664871849441,0.0,-0.06751100630316764,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,20,0.07099969420479828,0.0,-0.03315467918810633,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,5,0.07142009929896101,0.0,-0.038220622689278505,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,50,0.07081998727015601,0.0,-0.029523390296343877,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,1,0.06753510515271297,0.0,0.017076457063078143,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,10,0.07351051941994383,0.0,-0.07164932347959896,0.0,5.551115123125783e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,20,0.07123510686837597,0.0,-0.03658029527898532,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,5,0.07047871136338933,0.0,-0.024535842378764272,0.0,5.551115123125783e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,50,0.07076118069199876,0.0,-0.02866850807947441,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,1,0.05284935010161312,0.0,0.23081676816335606,0.0,5.551115123125783e-16,0.0,1
