method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.0038032073024766204,0.9362179638538115,2.220446049250313e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.00380320730247662,0.9362179638538115,8.881784197001252e-16,MountainCar-v0
kmeans_hard_nlms,1,own_association,0.422815244336374,0.5697335263676491,2.220446049250313e-16,MountainCar-v0
kmeans_distance_nlms,1,own_association,0.3672387202668624,0.5666863631284933,0.07021138536678062,MountainCar-v0
kmeans_rbf_nlms,1,own_association,0.0012027070350716627,0.9950058908506613,6.65726763239847e-05,MountainCar-v0
state_dmd,1,kahkm_association_of_predicted_state,7.522218019713775e-05,0.9987384795424629,3.6637359812630166e-15,MountainCar-v0
state_edmd_poly2,1,kahkm_association_of_predicted_state,0.00010260834177410383,0.9982791974132794,3.219646771412954e-15,MountainCar-v0
state_edmd_poly3,1,kahkm_association_of_predicted_state,3.2442688794941154e-05,0.9994559169183203,3.4416913763379853e-15,MountainCar-v0
kahkm_nlms,5,kahkm_association,0.0263177673012472,0.5649617714996424,2.6645352591003757e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.0263177673012472,0.5649617714996424,7.771561172376096e-16,MountainCar-v0
kmeans_hard_nlms,5,own_association,0.7866118527785028,0.19979972852107108,6.661338147750939e-16,MountainCar-v0
kmeans_distance_nlms,5,own_association,0.676124239021467,0.20228774712970465,0.1733477273346588,MountainCar-v0
kmeans_rbf_nlms,5,own_association,0.03224648813937275,0.8693031074277662,0.0006394175565309931,MountainCar-v0
state_dmd,5,kahkm_association_of_predicted_state,0.0013394192072353948,0.9778591188049821,3.6637359812630166e-15,MountainCar-v0
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.001248290977153449,0.9793654876138341,3.552713678800501e-15,MountainCar-v0
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.000769329285799852,0.9872828251045463,3.885780586188048e-15,MountainCar-v0
kahkm_nlms,10,kahkm_association,0.05726631757000436,0.06952318222351295,3.3306690738754696e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.057266317570004374,0.06952318222351284,1.1102230246251565e-15,MountainCar-v0
kmeans_hard_nlms,10,own_association,0.9200695693627093,0.06359018964827845,1.2212453270876722e-15,MountainCar-v0
kmeans_distance_nlms,10,own_association,0.8042121823777331,0.05031867583840566,0.1082155492563127,MountainCar-v0
kmeans_rbf_nlms,10,own_association,0.13730001485468854,0.4604742945418986,0.0015717051644113611,MountainCar-v0
state_dmd,10,kahkm_association_of_predicted_state,0.004691046869599597,0.9237787490363849,3.552713678800501e-15,MountainCar-v0
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.0038477631688980827,0.9374806241980335,3.774758283725532e-15,MountainCar-v0
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.0027473046085159363,0.955361137959156,3.774758283725532e-15,MountainCar-v0
kahkm_nlms,20,kahkm_association,0.10294537269398969,-0.62309450923858,4.440892098500626e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.10294537269398969,-0.6230945092385798,8.881784197001252e-16,MountainCar-v0
kmeans_hard_nlms,20,own_association,0.9797885526583056,0.0008923627972134973,2.55351295663786e-15,MountainCar-v0
kmeans_distance_nlms,20,own_association,0.8950542536644406,-0.05295102666395879,0.02751150647646148,MountainCar-v0
kmeans_rbf_nlms,20,own_association,0.5509769610772126,-1.0379047570618853,0.004278804934077059,MountainCar-v0
state_dmd,20,kahkm_association_of_predicted_state,0.02104075346641981,0.6682596747392953,3.9968028886505635e-15,MountainCar-v0
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.020239553550186185,0.6808918421773285,3.4416913763379853e-15,MountainCar-v0
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.014422903620768947,0.772600408726151,3.774758283725532e-15,MountainCar-v0
kahkm_nlms,50,kahkm_association,0.13522244854483687,-1.1737254752842095,9.547918011776346e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.13522244854483692,-1.17372547528421,8.881784197001252e-16,MountainCar-v0
kmeans_hard_nlms,50,own_association,0.9867587663058215,-0.006984349602236373,2.9976021664879227e-15,MountainCar-v0
kmeans_distance_nlms,50,own_association,0.8631172478171895,-0.019867158348003233,0.012035076701436819,MountainCar-v0
kmeans_rbf_nlms,50,own_association,6.277974966039614,-19.77140253213581,0.027306435005982004,MountainCar-v0
state_dmd,50,kahkm_association_of_predicted_state,0.08443709596097862,-0.3573416878968707,3.774758283725532e-15,MountainCar-v0
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.09531635446941283,-0.5322277488022433,3.885780586188048e-15,MountainCar-v0
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.11063247580865143,-0.7784371873675253,3.9968028886505635e-15,MountainCar-v0
