task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
MountainCar-v0,kahkm_nlms,kahkm_association,1,0.0038032073024766204,0.0,0.9362179638538115,0.0,2.220446049250313e-15,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,10,0.05726631757000436,0.0,0.06952318222351295,0.0,3.3306690738754696e-15,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,20,0.10294537269398969,0.0,-0.62309450923858,0.0,4.440892098500626e-15,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,5,0.0263177673012472,0.0,0.5649617714996424,0.0,2.6645352591003757e-15,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,50,0.13522244854483687,0.0,-1.1737254752842095,0.0,9.547918011776346e-15,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.00380320730247662,0.0,0.9362179638538115,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.057266317570004374,0.0,0.06952318222351284,0.0,1.1102230246251565e-15,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.10294537269398969,0.0,-0.6230945092385798,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.0263177673012472,0.0,0.5649617714996424,0.0,7.771561172376096e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.13522244854483692,0.0,-1.17372547528421,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,1,0.3672387202668624,0.0,0.5666863631284933,0.0,0.07021138536678062,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,10,0.8042121823777331,0.0,0.05031867583840566,0.0,0.1082155492563127,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,20,0.8950542536644406,0.0,-0.05295102666395879,0.0,0.02751150647646148,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,5,0.676124239021467,0.0,0.20228774712970465,0.0,0.1733477273346588,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,50,0.8631172478171895,0.0,-0.019867158348003233,0.0,0.012035076701436819,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,1,0.422815244336374,0.0,0.5697335263676491,0.0,2.220446049250313e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,10,0.9200695693627093,0.0,0.06359018964827845,0.0,1.2212453270876722e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,20,0.9797885526583056,0.0,0.0008923627972134973,0.0,2.55351295663786e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,5,0.7866118527785028,0.0,0.19979972852107108,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,50,0.9867587663058215,0.0,-0.006984349602236373,0.0,2.9976021664879227e-15,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,1,0.0012027070350716627,0.0,0.9950058908506613,0.0,6.65726763239847e-05,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,10,0.13730001485468854,0.0,0.4604742945418986,0.0,0.0015717051644113611,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,20,0.5509769610772126,0.0,-1.0379047570618853,0.0,0.004278804934077059,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,5,0.03224648813937275,0.0,0.8693031074277662,0.0,0.0006394175565309931,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,50,6.277974966039614,0.0,-19.77140253213581,0.0,0.027306435005982004,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,1,7.522218019713775e-05,0.0,0.9987384795424629,0.0,3.6637359812630166e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,10,0.004691046869599597,0.0,0.9237787490363849,0.0,3.552713678800501e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,20,0.02104075346641981,0.0,0.6682596747392953,0.0,3.9968028886505635e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,5,0.0013394192072353948,0.0,0.9778591188049821,0.0,3.6637359812630166e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,50,0.08443709596097862,0.0,-0.3573416878968707,0.0,3.774758283725532e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,1,0.00010260834177410383,0.0,0.9982791974132794,0.0,3.219646771412954e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,10,0.0038477631688980827,0.0,0.9374806241980335,0.0,3.774758283725532e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,20,0.020239553550186185,0.0,0.6808918421773285,0.0,3.4416913763379853e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,5,0.001248290977153449,0.0,0.9793654876138341,0.0,3.552713678800501e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,50,0.09531635446941283,0.0,-0.5322277488022433,0.0,3.885780586188048e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,1,3.2442688794941154e-05,0.0,0.9994559169183203,0.0,3.4416913763379853e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,10,0.0027473046085159363,0.0,0.955361137959156,0.0,3.774758283725532e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,20,0.014422903620768947,0.0,0.772600408726151,0.0,3.774758283725532e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,5,0.000769329285799852,0.0,0.9872828251045463,0.0,3.885780586188048e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,50,0.11063247580865143,0.0,-0.7784371873675253,0.0,3.9968028886505635e-15,0.0,1
