task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,state2_mean,state2_std,state3_mean,state3_std,action_0_rate,action_1_rate
CartPole-v1,0,2,0.002,0.07431325058219498,1.0,0.0,0.0,0.0,0.0,0.8198604062366406,0.23346411436796188,0.0012307539582252502,0.1593223512172699,0.00044783949851989746,-0.02953546028584242,0.0008193450048565865,-0.11039005219936371,0.009880505502223969,1.0,0.0
CartPole-v1,1,188,0.188,0.08547477295808231,1.0,0.0,0.0,0.0,0.031914893617021274,0.721518287246723,0.07896646161618187,0.06800575435684479,-0.1687528153366231,0.03585823520409035,-0.004232412152963119,0.009418227573627229,0.2737176047360643,0.05955864395547556,0.0425531914893617,0.9574468085106383
CartPole-v1,2,32,0.032,0.07002050257404441,1.0,0.0,0.0,0.0,0.0,0.8067813317618661,-0.03715065527649131,0.02298901766493108,0.16652682283893228,0.0013083394165256002,0.006087796867063844,0.01645653408624863,-0.2692754468880594,0.028776673629422888,0.90625,0.09375
CartPole-v1,3,98,0.098,0.08105330752801906,1.0,0.0,0.0,0.0,0.061224489795918366,0.8308617843568903,-0.027157878784738406,0.025338172941336827,0.011866501475475272,0.06535187453775079,-0.001508938751482804,0.015042935485382684,-0.007788680438296774,0.08067670144454817,0.4897959183673469,0.5102040816326531
CartPole-v1,4,29,0.029,0.09158762376725083,1.0,0.0,0.0,0.0,0.06896551724137931,0.7904457897264731,-0.21939959372233214,0.1445918945880525,-0.3799154871496661,0.04711195133771578,-0.0020841385663390674,0.015431072040273093,0.4335260720088564,0.11271815922023545,0.034482758620689655,0.9655172413793104
CartPole-v1,5,239,0.239,0.07639855288522515,1.0,0.0,0.0,0.0,0.0,0.7688865693866875,0.10679871884318824,0.038809939355894316,0.04353552225930422,0.002627767226936424,-0.00042518288178695636,0.00596228296307714,-0.022618196921463992,0.02002954346087056,0.5690376569037657,0.4309623430962343
CartPole-v1,6,12,0.012,0.07417654208704064,1.0,0.0,0.0,0.0,0.0,0.9025068634389992,-0.4725058451294899,0.015054129110794321,0.024038165807724,0.00016213892863938206,0.003160215240010681,0.0026152395241769142,-0.18454712629318237,0.0035783951200927654,1.0,0.0
CartPole-v1,7,0,0.0,nan,nan,nan,nan,nan,0.0,0.8186112276725959,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CartPole-v1,8,36,0.036,0.08218930570458505,1.0,0.0,0.0,0.0,0.0,0.8598103947551208,-0.44084557476970887,0.04305600015022759,-0.17087551164958212,0.00028202448881796876,-0.0001816779060593237,0.0042340505237943365,0.1035436416665713,0.006221418217787967,0.16666666666666666,0.8333333333333334
CartPole-v1,9,42,0.042,0.07247632531905597,1.0,0.0,0.0,0.0,0.0,0.6802352072000685,0.11627200335663344,0.05488904034691196,0.15978708260116123,0.01130536574722074,-0.0006664303253360448,0.006693151326474591,-0.0849321996349664,0.02264181193538934,0.7142857142857143,0.2857142857142857
CartPole-v1,10,14,0.014,0.07699218304329823,1.0,0.0,0.0,0.0,0.14285714285714285,0.9197645382114259,0.1294864626002631,0.07022184766932311,0.3788979521819523,0.054355979083961566,-0.0008419325167778879,0.007590338591248416,-0.43544103630951475,0.10478903328113627,0.9285714285714286,0.07142857142857142
CartPole-v1,11,0,0.0,nan,nan,nan,nan,nan,0.0,0.8700003558208018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CartPole-v1,12,69,0.069,0.07385937792309,1.0,0.0,0.0,0.0,0.0,0.7120058298791822,-0.26022259999012604,0.10609061769231504,0.02427239413710608,0.0006628343168606771,0.002484348341897493,0.005874883880604277,-0.18971829397090967,0.014620876240423911,0.927536231884058,0.07246376811594203
CartPole-v1,13,70,0.07,0.07317781342802747,1.0,0.0,0.0,0.0,0.0,0.8503529500492811,0.12397508493491581,0.024430382844333187,0.23873911776712964,0.0022700673021275155,0.003071993257747506,0.0039009068997577765,-0.316225175346647,0.008983608266545363,0.9857142857142858,0.014285714285714285
CartPole-v1,14,71,0.071,0.08436723895435529,1.0,0.0,0.0,0.0,0.0,0.6295218509535808,-0.20592926778423953,0.09024296852103353,-0.17075710586259063,0.0006563803792029901,-0.0008647049667353046,0.006255964745549635,0.10093057816716987,0.014480077397818383,0.22535211267605634,0.7746478873239436
CartPole-v1,15,3,0.003,0.07721251066167928,1.0,0.0,0.0,0.0,0.0,0.8398224097409499,-0.5035438040892283,0.0072473008264371495,0.02396507002413273,8.760590271993025e-05,0.0007615948561578989,0.0037944142485115207,-0.18293356398741403,0.0019350668021480889,1.0,0.0
CartPole-v1,16,4,0.004,0.0741931117609615,1.0,0.0,0.0,0.0,0.0,0.8386546146751587,-0.24835645779967308,0.09917678009706263,0.21912208572030067,0.00048609419822929887,-0.004201898933388293,0.0027640145403553676,-0.47639257460832596,0.010721037197544473,1.0,0.0
CartPole-v1,17,57,0.057,0.07254703584658792,1.0,0.0,0.0,0.0,0.0,0.8451296556305885,0.024161787663807013,0.05037897093193802,0.26862127739086483,0.052338964572348705,0.006569482093542128,0.015778928000999844,-0.308338855180824,0.05008705363719605,0.9824561403508771,0.017543859649122806
CartPole-v1,18,34,0.034,0.07804289304826437,1.0,0.0,0.0,0.0,0.0,0.641535903960113,0.11940749011495534,0.05738183436341866,-0.03701132755069172,0.0005719126987330241,-0.004977318152240888,0.007937524751627689,0.20907729601158814,0.012612080593872902,0.08823529411764706,0.9117647058823529
CartPole-v1,19,0,0.0,nan,nan,nan,nan,nan,0.0,0.9095367439465916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
