task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,action_0_rate,action_1_rate,action_2_rate
MountainCar-v0,0,20,0.038314176245210725,0.013343264694650367,-1.0,0.0,0.0,0.0,0.8,0.9994896661663752,-0.4049567148089409,0.008967150612784738,0.003073429805226624,0.004405370458341411,0.05,0.0,0.95
MountainCar-v0,1,7,0.013409961685823755,0.015490482935103264,-1.0,0.0,0.0,0.0,0.5714285714285714,0.9995601754381236,-0.9913197159767151,0.00797259042120642,-0.00142463729051607,0.01088361183549835,0.5714285714285714,0.0,0.42857142857142855
MountainCar-v0,2,2,0.0038314176245210726,0.015662986625861255,-1.0,0.0,0.0,0.0,0.0,0.9993281401931806,0.20926089584827423,0.005445212125778198,0.03395293839275837,0.006424764171242714,0.0,0.0,1.0
MountainCar-v0,3,4,0.007662835249042145,0.013235037324124437,-1.0,0.0,0.0,0.0,0.75,0.9993326556170392,-0.7152692973613739,0.017756845006148336,0.014623132767155766,0.002696189236831439,0.0,0.0,1.0
MountainCar-v0,4,5,0.009578544061302681,0.014250438555857498,-1.0,0.0,0.0,0.0,0.0,0.999071517996495,-0.20378334820270538,0.003910137898682426,0.048312260583043096,0.011398541263066685,0.0,0.0,1.0
MountainCar-v0,5,4,0.007662835249042145,0.017049966432894168,-1.0,0.0,0.0,0.0,0.5,0.9995689976185234,-1.1307052373886108,0.012551873240746301,0.009146362019237131,0.009046799002541607,0.25,0.0,0.75
MountainCar-v0,6,5,0.009578544061302681,0.016367707102815883,-1.0,0.0,0.0,0.0,0.2,0.9995795468470468,0.430066978931427,0.010159991267768098,0.03456330187618732,0.009844184797546849,0.0,0.0,1.0
MountainCar-v0,7,7,0.013409961685823755,0.015303185434748044,-1.0,0.0,0.0,0.0,0.2857142857142857,0.9990464211283419,-0.013430142242993628,0.01526461057988527,0.03988134488463402,0.015340023479100885,0.0,0.0,1.0
MountainCar-v0,8,12,0.022988505747126436,0.013034432825086107,-1.0,0.0,0.0,0.0,0.8333333333333334,0.9996285032573572,-0.5322576264540354,0.008037841930852958,-0.0010220161154090117,0.004194676802723768,0.5,0.0,0.5
MountainCar-v0,9,5,0.009578544061302681,0.014444668849226284,-1.0,0.0,0.0,0.0,0.4,0.9998940620679372,-0.8599399209022522,0.0116294659530901,-0.023728156462311745,0.002429244510347151,1.0,0.0,0.0
MountainCar-v0,10,10,0.019157088122605363,0.01387331191456638,-1.0,0.0,0.0,0.0,0.9,0.9991809742578145,-0.27801066637039185,0.0038898999158760673,0.000538898901140783,0.0029994599847602004,0.3,0.0,0.7
MountainCar-v0,11,7,0.013409961685823755,0.016229096309996926,-1.0,0.0,0.0,0.0,0.5714285714285714,0.9995090563918292,-1.0639984948294503,0.01215184442408873,-0.0027938426979484837,0.010248499796606629,0.7142857142857143,0.0,0.2857142857142857
MountainCar-v0,12,2,0.0038314176245210726,0.015865463342260924,-1.0,0.0,0.0,0.0,0.0,0.9993037068505178,0.10248314961791039,0.004999171942472458,0.039092883467674255,0.006516162306070328,0.0,0.0,1.0
MountainCar-v0,13,8,0.01532567049808429,0.013182043222267247,-1.0,0.0,0.0,0.0,0.375,0.9997314258451666,-0.6265436708927155,0.010041071620900089,-0.023246899829246104,0.015466271733671275,1.0,0.0,0.0
MountainCar-v0,14,3,0.005747126436781609,0.01315544080338337,-1.0,0.0,0.0,0.0,0.0,0.9992678367161438,-0.4576636056105296,0.010446319443615482,0.046356555074453354,0.012734690440576102,0.3333333333333333,0.0,0.6666666666666666
MountainCar-v0,15,3,0.005747126436781609,0.014726357099881402,-1.0,0.0,0.0,0.0,0.0,0.9988844154616628,-0.10033514599005382,0.007585329793373187,0.04250113169352213,0.013236158972867403,0.0,0.0,1.0
MountainCar-v0,16,4,0.007662835249042145,0.015884372674595033,-1.0,0.0,0.0,0.0,0.0,0.9996908781474243,0.32932552695274353,0.010648273751665773,0.0377883892506361,0.009081808592093737,0.0,0.0,1.0
MountainCar-v0,17,10,0.019157088122605363,0.013141381925536549,-1.0,0.0,0.0,0.0,0.8,0.9994273026161374,-0.4729821979999542,0.007310720119261803,0.00514573281398043,0.003344815852271062,0.1,0.0,0.9
MountainCar-v0,18,7,0.013409961685823755,0.013528101155245489,-1.0,0.0,0.0,0.0,0.7142857142857143,0.999190687963264,-0.3416916174548013,0.007715227513207618,0.008019940062825168,0.0017648218240540981,0.0,0.0,1.0
MountainCar-v0,19,5,0.009578544061302681,0.013839400228913177,-1.0,0.0,0.0,0.0,0.2,0.9998539692272852,-0.791961669921875,0.013822907389049531,0.04224267527461052,0.004719222983054084,0.0,0.0,1.0
MountainCar-v0,20,5,0.009578544061302681,0.013463607082471758,-1.0,0.0,0.0,0.0,0.0,0.9998918195224242,-0.7353349208831788,0.008401147075555454,-0.030206291005015373,0.016021484565063613,1.0,0.0,0.0
MountainCar-v0,21,4,0.007662835249042145,0.014856334428690691,-1.0,0.0,0.0,0.0,0.0,0.9997350177963485,-0.9119966626167297,0.009534178152977822,0.03319383878260851,0.007394118861294059,0.0,0.0,1.0
MountainCar-v0,22,6,0.011494252873563218,0.015044209973369797,-1.0,0.0,0.0,0.0,0.5,0.9997009039042983,-0.9336319267749786,0.010541524475677378,-0.01875450819109877,0.003316963392505918,1.0,0.0,0.0
MountainCar-v0,23,4,0.007662835249042145,0.01817813979637053,-1.0,0.0,0.0,0.0,0.75,0.9993256583484903,-1.1959489285945892,0.0035379935926444814,-0.008753179397899657,0.020908690610315094,0.25,0.0,0.75
MountainCar-v0,24,2,0.0038314176245210726,0.015749994997755742,-1.0,0.0,0.0,0.0,0.5,0.9994471167812546,0.3039627969264984,0.01215672492980957,0.024614302441477776,0.000300845131278038,0.0,0.0,1.0
MountainCar-v0,25,3,0.005747126436781609,0.014913353255626342,-1.0,0.0,0.0,0.0,0.6666666666666666,0.9996610167583677,-0.054348425939679146,0.02484030839307309,-0.028664108986655872,0.002842016810452151,1.0,0.0,0.0
MountainCar-v0,26,5,0.009578544061302681,0.013243265561047943,-1.0,0.0,0.0,0.0,0.2,0.9996593127163049,-0.6604800462722779,0.012668579373000335,0.037121403589844705,0.013050007170282308,0.0,0.0,1.0
MountainCar-v0,27,3,0.005747126436781609,0.01350781006332999,-1.0,0.0,0.0,0.0,0.0,0.9993562916233494,-0.3643819789091746,0.0049151758883892015,0.04748471329609553,0.011430230708430045,0.0,0.0,1.0
MountainCar-v0,28,10,0.019157088122605363,0.015644573015363508,-1.0,0.0,0.0,0.0,0.6,0.9997721585711006,-1.0104601800441741,0.005583914174136861,-0.012957328665652312,0.014790729465369289,0.8,0.0,0.2
MountainCar-v0,29,0,0.0,nan,nan,nan,nan,nan,0.0,0.9990153342682473,nan,nan,nan,nan,nan,nan,nan
MountainCar-v0,30,0,0.0,nan,nan,nan,nan,nan,0.0,0.9998631204367119,nan,nan,nan,nan,nan,nan,nan
MountainCar-v0,31,2,0.0038314176245210726,0.013046446763071321,-1.0,0.0,0.0,0.0,0.0,0.9991997717334938,-0.5950829088687897,0.0019288361072540283,0.03987451735883951,0.013776286505162716,0.0,0.0,1.0
MountainCar-v0,32,1,0.0019157088122605363,0.01407145072474052,-1.0,0.0,0.0,0.0,0.0,0.9991404272847028,-0.2450779229402542,0.0,-0.044174306094646454,0.0,1.0,0.0,0.0
MountainCar-v0,33,15,0.028735632183908046,0.015975761979741973,-1.0,0.0,0.0,0.0,0.5333333333333333,0.9993123953936457,0.06596236762901148,0.015893006310320233,0.01518941040461262,0.019467801662173063,0.2,0.0,0.8
MountainCar-v0,34,6,0.011494252873563218,0.013205110591049432,-1.0,0.0,0.0,0.0,0.6666666666666666,0.9994732719806974,-0.44696666300296783,0.006604553419046899,0.0074653530803819495,0.0018851610466452825,0.0,0.3333333333333333,0.6666666666666666
MountainCar-v0,35,5,0.009578544061302681,0.015686968018514345,-1.0,0.0,0.0,0.0,0.2,0.9995154788593303,0.24578169882297515,0.010769092820708755,0.036813193932175636,0.009526962838039691,0.0,0.0,1.0
MountainCar-v0,36,5,0.009578544061302681,0.013806078966091036,-1.0,0.0,0.0,0.0,0.2,0.9991714079236821,-0.27518253326416015,0.01507606371278659,0.04424853436648846,0.012401026488389399,0.0,0.0,1.0
MountainCar-v0,37,5,0.009578544061302681,0.013469312579961052,-1.0,0.0,0.0,0.0,0.4,0.9991502144377273,-0.3822473883628845,0.010180299817944513,-0.01765119656920433,0.0046095523316200294,1.0,0.0,0.0
MountainCar-v0,38,7,0.013409961685823755,0.015929424173358107,-1.0,0.0,0.0,0.0,0.14285714285714285,0.9990920535159549,0.04023571751479592,0.020814788030848633,0.021777572642479624,0.022766508995727696,0.2857142857142857,0.0,0.7142857142857143
MountainCar-v0,39,3,0.005747126436781609,0.01431997571528888,-1.0,0.0,0.0,0.0,0.0,0.9997717867054287,-0.8515181740125021,0.0032900548255147513,0.0378314641614755,0.006892746945500137,0.0,0.0,1.0
MountainCar-v0,40,6,0.011494252873563218,0.013081615470222822,-1.0,0.0,0.0,0.0,0.3333333333333333,0.9995224337023644,-0.5950435996055603,0.0060935182053634416,-0.018799069647987682,0.0096647115868951,1.0,0.0,0.0
MountainCar-v0,41,0,0.0,nan,nan,nan,nan,nan,0.0,0.999487170136355,nan,nan,nan,nan,nan,nan,nan
MountainCar-v0,42,8,0.01532567049808429,0.013254769533775003,-1.0,0.0,0.0,0.0,0.375,0.9997100617405023,-0.6644194796681404,0.011210581670148193,-0.025409584981389344,0.014666103432332793,1.0,0.0,0.0
MountainCar-v0,43,5,0.009578544061302681,0.01657393540407435,-1.0,0.8,0.0,0.8,1.0,0.9998254676608938,0.47459920048713683,0.010339279913572811,0.03504024744033814,0.009702975089199649,0.0,0.0,1.0
MountainCar-v0,44,9,0.017241379310344827,0.01360749161294817,-1.0,0.0,0.0,0.0,0.7777777777777778,0.9992727765542075,-0.31493504842122394,0.007363841984591231,0.005867681776483853,0.0018634154859813676,0.0,0.2222222222222222,0.7777777777777778
MountainCar-v0,45,4,0.007662835249042145,0.013108095606482701,-1.0,0.0,0.0,0.0,0.0,0.9993682076043247,-0.4876171424984932,0.013777690316767574,0.050053070299327374,0.011912323698208915,0.0,0.0,1.0
MountainCar-v0,46,1,0.0019157088122605363,0.01451938936947565,-1.0,0.0,0.0,0.0,0.0,0.9992574911060992,-0.8828930258750916,0.0,-0.019530680030584335,0.0,1.0,0.0,0.0
MountainCar-v0,47,6,0.011494252873563218,0.015708225569924173,-1.0,0.0,0.0,0.0,0.3333333333333333,0.9996096041765713,-1.0205141107241313,0.01016579971009807,0.016240422575113673,0.010246724945698896,0.0,0.0,1.0
MountainCar-v0,48,4,0.007662835249042145,0.015830388175600243,-1.0,0.0,0.0,0.0,0.0,0.999401475074895,0.13521699234843254,0.011240890605438827,0.04284310946241021,0.0077743242310467165,0.0,0.0,1.0
MountainCar-v0,49,2,0.0038314176245210726,0.016039209839439596,-1.0,0.0,0.0,0.0,0.5,0.9996699553819925,0.03143091779202223,0.00909241009503603,-0.016444046050310135,0.0017407741397619247,1.0,0.0,0.0
MountainCar-v0,50,7,0.013409961685823755,0.01482012258535602,-1.0,0.0,0.0,0.0,0.42857142857142855,0.9988939272798196,-0.06354998371430806,0.01682104822630239,0.03560945285218103,0.014042635691621138,0.0,0.0,1.0
MountainCar-v0,51,5,0.009578544061302681,0.014609936739146517,-1.0,0.0,0.0,0.0,0.2,0.9989480582359757,-0.13700982481241225,0.011673663434058457,0.041554436460137366,0.014248025038628384,0.0,0.0,1.0
MountainCar-v0,52,4,0.007662835249042145,0.015635462519749458,-1.0,0.0,0.0,0.0,0.0,0.999503576772648,0.18392536044120789,0.012126911745572693,0.041241663973778486,0.008249758198303076,0.0,0.0,1.0
MountainCar-v0,53,7,0.013409961685823755,0.013093665824484143,-1.0,0.0,0.0,0.0,0.42857142857142855,0.9992912157654976,-0.5153988003730774,0.013484716958890239,-0.030058601605040685,0.01070524640158277,1.0,0.0,0.0
MountainCar-v0,54,5,0.009578544061302681,0.015200259556754876,-1.0,0.0,0.0,0.0,0.2,0.9997926489788627,-0.9481301069259643,0.008391678564276979,0.027357222512364388,0.008233936062633125,0.0,0.0,1.0
MountainCar-v0,55,5,0.009578544061302681,0.013709510908311073,-1.0,0.0,0.0,0.0,0.2,0.9995304577349747,-0.7825268268585205,0.009617089349155386,-0.03287246488034725,0.012396888190362004,1.0,0.0,0.0
MountainCar-v0,56,2,0.0038314176245210726,0.016420825040539176,-1.0,0.0,0.0,0.0,0.0,0.9995414364518453,-1.0815154314041138,0.00016796588897705078,0.02070106891915202,0.005967727396637201,0.0,0.0,1.0
