method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega
kahkm_nlms,1,0.009427389892551112,0.7209802299449046,1.9984014443252818e-15,780,Acrobot-v1,150,0.5
kahkm_nlms,5,0.039130567509495305,-0.14670379581664572,2.6645352591003757e-15,756,Acrobot-v1,150,0.5
kahkm_nlms,10,0.04382860845941635,-0.2709217097062855,4.218847493575595e-15,726,Acrobot-v1,150,0.5
kahkm_nlms,20,0.04068042920716202,-0.18559510462422613,7.327471962526033e-15,666,Acrobot-v1,150,0.5
kahkm_nlms,50,0.05509866654237061,-0.7109301837172408,1.6653345369377348e-14,486,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,1,0.009427389892551112,0.7209802299449046,1.1102230246251565e-15,780,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,5,0.03913056750949529,-0.14670379581664528,1.1102230246251565e-15,756,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,10,0.04382860845941633,-0.27092170970628504,1.5543122344752192e-15,726,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,20,0.040680429207162,-0.18559510462422568,1.1102230246251565e-15,666,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,50,0.05509866654237052,-0.7109301837172379,1.1102230246251565e-15,486,Acrobot-v1,150,0.5
kmeans_hard_nlms,1,0.8580297229064117,0.1311366189598432,3.3306690738754696e-16,780,Acrobot-v1,150,0.5
kmeans_hard_nlms,5,0.9445631701926479,0.04383983103338751,7.771561172376096e-16,756,Acrobot-v1,150,0.5
kmeans_hard_nlms,10,0.9706919307847236,0.017851948618064273,1.3322676295501878e-15,726,Acrobot-v1,150,0.5
kmeans_hard_nlms,20,0.983716539702976,0.005049906773048396,1.6653345369377348e-15,666,Acrobot-v1,150,0.5
kmeans_hard_nlms,50,0.9884955083331034,-0.0030618092257703733,3.3306690738754696e-15,486,Acrobot-v1,150,0.5
kmeans_distance_nlms,1,0.1945830457992388,0.4637612660033802,1.9984014443252818e-15,780,Acrobot-v1,150,0.5
kmeans_distance_nlms,5,0.32649562055230674,0.0884875266351609,0.0038020427231590546,756,Acrobot-v1,150,0.5
kmeans_distance_nlms,10,0.33152039056857374,0.06789602977030895,0.012637471699880493,726,Acrobot-v1,150,0.5
kmeans_distance_nlms,20,0.31867912314188074,0.10117505509050417,0.011366278247665118,666,Acrobot-v1,150,0.5
kmeans_distance_nlms,50,0.3592537661974558,-0.01094415040424801,0.010900081564454829,486,Acrobot-v1,150,0.5
kmeans_rbf_nlms,1,0.04025244501731191,0.7105526901841581,0.0007177803585425948,780,Acrobot-v1,150,0.5
kmeans_rbf_nlms,5,0.07062642781106565,0.5020238055227301,0.0016953385688062697,756,Acrobot-v1,150,0.5
kmeans_rbf_nlms,10,0.09490331118706984,0.3470445956738065,0.0012867448486162663,726,Acrobot-v1,150,0.5
kmeans_rbf_nlms,20,0.12208025916317046,0.19918772136762786,0.0005497074354935323,666,Acrobot-v1,150,0.5
kmeans_rbf_nlms,50,0.18560476283506752,-0.07501071647120416,0.00012643173821681294,486,Acrobot-v1,150,0.5
state_dmd,1,0.011879278381088655,0.6484123856030651,1.3322676295501878e-15,780,Acrobot-v1,150,0.5
state_dmd,5,0.04139184336751262,-0.21296947441044045,1.2212453270876722e-15,756,Acrobot-v1,150,0.5
state_dmd,10,0.055294629941331094,-0.6034080955977656,1.1102230246251565e-15,726,Acrobot-v1,150,0.5
state_dmd,20,0.051302761454657404,-0.49517357657666516,1.1102230246251565e-15,666,Acrobot-v1,150,0.5
state_dmd,50,0.05816801120772657,-0.8062398302429088,1.2212453270876722e-15,486,Acrobot-v1,150,0.5
state_edmd_poly2,1,0.008751832809137739,0.7409745002807508,1.3322676295501878e-15,780,Acrobot-v1,150,0.5
state_edmd_poly2,5,0.05232347770341636,-0.5333161339476065,1.887379141862766e-15,756,Acrobot-v1,150,0.5
state_edmd_poly2,10,0.052830700871601056,-0.5319602204320291,1.887379141862766e-15,726,Acrobot-v1,150,0.5
state_edmd_poly2,20,0.05340551227686719,-0.5564563882294384,1.887379141862766e-15,666,Acrobot-v1,150,0.5
state_edmd_poly2,50,0.057627542584624665,-0.7894571358757765,1.887379141862766e-15,486,Acrobot-v1,150,0.5
state_edmd_poly3,1,0.005632035906710179,0.8333102394678756,1.3322676295501878e-15,780,Acrobot-v1,150,0.5
state_edmd_poly3,5,0.029414797636478283,0.13801249893083423,2.6645352591003757e-15,756,Acrobot-v1,150,0.5
state_edmd_poly3,10,0.06742991642472752,-0.9553015183500506,1.9984014443252818e-15,726,Acrobot-v1,150,0.5
state_edmd_poly3,20,0.07885042873535762,-1.2980259581357343,1.9984014443252818e-15,666,Acrobot-v1,150,0.5
state_edmd_poly3,50,0.08901435780361841,-1.7640841622419505,1.4432899320127035e-15,486,Acrobot-v1,150,0.5
