regime,count,mass_fraction,mean_reward,terminal_next_rate,terminal_risk_within_25,action_0_prob,action_1_prob,action_2_prob,action_purity,mean_tip_height,mean_theta1,mean_theta2
0,2,0.002828854314002829,-1.0,0.0,0.5,0.0,0.0,1.0,1.0,-0.17427195252881272,0.21280665804062976,2.2834980701175445
1,10,0.014144271570014143,-1.0,0.0,0.8,1.0,0.0,0.0,1.0,-1.064319153452664,0.017503916813493857,-0.6972417758855972
2,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,8,0.011315417256011316,-1.0,0.0,0.25,1.0,0.0,0.0,1.0,-0.8579433747888183,0.08499054243755196,1.5033922226340413
4,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,26,0.036775106082036775,-1.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.9230769230769231,0.9230769230769231,-1.7660624077990303,-0.06233443548652618,-0.06039749490598997
6,9,0.01272984441301273,-1.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.8888888888888888,-1.2804816407134976,0.004426451046082062,-1.1843296104709233
7,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,24,0.033946251768033946,-0.9583333333333334,0.041666666666666664,0.041666666666666664,0.7083333333333334,0.08333333333333333,0.20833333333333334,0.7083333333333334,-1.6207065577781623,-0.10447301586335267,-0.6599970834572176
9,8,0.011315417256011316,-1.0,0.0,0.0,0.875,0.0,0.125,0.875,-1.433390734222876,0.5605885058399713,-1.2872065116009872
10,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,13,0.018387553041018388,-1.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.0,0.9230769230769231,-1.5135173173175158,0.26184085027365167,0.36451325492007236
12,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,4,0.005657708628005658,-1.0,0.0,1.0,0.75,0.25,0.0,0.75,-0.23048155021522834,-0.1105050293824181,-2.7019390061092197
14,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,5,0.007072135785007072,-1.0,0.0,0.6,0.8,0.0,0.2,0.8,-0.8814143597604428,-0.5522600963654372,-0.9050958626795189
16,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5542132324889688,-1.1542439932490764,-2.2753156373040198
17,18,0.02545968882602546,-1.0,0.0,0.0,0.9444444444444444,0.0,0.05555555555555555,0.9444444444444444,-0.33459046249808977,-0.17263910849206932,-2.200796605240166
18,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.188842768934278,0.6810445809524487,0.4651836087123728
20,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,17,0.024045261669024046,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.14484294621974717,0.11000674189342828,2.222120441428462
22,4,0.005657708628005658,-1.0,0.0,0.75,0.25,0.0,0.75,0.75,-0.7318170583584584,-0.5945448476667048,-0.8034954008195168
23,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,12,0.016973125884016973,-1.0,0.0,0.0,0.25,0.0,0.75,0.75,-0.8476098886805108,0.5475272629410094,0.9939177685687225
26,1,0.0014144271570014145,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.003620139563890068,0.9872536659923727,1.1627534914288988
27,9,0.01272984441301273,-0.8888888888888888,0.1111111111111111,0.5555555555555556,1.0,0.0,0.0,1.0,-0.4107868514427836,-0.29974890006763916,2.1629725421178816
28,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,8,0.011315417256011316,-1.0,0.0,0.5,1.0,0.0,0.0,1.0,-0.6825155236404208,0.40871416425654006,0.6699665768578118
30,2,0.002828854314002829,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.7001076577752288,0.12141926946561846,0.661968570965917
31,4,0.005657708628005658,-1.0,0.0,0.5,0.0,0.0,1.0,1.0,-0.8098286122126789,-0.6326381723307507,2.0805169156358994
32,9,0.01272984441301273,-1.0,0.0,0.3333333333333333,1.0,0.0,0.0,1.0,-1.2489962651903754,0.47703747601709423,-0.28832331108844866
33,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,7,0.009900990099009901,-1.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,-1.547778068497965,-0.6594488694767445,0.8602170286094035
36,5,0.007072135785007072,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.6907850343694357,-0.008732553518665708,-0.19473753684946676
37,6,0.008486562942008486,-1.0,0.0,0.16666666666666666,0.0,0.0,1.0,1.0,-1.2171664438686964,-0.046789406060506876,-0.18861537867147646
38,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,7,0.009900990099009901,-1.0,0.0,0.42857142857142855,1.0,0.0,0.0,1.0,0.08494745997765951,-0.8779610286292271,-0.24645756642393715
41,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,11,0.015558698727015558,-1.0,0.0,0.7272727272727273,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.8181818181818182,-0.2289415805955903,-0.12983379856887844,-0.9636851962265388
43,2,0.002828854314002829,-1.0,0.0,0.5,0.0,0.0,1.0,1.0,-0.7568608710908927,0.5618509379805579,1.1629224061222294
44,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.4307971469762726,1.0946393405687365,-0.8592778476332117
45,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.265530929659327,0.2454395573023585,2.1070747046872498
46,8,0.011315417256011316,-1.0,0.0,0.0,0.875,0.0,0.125,0.875,-1.1147772136684189,-0.018967286692997902,1.3869951772473244
47,7,0.009900990099009901,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.3559431638038162,0.016808540744366534,-2.317251072162049
48,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,43,0.06082036775106082,-1.0,0.0,0.0,0.7209302325581395,0.16279069767441862,0.11627906976744186,0.7209302325581395,-1.9062442346637256,0.0045403385428127606,-0.290459613558516
50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
52,4,0.005657708628005658,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.6332697600810047,-0.04075469049036601,-1.3717971678451952
53,8,0.011315417256011316,-1.0,0.0,0.625,1.0,0.0,0.0,1.0,-0.4226020271008747,0.3778393302916813,-0.5230248147511094
54,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,5,0.007072135785007072,-1.0,0.0,0.0,0.2,0.0,0.8,0.8,-0.6229573669373049,-0.15584538011536536,-1.7741312642327973
56,4,0.005657708628005658,-1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.03139326824662232,0.7203584491759898,0.9261618130217366
57,5,0.007072135785007072,-1.0,0.0,0.4,1.0,0.0,0.0,1.0,-0.7369611483889489,-0.4991575808940475,-0.9892812023087153
58,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,6,0.008486562942008486,-1.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,-0.4074130730363444,0.49401940766198665,-2.373713020294313
60,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,8,0.011315417256011316,-1.0,0.0,0.375,1.0,0.0,0.0,1.0,-0.01672557988618433,-0.32741948613261895,-1.9820397850375011
62,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,7,0.009900990099009901,-1.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.7142857142857143,-1.1456559494137226,0.03313649076372714,-1.2828298628165942
64,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
65,24,0.033946251768033946,-1.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.875,0.875,-1.8619379391049422,-0.1302544863077235,-0.042747898559284424
66,11,0.015558698727015558,-1.0,0.0,0.0,0.6363636363636364,0.0,0.36363636363636365,0.6363636363636364,-0.28483973291873615,0.23066209498544324,2.166209323040471
67,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.8261967024692622,1.7454859633279967,-1.7467441051543549
68,1,0.0014144271570014145,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.601842220452608,0.2093503762843841,0.6880092285574584
69,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,5,0.007072135785007072,-1.0,0.0,0.6,0.6,0.0,0.4,0.6,-0.9255904062437516,0.5951363685803969,-1.5841243520277852
71,22,0.031117397454031116,-1.0,0.0,0.0,0.045454545454545456,0.0,0.9545454545454546,0.9545454545454546,-1.7953228650305413,-0.22436481656722068,0.7175624512910473
72,5,0.007072135785007072,-1.0,0.0,0.0,0.0,0.2,0.8,0.8,-1.0917929128416195,-0.09944625967256718,-1.2765822916490275
73,34,0.04809052333804809,-1.0,0.0,0.0,0.23529411764705882,0.11764705882352941,0.6470588235294118,0.6470588235294118,-1.7554386159812636,0.02872230410419384,0.6354116185960851
74,7,0.009900990099009901,-1.0,0.0,0.7142857142857143,1.0,0.0,0.0,1.0,-1.03081044210068,0.660181359998526,-0.9777585729878957
75,9,0.01272984441301273,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.635734559760511,0.011902263149851239,0.5458184230416088
76,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78,14,0.019801980198019802,-1.0,0.0,0.21428571428571427,0.9285714285714286,0.07142857142857142,0.0,0.9285714285714286,-1.007483549276282,0.17394766692168448,0.9042667580240328
79,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.8041930124744149,-0.45992042413542544,2.1227413913523563
81,3,0.004243281471004243,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.1060122932793641,-0.640404139301037,1.718927055735734
82,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83,6,0.008486562942008486,-1.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,-0.29949283985307945,-0.02533551401616189,-0.5487982378272621
84,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
87,8,0.011315417256011316,-1.0,0.0,0.0,0.0,0.125,0.875,0.875,-1.0515597573981816,-0.3684988566584041,1.7743486644553665
88,2,0.002828854314002829,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.8418626790962367,-0.19370243675415097,-0.04299427527590838
89,5,0.007072135785007072,-1.0,0.0,0.8,1.0,0.0,0.0,1.0,-1.1407758106235013,-0.3145999880252058,-0.7980136250404923
90,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
91,14,0.019801980198019802,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8193365588411619,-0.04183789253630386,-1.2847201236993544
92,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
93,4,0.005657708628005658,-0.75,0.25,0.5,0.0,0.0,1.0,1.0,-0.35620841253559954,0.04302791708019127,1.6536520899929443
94,7,0.009900990099009901,-1.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714,-0.6171672470366713,-0.5433919358775944,1.116267776545763
95,3,0.004243281471004243,-1.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.4665035994268716,-0.026547161686432934,2.0238213326104817
96,3,0.004243281471004243,-1.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-1.4707609119260443,-0.17297028932242475,0.864530222907101
97,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
98,4,0.005657708628005658,-1.0,0.0,0.5,0.25,0.0,0.75,0.75,-0.5188464704906327,0.3563003133518356,1.61577417618693
99,9,0.01272984441301273,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.35240724542009105,0.422496519207892,1.7662937647316244
100,7,0.009900990099009901,-1.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571,-0.1269202061006956,-0.2241374088596734,-1.7063707021178955
101,2,0.002828854314002829,-1.0,0.0,0.5,0.0,0.0,1.0,1.0,-0.9144826735265078,-0.43406865428926017,-1.1283175723770549
102,2,0.002828854314002829,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.012931395892529,-0.7870957864287069,1.6963236493285818
103,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
104,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
105,7,0.009900990099009901,-1.0,0.0,0.2857142857142857,1.0,0.0,0.0,1.0,-0.32663010896722394,-0.6084510529810367,1.783506299120663
106,23,0.03253182461103253,-1.0,0.0,0.0,0.9130434782608695,0.08695652173913043,0.0,0.9130434782608695,-1.8122969145579864,0.20385943026957193,-0.6399997970444299
107,7,0.009900990099009901,-1.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.8571428571428571,-0.5770142571231026,0.03904767197989789,-2.086619565174923
108,5,0.007072135785007072,-1.0,0.0,0.2,0.8,0.0,0.2,0.8,-0.4340111320762842,-0.17742113906342097,2.269990149326278
109,6,0.008486562942008486,-1.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.023796853298312937,0.486544849303453,2.2255513780554423
110,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
111,5,0.007072135785007072,-1.0,0.0,0.4,0.8,0.2,0.0,0.8,-1.1715006057929256,0.7740008459445764,-0.5981256346244599
112,6,0.008486562942008486,-0.8333333333333334,0.16666666666666666,0.6666666666666666,1.0,0.0,0.0,1.0,-0.9203028048476485,-0.31883064683420387,1.5591605557905186
113,10,0.014144271570014143,-1.0,0.0,0.6,0.9,0.0,0.1,0.9,-1.0005282415988481,-0.39924922330629986,1.4884824466527882
114,3,0.004243281471004243,-1.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,-0.11821260333671467,0.7682783756265014,-0.9943109582048871
115,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
116,8,0.011315417256011316,-1.0,0.0,0.125,0.0,0.0,1.0,1.0,-1.3470565813828903,-0.13588724338255226,0.7188322350512933
117,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
118,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
119,5,0.007072135785007072,-1.0,0.0,0.2,1.0,0.0,0.0,1.0,-0.0006159824940750513,-0.04728503786254158,1.5844146459705044
120,1,0.0014144271570014145,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.518257750484323,0.5283767225385547,-1.3854784009694738
121,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
122,7,0.009900990099009901,-0.8571428571428571,0.14285714285714285,1.0,0.14285714285714285,0.0,0.8571428571428571,0.8571428571428571,0.3727561310023371,-0.8582829469153518,-0.31074612246346783
123,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.929166032049384,-0.3217286239998048,0.5196582379786325
124,14,0.019801980198019802,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.8944821285599063,0.330026386394443,-0.16359061598176236
125,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
126,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
127,6,0.008486562942008486,-1.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.13344695314257257,0.5839488147192751,-0.48036688034837366
128,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.796879294154136,1.7071614656454324,-1.3385323358956647
129,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.7425863582519857,-0.8704573631806172,-0.6020714320709578
130,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
131,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
132,3,0.004243281471004243,-1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.18549136566581156,-2.2720321558855257,1.1749842502763375
133,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
