task,n_clusters,omega,state_dim,requested_subspace_dim,effective_subspace_dim,train_transitions,test_transitions,train_closure_error,train_r2,test_one_step_error,test_one_step_r2,test_simplex_violation,fit_seconds
Acrobot-v1,20,0.5,6,20,6,1730,1079,0.008605789652228572,0.8385994619570019,0.010072452792471535,0.8227476160966565,8.881784197001252e-16,1.02866792678833
Acrobot-v1,20,1.0,6,20,6,1730,1079,0.02836159843457084,0.8299640045385566,0.0316052000278534,0.8163599531242,1.1102230246251565e-15,0.8717899322509766
Acrobot-v1,20,2.0,6,20,6,1730,1079,0.08494323739748745,0.7973269322092791,0.08966538092857887,0.7898729523142958,0.001088193727832386,0.8462719917297363
Acrobot-v1,20,4.0,6,20,6,1730,1079,0.23918186597245422,0.6665873157992265,0.2647638256983073,0.6385560260603842,0.017170116874748394,0.8507609367370605
Acrobot-v1,20,8.0,6,20,6,1730,1079,0.4030151492075468,0.5336554654633741,0.44652140804485474,0.4888908255387193,0.02901654982922608,0.8505511283874512
Acrobot-v1,40,0.5,6,20,6,1730,1079,0.008703994170707836,0.8393854137758118,0.009666324415078876,0.8284698080664993,8.881784197001252e-16,0.9108998775482178
Acrobot-v1,40,1.0,6,20,6,1730,1079,0.030551512708427365,0.8247522859533677,0.03283012279232755,0.8118504018970485,8.881784197001252e-16,0.8981001377105713
Acrobot-v1,40,2.0,6,20,6,1730,1079,0.0943927759517804,0.7972441676046913,0.09866333133895666,0.7836064369229341,0.001827075775614498,0.9050579071044922
Acrobot-v1,40,4.0,6,20,6,1730,1079,0.24285728581967886,0.6955937613009191,0.2613746490133018,0.6702872118365143,0.039913766854524226,0.9065349102020264
Acrobot-v1,40,8.0,6,20,6,1730,1079,0.4388398218794804,0.5249280396278984,0.4788513971229721,0.479847302383693,0.07189788302756757,0.9090259075164795
Acrobot-v1,50,0.5,6,20,6,1730,1079,0.008930760361188894,0.8345725474407263,0.010024888500671935,0.8235610874453896,8.881784197001252e-16,0.9471180438995361
Acrobot-v1,50,1.0,6,20,6,1730,1079,0.03165133154115641,0.8164548142571109,0.03380106920149429,0.8039155383211594,1.1102230246251565e-15,1.067535161972046
Acrobot-v1,50,2.0,6,20,6,1730,1079,0.10129541608133835,0.7839248604797463,0.10381130329109203,0.7702882102208974,0.0010055769648698747,1.18973708152771
Acrobot-v1,50,4.0,6,20,6,1730,1079,0.24514658688284052,0.6989228043319835,0.25796821141792575,0.6790143850610321,0.042158718539830296,1.1782710552215576
Acrobot-v1,50,8.0,6,20,6,1730,1079,0.44882645529731474,0.5204277441581093,0.476858760425576,0.48734296623313333,0.06295528997471478,1.1940841674804688
Acrobot-v1,75,0.5,6,20,6,1730,1079,0.008978137017147603,0.8282606033761661,0.010219851250096258,0.8155028906622919,1.1102230246251565e-15,1.943376064300537
Acrobot-v1,75,1.0,6,20,6,1730,1079,0.034182540861873306,0.7980868703913396,0.03728992986014568,0.7811720502984262,1.1102230246251565e-15,1.1493020057678223
Acrobot-v1,75,2.0,6,20,6,1730,1079,0.12686726455907876,0.7331091243280214,0.13392799647647616,0.7073259847275724,0.002953819353407711,1.1042492389678955
Acrobot-v1,75,4.0,6,20,6,1730,1079,0.26456415742319905,0.6866267590083528,0.28079221730056514,0.6623192266567796,0.034449849993124795,1.088036060333252
Acrobot-v1,75,8.0,6,20,6,1730,1079,0.4695393752716849,0.5093794188040124,0.5071712325053688,0.4673265073660634,0.1176608851390928,1.0818309783935547
Acrobot-v1,100,0.5,6,20,6,1730,1079,0.009171309247987277,0.8212546093905015,0.010120185543766673,0.8133383751091201,1.3322676295501878e-15,1.3930590152740479
Acrobot-v1,100,1.0,6,20,6,1730,1079,0.03490015380256519,0.7908927807355417,0.036863991508425537,0.7799658160483839,1.3322676295501878e-15,1.3362770080566406
Acrobot-v1,100,2.0,6,20,6,1730,1079,0.14112139267315038,0.703291088117054,0.14376033044665248,0.6842903962319486,0.000730015711873188,1.336899995803833
Acrobot-v1,100,4.0,6,20,6,1730,1079,0.28445861523891336,0.6695543939442792,0.29750854471560184,0.6473570111728086,0.05861223495990521,1.3423938751220703
Acrobot-v1,100,8.0,6,20,6,1730,1079,0.4783707188868053,0.5055265968389975,0.5313029063391778,0.4469565309662018,0.12445630885206883,1.3448340892791748
Acrobot-v1,150,0.5,6,20,6,1730,1079,0.01006967305007096,0.7734465205672967,0.0114099043377271,0.752865729849862,2.1094237467877974e-15,2.6217238903045654
Acrobot-v1,150,1.0,6,20,6,1730,1079,0.03792388170741451,0.7428011917992206,0.03930384615679999,0.7291949982191125,1.887379141862766e-15,2.1781270503997803
Acrobot-v1,150,2.0,6,20,6,1730,1079,0.17271174781256857,0.6193109107192238,0.15925536814988764,0.6216483610699715,0.00028488555916772235,2.0719428062438965
Acrobot-v1,150,4.0,6,20,6,1730,1079,0.3599938357643627,0.5900980952483302,0.33570916132297546,0.6028060582303547,0.045479816343395846,2.0596752166748047
Acrobot-v1,150,8.0,6,20,6,1730,1079,0.48411127901812245,0.5040782397848593,0.5583421216466952,0.4222952959205536,0.0878298043339953,2.0753278732299805
