method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega
kahkm_nlms,1,0.0114099043377271,0.752865729849862,1.9984014443252818e-15,1079,Acrobot-v1,150,0.5
kahkm_nlms,5,0.029257996098094013,0.3727553222355735,2.4424906541753444e-15,1055,Acrobot-v1,150,0.5
kahkm_nlms,10,0.033421450377598,0.29262371077988103,2.55351295663786e-15,1025,Acrobot-v1,150,0.5
kahkm_nlms,20,0.03451665126066245,0.2809615499221578,4.6629367034256575e-15,965,Acrobot-v1,150,0.5
kahkm_nlms,50,0.058345022038655464,-0.15291484915219855,1.1657341758564144e-14,785,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,1,0.011409904337727098,0.7528657298498621,1.2212453270876722e-15,1079,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,5,0.029257996098094013,0.3727553222355735,1.3322676295501878e-15,1055,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,10,0.03342145037759799,0.29262371077988114,1.1102230246251565e-15,1025,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,20,0.03451665126066244,0.28096154992215805,1.1102230246251565e-15,965,Acrobot-v1,150,0.5
kahkm_nlms_simplex_project_each_step,50,0.058345022038655395,-0.15291484915219722,1.1102230246251565e-15,785,Acrobot-v1,150,0.5
kmeans_hard_nlms,1,0.8242126686326967,0.16490101374544897,4.440892098500626e-16,1079,Acrobot-v1,150,0.5
kmeans_hard_nlms,5,0.9233604366188937,0.06458533955435342,9.992007221626409e-16,1055,Acrobot-v1,150,0.5
kmeans_hard_nlms,10,0.952940311448501,0.03480347261156891,1.4432899320127035e-15,1025,Acrobot-v1,150,0.5
kmeans_hard_nlms,20,0.9693408066811826,0.018435288288651375,2.3314683517128287e-15,965,Acrobot-v1,150,0.5
kmeans_hard_nlms,50,0.9787621252778926,0.006035447182977327,4.6629367034256575e-15,785,Acrobot-v1,150,0.5
kmeans_distance_nlms,1,0.24791175994137335,0.45078447589841675,2.220446049250313e-15,1079,Acrobot-v1,150,0.5
kmeans_distance_nlms,5,0.3138894822615455,0.3025607168551089,0.007459707249377161,1055,Acrobot-v1,150,0.5
kmeans_distance_nlms,10,0.32063391241638567,0.28915213289848396,0.013707851132067635,1025,Acrobot-v1,150,0.5
kmeans_distance_nlms,20,0.33193296455272553,0.2589294409772491,0.011644178154301656,965,Acrobot-v1,150,0.5
kmeans_distance_nlms,50,0.3871927151211423,0.1372450441539722,0.011117047858252278,785,Acrobot-v1,150,0.5
kmeans_rbf_nlms,1,0.0458272132935564,0.7548422570333091,0.0007103908446198215,1079,Acrobot-v1,150,0.5
kmeans_rbf_nlms,5,0.05934639731635072,0.6872897447748101,0.0021108555961491457,1055,Acrobot-v1,150,0.5
kmeans_rbf_nlms,10,0.07511030140092725,0.6117981958248135,0.0013869946479775877,1025,Acrobot-v1,150,0.5
kmeans_rbf_nlms,20,0.10740763565577051,0.4660171686713672,0.0006359342100247544,965,Acrobot-v1,150,0.5
kmeans_rbf_nlms,50,0.17267911928134377,0.2397579188945128,0.0002968351264405549,785,Acrobot-v1,150,0.5
state_dmd,1,0.014015792425878042,0.6964231662931539,1.1102230246251565e-15,1079,Acrobot-v1,150,0.5
state_dmd,5,0.03139578667670137,0.32692450873383305,1.5543122344752192e-15,1055,Acrobot-v1,150,0.5
state_dmd,10,0.0418384567890683,0.11447492625918598,1.1102230246251565e-15,1025,Acrobot-v1,150,0.5
state_dmd,20,0.04086844436307882,0.14864328320832776,1.2212453270876722e-15,965,Acrobot-v1,150,0.5
state_dmd,50,0.05334096051212073,-0.0540331170278916,1.5543122344752192e-15,785,Acrobot-v1,150,0.5
state_edmd_poly2,1,0.01146341684468598,0.7517066689182591,1.2212453270876722e-15,1079,Acrobot-v1,150,0.5
state_edmd_poly2,5,0.02801923507813073,0.3993123787813778,1.3322676295501878e-15,1055,Acrobot-v1,150,0.5
state_edmd_poly2,10,0.05622899539385295,-0.19010568538759798,1.1102230246251565e-15,1025,Acrobot-v1,150,0.5
state_edmd_poly2,20,0.06486466951553256,-0.3512374384479864,1.3322676295501878e-15,965,Acrobot-v1,150,0.5
state_edmd_poly2,50,0.0921657409144797,-0.8212222323443084,1.1102230246251565e-15,785,Acrobot-v1,150,0.5
state_edmd_poly3,1,0.009510156692585687,0.7940135549196199,1.4432899320127035e-15,1079,Acrobot-v1,150,0.5
state_edmd_poly3,5,0.03736085367043673,0.19904300544207154,1.9984014443252818e-15,1055,Acrobot-v1,150,0.5
state_edmd_poly3,10,0.07034258919645237,-0.4888246667258451,2.4424906541753444e-15,1025,Acrobot-v1,150,0.5
state_edmd_poly3,20,0.07350971394251063,-0.531327890985968,2.4424906541753444e-15,965,Acrobot-v1,150,0.5
state_edmd_poly3,50,0.07936297063148665,-0.5682357143210934,2.4424906541753444e-15,785,Acrobot-v1,150,0.5
