rank,n_clusters,omega,selection_objective_mean_error,selection_horizons,E1,E10,E50,E100,E200,E200_std,train_closure_error_mean_h1row,n_runs
1,10,2.0,1.1876812396296406e-05,1 10 50 100 200,9.417427603848754e-09,8.524184507651042e-07,1.0162209322567245e-05,1.7644619370200397e-05,3.0715397410345436e-05,4.113917414124821e-06,8.519909709860332e-05,3
2,12,2.0,1.837462218704884e-05,1 10 50 100 200,1.164118152864426e-08,1.0821276053109594e-06,1.539350569622086e-05,2.5544682910036878e-05,4.984115354214687e-05,1.7940190589833728e-05,0.00011399432178991731,3
3,8,6.0,2.1815806966713046e-05,1 10 50 100 200,7.38782957914146e-08,3.0931940618703236e-06,2.5757450149825395e-05,3.502065035686567e-05,4.5133861969212434e-05,1.7623455862810893e-05,0.00015741059264867696,3
4,8,8.0,2.3368597388614664e-05,1 10 50 100 200,5.03373046979912e-08,4.054515930985543e-06,3.1994890671456665e-05,3.5299820062031616e-05,4.54434229739015e-05,2.404515453098955e-05,0.00028658630219863235,3
5,10,4.0,2.4048428049289855e-05,1 10 50 100 200,2.9616791753834133e-08,2.570496148849553e-06,2.6262535833115736e-05,3.410139403167019e-05,5.7278097441059964e-05,2.7223454951658198e-05,0.00010788603980757793,3
6,20,2.0,2.9148045349079746e-05,1 10 50 100 200,2.744091822866255e-08,2.586226890014456e-06,3.703771507780108e-05,4.527345418597266e-05,6.081538967338188e-05,2.124475522668956e-05,0.0008304502400652102,3
7,8,10.0,3.37107406267786e-05,1 10 50 100 200,7.462380999444485e-08,6.2017121576475374e-06,4.748176977710015e-05,4.932108932183875e-05,6.547450806731214e-05,3.562591349794904e-05,0.0004626846760272971,3
8,12,4.0,3.977681978386424e-05,1 10 50 100 200,3.370576945679597e-08,3.0498525885711553e-06,4.029377873948003e-05,5.925752276269677e-05,9.624923905911644e-05,4.219649769201677e-05,0.0001310473139663744,3
9,30,2.0,4.516621355206844e-05,1 10 50 100 200,3.7295818305859415e-08,3.5548427176224876e-06,5.582559320769866e-05,7.56526116972071e-05,9.076072431950809e-05,1.3060043193482967e-05,0.001405132411300242,3
10,15,2.0,4.7181405401592654e-05,1 10 50 100 200,1.6947087049797027e-06,1.9621534310678744e-05,7.343997075064126e-05,5.6843302008738856e-05,8.430751123292472e-05,3.9519390223015155e-05,0.0003876818662209535,3
