matrix,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
raw,1,3,2.087488663081775e-05,2.2477300928691032e-05,6.870653233891937e-07,4.509564973592526e-05,0.9860524344295271,0.013385056481444295,0.00012355114070132457,0.00018042512111800322
raw,2,3,4.04520069210099e-05,4.384954386262857e-05,1.9732320126420024e-06,8.819262957867152e-05,0.972936822490095,0.025871041542372724,0.0002447661764425795,0.00034440096825941765
raw,5,3,0.00011184806694217556,0.00011838197731980637,9.155118929149741e-06,0.00024132847324089194,0.9244042379061354,0.06882692553400152,0.0005613558136580086,0.0007422387239295968
raw,10,3,0.00024282621849383654,0.00024206967607418638,3.047475518379273e-05,0.0005064118294360997,0.8321063911634304,0.13840429874961563,0.0010064718523571342,0.001454747356985549
raw,20,3,0.0005112680120624205,0.00046517184511326275,9.462595369808308e-05,0.001013173597867589,0.6259310771582814,0.26141868412405084,0.001823670991696933,0.00267306269663109
raw,50,3,0.0009309904904578094,0.0006784326952671817,0.00030855069578634433,0.0016541538893984355,-0.00941635950520292,0.5883491490745427,0.0039014464873534153,0.006253017782742929
raw,100,3,0.0009151574489935649,0.0004838736303525817,0.00040146560433563356,0.0013623299503900262,-0.5630756378731622,0.9754834838223719,0.0031088143054412033,0.0044007481076717946
raw,200,3,0.0009135082204283588,0.0006349523536223594,0.000443562569293529,0.0016358492898372959,-4.91838108646853,5.056392034353422,0.0019009084927641676,0.0039770488855778935
row_stochastic,1,3,4.4008407215196224e-05,3.2987507987937774e-05,1.3469278294496898e-05,7.899336887742692e-05,0.9682477996881378,0.016497472363310246,5.181040781584064e-16,5.551115123125783e-16
row_stochastic,2,3,0.00013172191401401856,8.517349851678625e-05,5.252308048947857e-05,0.0002218206716220178,0.9026019752427366,0.037976049015799575,5.551115123125783e-16,6.661338147750939e-16
row_stochastic,5,3,0.0006591048125202714,0.0003648777939074701,0.0003145849887908903,0.001041401323052645,0.5007364179675613,0.1391512507727174,5.181040781584064e-16,6.661338147750939e-16
row_stochastic,10,3,0.0022890209191831347,0.0011561671029227166,0.001184963136069126,0.003491061101826489,-0.7713257242839973,0.3879857134788117,7.031412489292658e-16,1.1102230246251565e-15
row_stochastic,20,3,0.007710459501729455,0.0036261683379644498,0.004227474958485103,0.011464589549727837,-5.278763560561384,1.0210748911268999,9.62193288008469e-16,1.5543122344752192e-15
row_stochastic,50,3,0.03292372467224589,0.014374867807014639,0.01904947308564435,0.047751711106370914,-36.33748153981687,9.10421345532567,1.7763568394002505e-15,3.3306690738754696e-15
row_stochastic,100,3,0.07924012979161232,0.03412167237679664,0.046015647238402006,0.11419327740059414,-136.45761834883572,74.56668977311499,3.1826393372587822e-15,6.8833827526759706e-15
row_stochastic,200,3,0.159259559654261,0.07600466516316363,0.08668898949644702,0.23828643322484633,-994.4823513496862,620.9873442601217,5.1810407815840636e-15,1.2434497875801753e-14
