estimator,horizon,n_starts,relative_association_error,association_r2,simplex_violation,seed
nlms,1,300,7.553990523704365e-07,0.9988380937857112,2.3275125109620167e-05,0
nlms,2,299,2.115901822765701e-06,0.9967320765039245,5.121617234396005e-05,0
nlms,5,296,9.667151770603976e-06,0.9849057919191755,0.00012798219826737098,0
nlms,10,291,3.156059068188595e-05,0.9498656012784696,0.0002485588834139334,0
nlms,20,281,9.327335449878681e-05,0.844581561823917,0.00044722875468032966,0
nlms,50,251,0.000249273939964305,0.4271539638488595,0.000849258374720878,0
nlms,100,201,0.00032403125380148695,-0.025029341421172857,0.0028742253168826323,0
nlms,200,101,0.0002803864901426894,-0.7981136238507849,0.0026558590272373825,0
ols,1,300,1.8156004332197165e-06,0.9972073602430348,0.00012390390529806313,0
ols,2,299,6.192940634710134e-06,0.990435257443317,0.00024851348432288346,0
ols,5,296,3.243608736909134e-05,0.9493545706434814,0.0005862471174319297,0
ols,10,291,0.00010959956185005814,0.825899705462436,0.0010106294151870463,0
ols,20,281,0.0003584525729547642,0.4027218239529218,0.001311766825243091,0
ols,50,251,0.0007867547202098178,-0.8080081815208218,0.00101818075723593,0
ols,100,201,0.0007384752077597987,-1.336067113852018,0.002097979491904524,0
ols,200,101,0.0003888100397205364,-1.4934319380212475,0.0004955687964269765,0
row_stochastic_nlms,1,300,3.101347558532628e-05,0.9522970674953728,4.440892098500626e-16,0
row_stochastic_nlms,2,299,0.00012156204505316672,0.8122524121932161,6.661338147750939e-16,0
row_stochastic_nlms,5,296,0.0007277494728924726,-0.13630180173151651,6.661338147750939e-16,0
row_stochastic_nlms,10,291,0.002727991482132897,-3.333449080618304,6.661338147750939e-16,0
row_stochastic_nlms,20,281,0.00964128173316634,-15.064962571961551,6.661338147750939e-16,0
row_stochastic_nlms,50,251,0.04311362263167602,-98.07761650579393,6.661338147750939e-16,0
row_stochastic_nlms,100,201,0.10678497358507304,-336.7999185678628,1.5543122344752192e-15,0
row_stochastic_nlms,200,101,0.20958084142574246,-1343.0382454730914,3.9968028886505635e-15,0
ridge_1e-10,1,300,1.8156004323136998e-06,0.9972073602444284,0.00012390390602810556,0
ridge_1e-10,2,299,6.192940628694602e-06,0.9904352574526077,0.0002485134855678907,0
ridge_1e-10,5,296,3.243608731768003e-05,0.9493545707237546,0.000586247119159423,0
ridge_1e-10,10,291,0.00010959956181795607,0.8258997055134305,0.0010106294156783002,0
ridge_1e-10,20,281,0.00035845257394469455,0.4027218223034321,0.00131176682641789,0
ridge_1e-10,50,251,0.0007867547031145467,-0.808008142234893,0.0010181808344682432,0
ridge_1e-10,100,201,0.0007384751707476563,-1.3360669967690777,0.0020979796041778465,0
ridge_1e-10,200,101,0.00038881002141073106,-1.493431820600788,0.0004955692052462483,0
ridge_1e-08,1,300,1.8156003425629042e-06,0.9972073603824773,0.00012390397831260865,0
ridge_1e-08,2,299,6.19294003287675e-06,0.990435258372824,0.0002485136088415733,0
ridge_1e-08,5,296,3.243608222525965e-05,0.9493545786750162,0.0005862472902141696,0
ridge_1e-08,10,291,0.00010959955862612084,0.8258997105837012,0.0010106294643522883,0
ridge_1e-08,20,281,0.00035845267189408246,0.40272165909346747,0.0013117669427618358,0
ridge_1e-08,50,251,0.0007867530107404564,-0.8080042530606397,0.0010181884803544766,0
ridge_1e-08,100,201,0.0007384715067700243,-1.3360554062680534,0.0020979907190597086,0
ridge_1e-08,200,101,0.0003888082091597181,-1.4934201986669549,0.0004956096780998898,0
ridge_1e-06,1,300,1.8155914778617204e-06,0.9972073740175902,0.00012391120650950127,0
ridge_1e-06,2,299,6.192880884706747e-06,0.9904353497247441,0.00024852593550673386,0
ridge_1e-06,5,296,3.243557557676284e-05,0.9493553697516451,0.0005862643928961599,0
ridge_1e-06,10,291,0.00010959924892913191,0.8259002025412974,0.0010106343242016426,0
ridge_1e-06,20,281,0.0003584624997352289,0.4027052832728505,0.0013117785446002635,0
ridge_1e-06,50,251,0.0007865843955406573,-0.8076167655083768,0.0010189524455724809,0
ridge_1e-06,100,201,0.000738106183966612,-1.3348997566564966,0.002099101516935674,0
ridge_1e-06,200,101,0.00038862918755637314,-1.492272136277164,0.0004996506839580594,0
ridge_0.0001,1,300,1.8158033605849749e-06,0.9972070481132195,0.00012463150927007272,0
ridge_0.0001,2,299,6.191269296319055e-06,0.9904378387568445,0.0002497516190937142,0
ridge_0.0001,5,296,3.241044946772303e-05,0.9493946014433686,0.0005879470395606467,0
ridge_0.0001,10,291,0.0001096604081111538,0.8258030504047017,0.001011046433116088,0
ridge_0.0001,20,281,0.000359751696648783,0.40055713526335,0.0013126264372795833,0
ridge_0.0001,50,251,0.0007751895639955761,-0.7814307787817076,0.0010894287017696686,0
ridge_0.0001,100,201,0.0007106778730197732,-1.2481339796634,0.002205161645909441,0
ridge_0.0001,200,101,0.00038726072316015784,-1.483496198202055,0.0008476065700813128,0
ridge_0.01,1,300,8.904344660338936e-06,0.986303910016101,0.00020088683371788374,0
ridge_0.01,2,299,2.938735624456191e-05,0.9546124347898062,0.0003733197479176553,0
ridge_0.01,5,296,0.00012377627207375383,0.8067367875788238,0.0007748708876675892,0
ridge_0.01,10,291,0.00032132264561650576,0.4895749006738087,0.0012329591579449684,0
ridge_0.01,20,281,0.0006856027814702766,-0.14239821305745703,0.0018116349523340514,0
ridge_0.01,50,251,0.001422755422638358,-2.2695748476059365,0.002883353881991013,0
ridge_0.01,100,201,0.0028437381249750964,-7.995783533903445,0.00460212650546965,0
ridge_0.01,200,101,0.0052061536221613015,-32.38697150174526,0.008385291850264931,0
nlms,1,300,6.870653233891931e-07,0.9992224817173452,4.4948241369699846e-05,1
nlms,2,299,1.973232012641997e-06,0.9977635277352229,9.41332213145111e-05,1
