estimator,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
nlms,1,3,5.737725136831163e-06,8.688887839951954e-06,6.870653233891931e-07,1.577071103473386e-05,0.9942355258207591,0.008306994910240048,2.2741122159921367e-05,4.4948241369699846e-05
nlms,2,3,1.23305940787772e-05,1.7816064462829507e-05,1.973232012641997e-06,3.2902648400923906e-05,0.9874711980537864,0.01694142656591059,4.844979788634209e-05,9.41332213145111e-05
nlms,5,3,3.588634791052394e-05,4.585712796067821e-05,9.155118929149758e-06,8.883677303181808e-05,0.9624635065820656,0.042968327213474114,0.00012096178896834235,0.00023490316863710098
nlms,10,3,8.631590869794771e-05,9.578089264505062e-05,3.047475518379304e-05,0.00019691238022816415,0.9065012211941953,0.08827924198065831,0.0002329231805518046,0.00045021065824048126
nlms,20,3,0.00021080890043499232,0.00020240728184576866,9.327335449878681e-05,0.0004445273931081052,0.7579641337566597,0.18483261714055196,0.0004289028661284642,0.0008394798437032866
nlms,50,3,0.0004932373110461511,0.00037240306327716025,0.000249273939964305,0.0009218872973877906,0.26715714756077436,0.35590128562873363,0.0008445729143387844,0.0016844603682915895
nlms,100,3,0.0005400966183537235,0.00030960646050885515,0.00032403125380148695,0.000894792996924013,-0.42308167839270344,0.8754716632135129,0.0015915384480546385,0.0028742253168826323
nlms,200,3,0.0005436722462826648,0.0003251135014361131,0.0002803864901426894,0.000907067679411708,-3.3186951849123667,3.259362152356968,0.001060214382111536,0.0026558590272373825
ols,1,3,6.686869536581172e-06,8.387003291758379e-06,1.8156004332197165e-06,1.6371288621405573e-05,0.9930494189560988,0.007791198630800709,0.000136589379051446,0.00022244025755738944
ols,2,3,1.6061018260520643e-05,1.6689475197885377e-05,6.192940634710134e-06,3.53304805188308e-05,0.9828126341910175,0.014983231658881366,0.0002747497957186833,0.000461035745418852
ols,5,3,5.7986658358893135e-05,3.992950374207774e-05,3.243608736909134e-05,0.0001039995958566044,0.9348792310227708,0.03212996001567546,0.0006574137133224667,0.0012260105501172313
