abstraction,horizon,n_starts,relative_association_error,association_r2,simplex_violation,seed
kahkm_folding_nlms,1,400,0.0062749141893425845,0.9928600510142612,0.026493707346014337,0
kahkm_folding_nlms,2,399,0.0226431879972825,0.9742458460102156,0.05570089040082629,0
kahkm_folding_nlms,5,396,0.09765052211926491,0.8890697786190896,0.12840381134009046,0
kahkm_folding_nlms,10,391,0.18943467874459785,0.7852171193143872,0.19108211001709574,0
kahkm_folding_nlms,20,381,0.23688462540463037,0.7322168720764453,0.15473435689873555,0
kahkm_folding_nlms,50,351,0.34144474088059246,0.6166635728938815,0.1163021456825742,0
kahkm_folding_nlms,100,301,0.4366427308274169,0.5005740691308803,0.07591373292287516,0
kahkm_folding_nlms,200,201,0.5946722764180823,0.2912494350192476,0.043241107851741345,0
kmeans_hard_nlms,1,400,0.0886282901615475,0.9029422437041587,2.220446049250313e-16,0
kmeans_hard_nlms,2,399,0.17736948432825086,0.8058377848441756,2.220446049250313e-16,0
kmeans_hard_nlms,5,396,0.3937205037320736,0.5694924240443964,6.661338147750939e-16,0
kmeans_hard_nlms,10,391,0.5803388078383658,0.36651926885576336,8.881784197001252e-16,0
kmeans_hard_nlms,20,381,0.7488767960827464,0.18470852135831617,1.3322676295501878e-15,0
kmeans_hard_nlms,50,351,0.972316306608883,-0.05400997158449483,1.6653345369377348e-15,0
kmeans_hard_nlms,100,301,1.044615248095587,-0.1461620618198014,1.6653345369377348e-15,0
kmeans_hard_nlms,200,201,0.9119637880412288,-0.02916896649870626,1.7763568394002505e-15,0
kmeans_distance_nlms,1,400,0.07918959926305064,0.9125371797544517,0.008786655536212136,0
kmeans_distance_nlms,2,399,0.16762785938548785,0.814938652968107,0.01619636826810741,0
kmeans_distance_nlms,5,396,0.38926429098433024,0.5707730749073894,0.031500564898223955,0
kmeans_distance_nlms,10,391,0.587520239644702,0.3533464877430621,0.03967449050321541,0
kmeans_distance_nlms,20,381,0.7274932172766537,0.2015698732179103,0.030990720161019863,0
kmeans_distance_nlms,50,351,0.8957167208299044,0.02134094676545306,0.009431970111380712,0
kmeans_distance_nlms,100,301,0.9243338656979352,-0.024087435580073535,9.2148511043888e-15,0
kmeans_distance_nlms,200,201,0.9078894847023739,-0.03039837852171101,1.6431300764452317e-14,0
kmeans_rbf_nlms,1,400,0.019028779638621766,0.9788710290843524,0.014817639532694663,0
kmeans_rbf_nlms,2,399,0.062119049405086224,0.9310508333997144,0.027506776007570195,0
kmeans_rbf_nlms,5,396,0.21180342492846474,0.7651845424030446,0.05727162418833305,0
kmeans_rbf_nlms,10,391,0.36032118459753343,0.6012938326830588,0.09450825487292451,0
kmeans_rbf_nlms,20,381,0.4354390510946179,0.5195933873295471,0.13638177139179378,0
kmeans_rbf_nlms,50,351,0.5847352969045801,0.3585479218078257,0.10088067387294995,0
kmeans_rbf_nlms,100,301,0.7124361838231771,0.20717640211148303,0.03369680279714858,0
kmeans_rbf_nlms,200,201,0.8920627632703183,-0.02701973901713739,0.011073775150139176,0
kahkm_folding_nlms,1,400,0.005499707866493725,0.9936584267194636,0.02955041028974652,1
kahkm_folding_nlms,2,399,0.01991285166876553,0.9770494643344853,0.06647328380301533,1
kahkm_folding_nlms,5,396,0.08726395458964557,0.8995673893859246,0.16101872812584123,1
kahkm_folding_nlms,10,391,0.17531545059894757,0.7987552273740648,0.23851191497898086,1
kahkm_folding_nlms,20,381,0.22712313775534748,0.74070478341636,0.16596336850325405,1
kahkm_folding_nlms,50,351,0.3351169660242056,0.62188035097154,0.16184315349935802,1
kahkm_folding_nlms,100,301,0.3908592256239412,0.5518525593959958,0.06097402289596083,1
kahkm_folding_nlms,200,201,0.47983985968147647,0.41474222761687995,0.03197220562614482,1
kmeans_hard_nlms,1,400,0.09200820142309855,0.8987153947979596,2.220446049250313e-16,1
kmeans_hard_nlms,2,399,0.17901753167038814,0.8029661094863426,2.220446049250313e-16,1
kmeans_hard_nlms,5,396,0.3954489493812582,0.564939016639974,6.661338147750939e-16,1
kmeans_hard_nlms,10,391,0.5954370939830632,0.34550552632741827,8.881784197001252e-16,1
kmeans_hard_nlms,20,381,0.7635085581143884,0.16445527340106192,1.5543122344752192e-15,1
kmeans_hard_nlms,50,351,1.021831284546691,-0.1095791930708887,3.3306690738754696e-15,1
