experiment,seed,n_steps,dt,mu,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,rollout_mode,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,1,400,0.006274914189342584,0.9928600510142612,0.026493707346014337
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,2,399,0.0226431879972825,0.9742458460102156,0.055700890400826264
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,5,396,0.09765052211926493,0.8890697786190896,0.12840381134009043
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,10,391,0.18943467874459785,0.7852171193143871,0.1910821100170956
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,20,381,0.23688462540463043,0.7322168720764451,0.15473435689873552
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,50,351,0.3414447408805928,0.6166635728938812,0.11630214568257398
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,100,301,0.4366427308274176,0.5005740691308794,0.075913732922875
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,200,201,0.5946722764180834,0.2912494350192464,0.04324110785174083
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,400,0.006741976880816309,0.9923286009115764,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,399,0.023818156507814898,0.9729094476215685,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,396,0.09899761844646646,0.887539487837691,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,391,0.19907660021479393,0.7742850150004497,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,381,0.27198853050111443,0.6925341214842053,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,351,0.38787904558682784,0.5645322663306624,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,301,0.46666572645767923,0.46623418097630165,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,201,0.6174189911935882,0.26413912975043186,3.3306690738754696e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,1,400,0.0058292573082419745,0.9933671443864074,2.220446049250313e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,2,399,0.021114942276203412,0.975984058652341,2.220446049250313e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,5,396,0.09331810235887862,0.8939913732271318,2.220446049250313e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,10,391,0.19315460009096477,0.7809994363220677,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,20,381,0.25835729082601,0.7079433781695645,3.3306690738754696e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,50,351,0.36975315659517993,0.5848820116694267,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,100,301,0.44662290060698,0.4891588886400816,4.440892098500626e-16
