rollout_mode,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
raw_clip_renorm_each_step,1,3,0.006259833451432678,0.0004301041733813956,0.0059155973771648105,0.006741976880816309,0.99281884913962,0.0004398407988672724,4.810966440042345e-16,5.551115123125783e-16
raw_clip_renorm_each_step,2,3,0.02215823684531092,0.0014833450910758884,0.020962472838654322,0.023818156507814898,0.9745913847115171,0.0015124932013287535,4.440892098500626e-16,4.440892098500626e-16
raw_clip_renorm_each_step,5,3,0.09351838190830676,0.005132494022222247,0.08882275492060654,0.09899761844646646,0.8929001951351422,0.005134325039615718,5.181040781584064e-16,6.661338147750939e-16
raw_clip_renorm_each_step,10,3,0.19289710215562406,0.007076975449665272,0.18517659354280638,0.19907660021479393,0.7795834093832635,0.006937290735813141,5.181040781584064e-16,5.551115123125783e-16
raw_clip_renorm_each_step,20,3,0.2704946715648334,0.007594808178423501,0.2622639328810649,0.2772315513123209,0.6923374088835565,0.008348966948735308,4.440892098500626e-16,4.440892098500626e-16
raw_clip_renorm_each_step,50,3,0.3921957560699463,0.013578673595465385,0.38130018912061237,0.4074080335023985,0.5584411602810874,0.015312519326987887,4.440892098500626e-16,4.440892098500626e-16
raw_clip_renorm_each_step,100,3,0.4571244335411991,0.016247765877901117,0.43836405180545884,0.46666572645767923,0.47659336680255543,0.018006079461134025,4.810966440042345e-16,5.551115123125783e-16
raw_clip_renorm_each_step,200,3,0.5668078650414509,0.046598867031824996,0.5256801706026664,0.6174189911935882,0.3144222938374531,0.04761851021360559,4.070817756958907e-16,4.440892098500626e-16
raw_free,1,3,0.005812992167064108,0.00040841901275790496,0.005499707866493726,0.006274914189342584,0.9933315191016273,0.00041835898302451234,0.02792964578302992,0.02955041028974652
raw_free,2,3,0.021023114111791696,0.001434787404759251,0.01991285166876553,0.0226431879972825,0.9758932158658365,0.0014649126559632658,0.0604105286437964,0.06647328380301534
raw_free,5,3,0.0920323852648736,0.005245159359353833,0.08726395458964556,0.09765052211926493,0.8946030894500684,0.005271886569537363,0.14227448108110227,0.1610187281258413
raw_free,10,3,0.18328337202403336,0.007232787678049395,0.17531545059894757,0.18943467874459785,0.7905701238112286,0.0071997000839330175,0.21196935376160195,0.23851191497898097
raw_free,20,3,0.23534363004447614,0.007568581088943256,0.22712313775534748,0.24202312697345052,0.7323197458269436,0.00833407692066593,0.1649767695137358,0.17423258313921786
raw_free,50,3,0.3451284190431996,0.012275082371178702,0.33511696602420554,0.35882355022480034,0.6114329459035387,0.013825852968071659,0.12749528514151934,0.16184315349935832
raw_free,100,3,0.4153241572563884,0.023053351469302173,0.39085922562394115,0.4366427308274176,0.5244631424950835,0.025817827070139833,0.07070511163730604,0.075913732922875
raw_free,200,3,0.5308581814802965,0.05847580560420159,0.4798398596814763,0.5946722764180834,0.35805720974849625,0.06236561641432495,0.04262905506766606,0.052673851725112415
raw_simplex_project_each_step,1,3,0.005380432904099762,0.00039715489374285754,0.005074476233738701,0.0058292573082419745,0.9938278430070758,0.00040912491856544275,2.220446049250313e-16,2.220446049250313e-16
raw_simplex_project_each_step,2,3,0.01953022986546663,0.0014034897491810568,0.018444107754147742,0.021114942276203412,0.9776054680314701,0.0014415483019697853,2.9605947323337506e-16,3.3306690738754696e-16
raw_simplex_project_each_step,5,3,0.08785971055876919,0.005090857222104958,0.08324072724388924,0.09331810235887862,0.8993821613518228,0.00512744140735632,2.220446049250313e-16,2.220446049250313e-16
raw_simplex_project_each_step,10,3,0.18726670099373258,0.007133176149263469,0.17933459696254175,0.19315460009096477,0.7860167558492668,0.0071008562069029835,3.3306690738754696e-16,4.440892098500626e-16
raw_simplex_project_each_step,20,3,0.2586523157534804,0.008073390185853603,0.2507304819418247,0.26686917449260655,0.7058013871725558,0.009211768272519799,3.7007434154171886e-16,4.440892098500626e-16
raw_simplex_project_each_step,50,3,0.3798215721770169,0.017619429913204657,0.36954517690274236,0.4001663830331284,0.5723649966986999,0.02010115136562834,4.440892098500626e-16,4.440892098500626e-16
raw_simplex_project_each_step,100,3,0.4440887573435233,0.01857137611903645,0.4243804384818779,0.4612629329417121,0.491517973176199,0.020821105092058267,4.810966440042345e-16,5.551115123125783e-16
raw_simplex_project_each_step,200,3,0.5546928797942897,0.04315054968220952,0.5132750817079939,0.5993891596685945,0.32903121171405914,0.04418668490563528,4.440892098500626e-16,4.440892098500626e-16
row_stochastic_free,1,3,0.00691002490426277,0.00042263173459952615,0.0066022152332842615,0.007391889322520513,0.9920726979223913,0.0004250682753877881,9.251858538542972e-16,1.1102230246251565e-15
row_stochastic_free,2,3,0.02487045507620855,0.0014757607850610418,0.02378121523108813,0.026549992314953298,0.9714803550137816,0.0014784143120632842,9.62193288008469e-16,1.1102230246251565e-15
row_stochastic_free,5,3,0.11113247183107851,0.00532961213868431,0.10651136921315085,0.11696279919751358,0.8727245566068255,0.005201180810753827,1.1842378929335002e-15,1.3322676295501878e-15
row_stochastic_free,10,3,0.25260175919786304,0.007612357109270141,0.2444055023870527,0.25945016240362717,0.7113549413170488,0.007161454361597013,1.4432899320127035e-15,1.6653345369377348e-15
row_stochastic_free,20,3,0.4012142793359755,0.007354551202015133,0.3937263856724981,0.4084278096796654,0.5436474128887163,0.008385377761999152,2.257453483404485e-15,2.4424906541753444e-15
row_stochastic_free,50,3,0.5741356935563514,0.013653105737415442,0.5642072518018076,0.5897054238283681,0.3535909930407542,0.016048394260694307,3.848773152033876e-15,4.440892098500626e-15
row_stochastic_free,100,3,0.659410694473611,0.011950821163233162,0.649950053603504,0.6728412638833047,0.24495450188571255,0.013755361195091673,5.218048215738236e-15,5.88418203051333e-15
row_stochastic_free,200,3,0.7454612123237393,0.004753831801319304,0.7402283393513484,0.7495135099231174,0.09772705617919746,0.012120805640671618,6.698345581905111e-15,8.104628079763643e-15
