experiment,seed,n_steps,dt,mu,n_clusters,effective_regimes,omega,tau,beta,nlms_epochs,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,1,400,0.0015790230145509775,0.9979064661639502,0.010344194970484102
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,2,399,0.004992327449943785,0.9933856863473822,0.023271465056294217
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,5,396,0.02176972326995066,0.9712194876706942,0.05660208660242082
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,10,391,0.055484664461971436,0.9269144216810514,0.10720072723421366
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,20,381,0.09061965556526175,0.8815223998358052,0.17500362806968459
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,50,351,0.16414291401332828,0.7889553168899389,0.14091070248510149
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,100,301,0.22911319121265278,0.6961919674811052,0.1383314675878625
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,200,201,0.26810242854231114,0.6046258086954748,0.09207173244289175
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,1,400,0.001642327476649793,0.9978180055755523,0.009581841742977885
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,2,399,0.005137801884290152,0.9931788952783198,0.022063022002579286
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,5,396,0.02226789502890152,0.9705014355139653,0.05807357398138102
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,10,391,0.05694754240591653,0.9248416636610968,0.10845126449012327
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,20,381,0.0933525411073034,0.8777358294438959,0.17663227246816007
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,50,351,0.16917994802618921,0.7823341082838278,0.13966365898332259
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,4.0,1e-06,0.1,20,100,301,0.23807246739651516,0.6849815029491174,0.1356311489490845
