experiment,status,seed,n_steps,dt,mu,train_fraction,n_train,n_test,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,train_closure_error,train_association_r2,test_closure_error,test_association_r2,raw_predicted_simplex_violation,projected_stochastic_simplex_violation,nlms_history_first,nlms_history_last,B_raw_spectral_radius,B_raw_min_entry,B_raw_max_entry,B_raw_row_sum_min,B_raw_row_sum_max,fit_seconds,eval_seconds,total_job_seconds,error_message
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,4.0,1e-06,0.1,20,0.0016095340728655633,0.9979194108228711,0.0015790230145509775,0.9979064661639502,0.010344194970484102,4.440892098500626e-16,0.0015802893292288652,0.0016095340728655633,1.0000000000000004,-0.035196351643339084,0.9969929480555839,0.9999999999999991,1.0000000000000004,0.7049968242645264,0.031759023666381836,0.7751989364624023,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,4.0,1e-06,0.1,20,0.0016882899508485203,0.9978191247198538,0.0016423274766497933,0.9978180055755523,0.009581841742977885,6.661338147750939e-16,0.0016587591021995298,0.0016882899508485203,0.9999999999999993,-0.034754872086045066,0.9965483633588155,0.9999999999999987,1.0000000000000007,0.5962729454040527,0.031295061111450195,0.6628143787384033,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,4.0,1e-06,0.1,20,0.0017636546496590318,0.9977236462888035,0.0016574522872245935,0.9978112544027599,0.010778424370362085,4.440892098500626e-16,0.001740556529428007,0.0017636546496590318,1.0000000000000013,-0.03570330477917332,0.9963398701409243,0.9999999999999991,1.000000000000001,0.5817949771881104,0.030993938446044922,0.6477010250091553,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,8.0,1e-06,0.1,20,0.003669166664720173,0.995598474765874,0.0037620531048262558,0.9953947874185497,0.02206906513882821,5.551115123125783e-16,0.003636360828187322,0.003669166664720173,1.0,-0.025037775092752422,0.9923866223204588,0.9999999999999991,1.0000000000000007,0.8112039566040039,0.030905961990356445,0.8770837783813477,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,8.0,1e-06,0.1,20,0.0037535509909055733,0.9955005085897259,0.0038044751629966495,0.9953321125910608,0.022682498034491475,4.440892098500626e-16,0.0037218202564646137,0.0037535509909055733,0.9999999999999987,-0.02566686853785387,0.9922244051467229,0.9999999999999989,1.0000000000000009,0.926825761795044,0.030827045440673828,0.9923861026763916,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,8.0,1e-06,0.1,20,0.003684906635258583,0.9955838837669981,0.0036486317366088614,0.995547138870487,0.023578838146881786,4.440892098500626e-16,0.0036520773613080634,0.003684906635258583,0.9999999999999989,-0.02564586462887184,0.9902588362986046,0.9999999999999998,1.0000000000000009,0.5847458839416504,0.030832767486572266,0.6505641937255859,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,12.0,1e-06,0.1,20,0.005892160831089238,0.9930782011686745,0.00602203232980252,0.992801346587262,0.02075078231371817,5.551115123125783e-16,0.0058743907368895825,0.005892160831089238,1.0000000000000002,-0.02125395025768107,0.9926659392221387,0.9999999999999994,1.0000000000000004,0.5919699668884277,0.030896902084350586,0.6576318740844727,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,12.0,1e-06,0.1,20,0.005980679962749297,0.9929778088096157,0.006060673613904408,0.9927380150347895,0.02121699091741126,4.440892098500626e-16,0.005963150966031933,0.005980679962749297,1.0,-0.021706505550264425,0.992867273548247,0.9999999999999994,1.0000000000000007,0.7246909141540527,0.030874967575073242,0.7903537750244141,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,12.0,1e-06,0.1,20,0.005858605620169938,0.9931236529073006,0.0058489710974982895,0.9930214317777574,0.021640211486385137,5.551115123125783e-16,0.00584066955753853,0.005858605620169938,1.0000000000000007,-0.021904071533299024,0.9896595087513013,0.9999999999999992,1.0000000000000007,0.6322212219238281,0.03064703941345215,0.6978909969329834,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,16.0,1e-06,0.1,20,0.007889522528354108,0.9908223689542213,0.008021982551537086,0.9905202595210997,0.017944914470096055,4.440892098500626e-16,0.007877055132681405,0.007889522528354108,0.9999999999999996,-0.01802861232514572,0.9941840844097379,0.9999999999999996,1.0000000000000007,0.572843074798584,0.030737876892089844,0.6390130519866943,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,16.0,1e-06,0.1,20,0.0079827789850577,0.9907177987459713,0.008060722298754295,0.9904528727761279,0.018309092991119207,6.661338147750939e-16,0.007970365813040992,0.0079827789850577,1.0,-0.018389676492035757,0.9945217064863108,0.9999999999999993,1.0000000000000009,0.5747718811035156,0.030614137649536133,0.6400341987609863,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,16.0,1e-06,0.1,20,0.007833043574063734,0.9908967267370039,0.00781631881345554,0.9907750870294108,0.01858381833115943,6.661338147750939e-16,0.007820408710789841,0.007833043574063734,1.0000000000000002,-0.018618074953966477,0.9906620723721412,0.9999999999999989,1.0000000000000013,0.5715720653533936,0.030493974685668945,0.6366610527038574,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,4.0,1e-06,0.1,20,0.0013430629646509124,0.998327216624486,0.0014470293350556064,0.998176928445678,0.01976274196240334,7.771561172376096e-16,0.0016912652927259637,0.0013430629646509124,1.000017625896604,-0.06264740596941246,1.009694837790589,0.9999999999999961,1.0000000000000027,0.5553312301635742,0.03242683410644531,0.622089147567749,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,4.0,1e-06,0.1,20,0.0011201136238125817,0.9986016530434275,0.0010162159777226476,0.9986960478502824,0.020310183499277962,6.661338147750939e-16,0.0014928692705376424,0.0011201136238125817,0.9999999999999999,-0.07811756647695083,1.0047650681944447,0.9999999999999984,1.000000000000001,0.537355899810791,0.03341388702392578,0.6054611206054688,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,4.0,1e-06,0.1,20,0.0017222110189650311,0.9978631204254022,0.0014714810814083097,0.9981181964611551,0.0196536102946047,6.661338147750939e-16,0.0020804488518732732,0.0017222110189650311,0.9999999999999971,-0.06448152010370549,1.0091699025276468,0.9999999999999978,1.0000000000000016,0.5540921688079834,0.03279304504394531,0.6214509010314941,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,8.0,1e-06,0.1,20,0.00364006770761001,0.9957938267198465,0.003517703574846184,0.9959031580712607,0.02449246638751931,8.881784197001252e-16,0.0035828246277034813,0.00364006770761001,1.0,-0.04642416597019867,0.9992261206104736,0.9999999999999989,1.0000000000000009,0.6075019836425781,0.03376936912536621,0.6757738590240479,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,8.0,1e-06,0.1,20,0.003086967126389533,0.9964291329498506,0.0028740276821102436,0.9966017916817531,0.022308655347809143,8.881784197001252e-16,0.003065937902776974,0.003086967126389533,1.000000000000001,-0.059357990644766684,0.9886854818390289,0.9999999999999994,1.0000000000000013,0.5377979278564453,0.03315997123718262,0.6055102348327637,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,8.0,1e-06,0.1,20,0.003517069384320904,0.9959466693572283,0.003227882334786719,0.9961904132276962,0.022497208329632472,7.771561172376096e-16,0.0034681621694709745,0.003517069384320904,1.0000000000000007,-0.04813955056092247,0.9912862402378134,0.9999999999999993,1.0000000000000007,0.5552120208740234,0.03290987014770508,0.6226627826690674,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,0.0064494873497831385,0.9927068703797768,0.006274914189342584,0.9928600510142612,0.026493707346014337,1.1102230246251565e-15,0.006356206785830015,0.0064494873497831385,0.9999999999999998,-0.03537939345255134,0.9884721595817285,0.9999999999999989,1.0000000000000004,0.5600509643554688,0.03278088569641113,0.6278331279754639,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,0.005779760529240547,0.9934624006841638,0.005499707866493726,0.9936584267194636,0.02955041028974652,8.881784197001252e-16,0.005698729939703261,0.005779760529240547,0.9999999999999996,-0.04675254579710259,0.9873961286041398,0.999999999999999,1.0000000000000016,0.5470798015594482,0.03330516815185547,0.6149260997772217,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,0.005973003140822266,0.9932600403586493,0.0056643544453560115,0.9934760795711568,0.027744819713328907,7.771561172376096e-16,0.0058858618776440105,0.005973003140822266,0.9999999999999997,-0.03784338790753657,0.9926075850140528,0.9999999999999983,1.0000000000000007,0.5547199249267578,0.033037662506103516,0.6223442554473877,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,16.0,1e-06,0.1,20,0.008801078135364182,0.9901507429039568,0.008598918373060082,0.9903239329501071,0.027234149148976688,9.992007221626409e-16,0.008718059166793466,0.008801078135364182,1.0000000000000002,-0.02952043035537998,0.9809157033840299,0.9999999999999989,1.0000000000000009,0.5611050128936768,0.0328669548034668,0.6286220550537109,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,16.0,1e-06,0.1,20,0.008095631969689376,0.9909434974620781,0.0077667509855164,0.9911555488601161,0.034588907142609704,8.881784197001252e-16,0.008017917023799778,0.008095631969689376,0.9999999999999993,-0.03993551545362797,0.9886903603535203,0.9999999999999981,1.0000000000000007,0.5395677089691162,0.03339123725891113,0.6074910163879395,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,16.0,1e-06,0.1,20,0.008161009831514656,0.9908862233654231,0.0078100914609204155,0.991114464826837,0.029656342762672094,6.661338147750939e-16,0.008083228915611185,0.008161009831514656,1.0000000000000004,-0.03235090065546204,0.9938098661447882,0.9999999999999994,1.0000000000000004,0.5592589378356934,0.032776832580566406,0.62689208984375,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,0.0018778350818338364,0.9977227736033206,0.0017910268988048164,0.9977712695316271,0.020826889026260963,9.992007221626409e-16,0.002761844277788141,0.0018778350818338364,1.000000000000001,-0.08098091114760253,1.0168956048559843,0.9999999999999974,1.0000000000000029,0.5439841747283936,0.03850197792053223,0.618927001953125,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,0.0017329172905895362,0.9978926246153298,0.0014896559613020658,0.9981221637968385,0.019124350830139736,8.881784197001252e-16,0.0026388317135974757,0.0017329172905895362,0.9999999999999981,-0.08477013981362366,1.0034254062606134,0.9999999999999962,1.0000000000000036,0.5380499362945557,0.03550386428833008,0.608353853225708,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,0.0026614042466218788,0.9967678102955714,0.0023862199668524147,0.9970469417875345,0.018751673699561055,9.992007221626409e-16,0.00356503195865826,0.0026614042466218788,1.0000000000000002,-0.0861962497775887,1.0125712419747772,0.9999999999999969,1.0000000000000024,0.5487377643585205,0.03569197654724121,0.6190910339355469,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,8.0,1e-06,0.1,20,0.0032767001850301336,0.9962930451839649,0.0031838544513870565,0.9963256319216008,0.024676301187808423,1.1102230246251565e-15,0.003630666401414303,0.0032767001850301336,0.9999999999999994,-0.07924347196287661,0.9962230350594824,0.9999999999999986,1.0000000000000016,0.5395557880401611,0.03530716896057129,0.6095120906829834,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,8.0,1e-06,0.1,20,0.002865903250179068,0.996752249798994,0.0026424314836855064,0.9969176043773335,0.02580351585700073,1.4432899320127035e-15,0.0033161939041022543,0.002865903250179068,1.0000003015210446,-0.08296604863990734,0.993694202201627,0.9999999999999983,1.000000000000001,0.5376880168914795,0.03520822525024414,0.6075201034545898,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,8.0,1e-06,0.1,20,0.0034028265353767528,0.9961376500051059,0.0030642805648836632,0.9964724267374484,0.024987776215460274,8.881784197001252e-16,0.003825999554175329,0.0034028265353767528,1.0,-0.08561788450164383,0.997617786374406,0.9999999999999988,1.0000000000000013,0.5466098785400391,0.035835981369018555,0.6168918609619141,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,12.0,1e-06,0.1,20,0.006667913161938357,0.9926109383988719,0.0065022424007945105,0.9926720461417557,0.031154524727953013,9.992007221626409e-16,0.0066286406820818536,0.006667913161938357,0.9999999999999981,-0.06389006076104976,0.9860673084576755,0.9999999999999984,1.0000000000000009,0.5537638664245605,0.03562593460083008,0.6240098476409912,
