n_clusters,omega,n_runs,train_closure_error_mean,train_closure_error_std,test_closure_error_mean,test_closure_error_std,test_closure_error_min,test_closure_error_max,test_association_r2_mean,test_association_r2_std,test_association_r2_min,raw_predicted_simplex_violation_mean,raw_predicted_simplex_violation_max
15,4.0,3,0.001395129202476175,0.00030440678072818746,0.0013115754647288547,0.00025608083079049776,0.0010162159777226476,0.0014714810814083097,0.9983303909190385,0.00031802689355863145,0.9981181964611551,0.019908845252095336,0.020310183499277962
10,4.0,3,0.0016871595577910385,7.706650627306362e-05,0.0016262675928084547,4.1608023322143836e-05,0.0015790230145509775,0.0016574522872245935,0.9978452420474208,5.312898377647923e-05,0.9978112544027599,0.010234820361274691,0.010778424370362085
20,4.0,3,0.002090718873015084,0.000499511399560938,0.0018889676089864323,0.00045623572968946763,0.0014896559613020658,0.0023862199668524147,0.9976467917053333,0.0005483125379307279,0.9970469417875345,0.019567637851987254,0.020826889026260963
20,8.0,3,0.0031818099901953184,0.00028075748494690313,0.0029635221666520755,0.00028442731690070643,0.0026424314836855064,0.0031838544513870565,0.9965718876787942,0.00030826483131647463,0.9963256319216008,0.02515586442008981,0.02580351585700073
25,8.0,3,0.0032721770531691226,0.00020334602503221572,0.0031097593164656156,0.00010874732249722583,0.0029889970035224213,0.0031999453044209364,0.9964783827372731,0.00011711565091786755,0.9963793178715864,0.03849304665103981,0.05034423880356806
15,8.0,3,0.0034147014061068157,0.00029041257799781577,0.003206537863914382,0.00032236835072625773,0.0028740276821102436,0.003517703574846184,0.9962317876602368,0.0003511497019483871,0.9959031580712607,0.02309944335498697,0.02449246638751931
25,4.0,3,0.003384031343524184,0.0002654892713151263,0.0033044611700821526,0.00024067214342497675,0.0030278513832555053,0.0034659684339467933,0.9959922841704651,0.0002850157495219274,0.9957993525495716,0.021453116022012792,0.022440201418065474
10,8.0,3,0.003702541430294777,4.487112794902104e-05,0.003738386668143922,8.057213262661387e-05,0.0036486317366088614,0.0038044751629966495,0.9954246796266991,0.00011058586388866155,0.9953321125910608,0.02277680044006716,0.023578838146881786
15,12.0,3,0.006067417006615318,0.00034470130124357413,0.005812992167064108,0.00040841901275790496,0.005499707866493726,0.006274914189342584,0.9933315191016273,0.00041835898302451234,0.9928600510142612,0.02792964578302992,0.02955041028974652
10,12.0,3,0.0059104821380028235,6.306575135770632e-05,0.0059772256804017385,0.00011273959258425622,0.0058489710974982895,0.006060673613904408,0.9928535977999363,0.00014875787195329457,0.9927380150347895,0.021202661572504857,0.021640211486385137
20,12.0,3,0.006429228239529843,0.00024030513211627634,0.006067689640311892,0.00040404885007295767,0.005703347298634968,0.0065022424007945105,0.9931462790114564,0.00043151313723820297,0.9926720461417557,0.03234835682977958,0.03437017223083293
25,12.0,3,0.0068437884442794404,0.00012065393701367468,0.0065609626177126935,0.0001331867031073764,0.006428410782834278,0.006694775237672726,0.9927301675608337,0.00015811733340585088,0.9925686109980731,0.0426634843405507,0.051705563075925755
10,16.0,3,0.00790178169582518,7.561672246729445e-05,0.007966341221248974,0.00013135917986085998,0.00781631881345554,0.008060722298754295,0.9905827397755461,0.0001699510014722516,0.9904528727761279,0.018279275264124897,0.01858381833115943
15,16.0,3,0.008352573312189405,0.0003897896849744615,0.0080585869398323,0.00046844225097930045,0.0077667509855164,0.008598918373060082,0.99086464887902,0.0004687240779848731,0.9903239329501071,0.030493133018086163,0.034588907142609704
20,16.0,3,0.009401780944353377,0.00021840529192989995,0.008903594650800616,0.00047054539974522184,0.008493481378315331,0.009417306922047624,0.9900683234057843,0.000496802150501503,0.9895145503800864,0.042641977260174206,0.04516157195242354
25,16.0,3,0.010655110024384592,0.00012807394204446268,0.010294739171856774,0.0002711993834130331,0.010045171117924107,0.010583340003229143,0.9887271426891769,0.0003125260282649927,0.9883919868748026,0.045537281232336906,0.04864815185367676
