system,seed,train_fraction,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation
duffing,0,0.25,1,1200,0.00011346282437661754,0.9928056712971585,0.0012921418177706968
duffing,0,0.25,10,1191,0.005187962444537672,0.6530393272050992,0.008823291932821884
duffing,0,0.25,50,1151,0.04993633685253243,-3.1069829284864463,0.014579957193941133
duffing,0,0.25,100,1101,0.03741676285609594,-3.094821138982164,0.02367373502776424
duffing,0,0.25,200,1001,0.05053491789206501,-8.367195171662358,0.013058399706943629
duffing,0,0.5,1,800,1.33670758238421e-06,0.9985817926878765,0.00013693444219302537
duffing,0,0.5,10,791,7.055132239231823e-05,0.9209385725566059,0.0013237507511977067
duffing,0,0.5,50,751,0.0007824175741909066,-0.1616779099804504,0.0034191718597339606
duffing,0,0.5,100,701,0.0012904468383987623,-1.9232726702352663,0.0029943884659568657
duffing,0,0.5,200,601,0.0018614152039204959,-7.78783462521001,0.004258304360467697
duffing,0,0.75,1,400,4.6001404507325703e-07,0.9926337818362392,7.1765190484543505e-06
duffing,0,0.75,10,391,7.66845051143331e-06,0.8771735075857955,0.00010918340444242921
duffing,0,0.75,50,351,5.7979874323297886e-05,0.032222751199118105,0.00028585085994347844
duffing,0,0.75,100,301,7.573637582708805e-05,-0.16479750495589007,0.0004086740214676516
duffing,0,0.75,200,201,5.97812179266069e-05,0.013822452016667097,0.0002859805809776921
duffing,1,0.25,1,1200,0.00024578863396900656,0.985850897567469,0.0012061168725400549
duffing,1,0.25,10,1191,0.004730734723732987,0.712137780396341,0.011027520530488697
duffing,1,0.25,50,1151,0.02803138217682944,-1.154045866011319,0.02209212090646781
duffing,1,0.25,100,1101,0.025492259845560212,-1.5338330178816624,0.012967301644392797
duffing,1,0.25,200,1001,0.04124215116441447,-6.489005784376734,0.006275520756956004
duffing,1,0.5,1,800,3.733212759382886e-06,0.996198605241188,0.00018091906625578732
duffing,1,0.5,10,791,8.85480297257251e-05,0.9066620325823644,0.0016519373732245693
