system,train_fraction,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
duffing,0.25,1,3,0.00016479930521330556,7.097181492220262e-05,0.00011346282437661754,0.00024578863396900656,0.9899576624017117,0.0036442515408359835,0.0009581384175551635,0.0012921418177706968
duffing,0.25,10,3,0.005312681273096702,0.0006532964598358742,0.004730734723732987,0.00601934665101945,0.6502306282041603,0.06335821051084731,0.007711661752495848,0.011027520530488697
duffing,0.25,50,3,0.04317891786120289,0.013143527054345846,0.02803138217682944,0.05156903455424681,-2.686552379484812,1.3715048324975947,0.015461404170009817,0.02209212090646781
duffing,0.25,100,3,0.028799036871794415,0.007530144562919511,0.02348808791372708,0.03741676285609594,-2.19336577870407,0.808124920200934,0.016001349116352006,0.02367373502776424
duffing,0.25,200,3,0.04082942754463179,0.009918294650715132,0.03071121357741589,0.05053491789206501,-7.202211809171312,1.0173376606467337,0.008781452254001475,0.013058399706943629
duffing,0.5,1,3,1.1155251429546727e-05,1.4978787448201535e-05,1.33670758238421e-06,2.8395833946873084e-05,0.991133712273868,0.01090187014841417,0.00010595116948308558,0.00018091906625578732
duffing,0.5,10,3,0.00019597628616820217,0.0002018574670237801,7.055132239231823e-05,0.0004288295063865632,0.8235565412885911,0.1564696911506445,0.000991896041474684,0.0016519373732245693
duffing,0.5,50,3,0.0011974659039418586,0.0007311031246652647,0.0007683481428703213,0.002041631994764348,-0.45826431054872857,0.6841644274204102,0.0021044610138913895,0.0034191718597339606
duffing,0.5,100,3,0.0015530919617958421,0.0007440516601028834,0.0009759824326990425,0.0023928466142897216,-1.5905582228923612,0.7931837557748715,0.001481138985536731,0.0029943884659568657
duffing,0.5,200,3,0.0020832904131357194,0.0010769965203392337,0.0011345110515327335,0.0032539449839539287,-8.872659752580804,7.433302059217116,0.001419434786835037,0.004258304360467697
duffing,0.75,1,3,4.645109642618163e-07,1.9373043289548255e-08,4.4778185565947535e-07,4.857369920527166e-07,0.9941580043356231,0.0033184665147757554,1.0791009449908243e-05,1.7914823764745356e-05
duffing,0.75,10,3,8.777381399319956e-06,2.445627422110196e-06,7.0826697265835875e-06,1.1581023959942969e-05,0.8998771507768862,0.04530600444537557,0.00013130125111979933,0.00017482452678658407
duffing,0.75,50,3,7.02630499000886e-05,4.004860531474587e-05,3.7794619740176953e-05,0.00011501465563679099,0.25065054368681433,0.24930701843083844,0.00035306936210284995,0.0004966125412851497
duffing,0.75,100,3,9.49403430795551e-05,4.915719878400377e-05,5.8283966125081816e-05,0.00015080068728649546,-0.0636197226397105,0.39959873636251947,0.0005301699470442051,0.000770920091033904
duffing,0.75,200,3,9.232509884265522e-05,3.3072320170950825e-05,5.97812179266069e-05,0.00012590166939442684,-0.09693125035941919,0.5585641436710053,0.00047338017930160966,0.0008478524935759427
vanderpol,0.25,1,3,0.003317167491703163,0.0002535431171907366,0.003059504626327292,0.0035663795629070883,0.9959859572199349,0.0003118697029382993,0.023299798826964976,0.025939803484653263
vanderpol,0.25,10,3,0.032029559409482995,0.0018845314118970122,0.030654244629759683,0.034177641595399724,0.9612570491174809,0.002310565223559522,0.12451672205817488,0.14737376452333664
vanderpol,0.25,50,3,0.10579321490210884,0.0033344386089649205,0.10205410560740691,0.10845824242684857,0.871843322655596,0.004180118065738848,0.09413096569848776,0.10049880565843927
vanderpol,0.25,100,3,0.18175038487509423,0.0032459804236669113,0.17982018489124757,0.1854979540811505,0.7787039486504282,0.0038421819890660956,0.08343666989303339,0.08888697092622277
vanderpol,0.25,200,3,0.19397038737358974,0.0035633326674297814,0.19029455090850653,0.19740940192123724,0.7661390828411853,0.004111013769554613,0.07358950199591326,0.09457019970290993
vanderpol,0.5,1,3,0.0021984077721060274,0.00020267156421611957,0.002072137497598659,0.0024321817861541984,0.9972911881440627,0.000252748687482468,0.021688612739070603,0.02198298028293234
vanderpol,0.5,10,3,0.01891843454099318,0.0018377194335575779,0.016799139841058627,0.020071115205408413,0.9766412255354601,0.0022072002326966396,0.0897353085715915,0.10237279447862163
vanderpol,0.5,50,3,0.08737745177066604,0.0035622473770974983,0.08430594324761968,0.09128259053460291,0.8921918283506961,0.004609355974483359,0.09109748529281105,0.09337490298658492
vanderpol,0.5,100,3,0.18708233261857257,0.00559418471224943,0.18066833704206944,0.19095295541630897,0.7725232680570112,0.007254440425746525,0.09170494336022439,0.09410717318642156
vanderpol,0.5,200,3,0.16858930274298278,0.007449959329389075,0.16357253767911867,0.17714962258705266,0.7920884511536256,0.00919810942709986,0.059935632680797414,0.06573211928428814
vanderpol,0.75,1,3,0.0018889676089864325,0.00045623572968946763,0.0014896559613020658,0.0023862199668524147,0.9976467917053334,0.0005483125379307279,0.019567637851987254,0.020826889026260963
vanderpol,0.75,10,3,0.015247138511131547,0.002335141685010014,0.01255280967105293,0.01668557595682394,0.9811030100114331,0.00274387334818048,0.07322916571613186,0.08137523684723166
vanderpol,0.75,50,3,0.08355032125554995,0.003305974251858861,0.07998471132764529,0.08651392473553901,0.898658697778405,0.004033580808846962,0.0939617351953727,0.09674787530650235
vanderpol,0.75,100,3,0.16391436858519937,0.010935486226646222,0.15133189616600085,0.17112533294933688,0.7970456967766338,0.013611660555943844,0.08418919805827846,0.10270194081867523
vanderpol,0.75,200,3,0.17955130008636308,0.032116408095556666,0.15999754440054118,0.21661740012219716,0.7578503407530764,0.0416864007181939,0.057538717530003815,0.07265307509337388
