system,seed,train_fraction,n_steps,n_train,n_test,n_clusters,omega,tau,train_closure_error,train_association_r2,test_closure_error,test_association_r2,test_simplex_violation,fit_seconds
duffing,0,0.25,1600,400,1200,15,12.0,1e-06,0.0007429743798204662,0.9981509102926841,0.00011346282437661754,0.9928056712971585,0.0012921418177706968,0.29369211196899414
duffing,0,0.5,1600,800,800,15,12.0,1e-06,0.0002967101067006456,0.9987695172746893,1.33670758238421e-06,0.9985817926878765,0.00013693444219302537,0.4188363552093506
duffing,0,0.75,1600,1200,400,15,12.0,1e-06,0.0001453304288316065,0.9990862174188512,4.6001404507325703e-07,0.9926337818362392,7.1765190484543505e-06,0.6087450981140137
duffing,1,0.25,1600,400,1200,15,12.0,1e-06,0.001037856965879927,0.9973998601344612,0.00024578863396900656,0.985850897567469,0.0012061168725400549,0.19335675239562988
duffing,1,0.5,1600,800,800,15,12.0,1e-06,0.00034009207653838897,0.9984965906874754,3.733212759382886e-06,0.996198605241188,0.00018091906625578732,0.42328500747680664
duffing,1,0.75,1600,1200,400,15,12.0,1e-06,0.0002658232639921856,0.9982690333675667,4.857369920527166e-07,0.9979647468173308,1.7914823764745356e-05,0.6344311237335205
duffing,2,0.25,1600,400,1200,15,12.0,1e-06,0.0008862278525054005,0.997898229307152,0.00013514645729429263,0.9912164183405079,0.0003761565623547386,0.16773390769958496
duffing,2,0.5,1600,800,800,15,12.0,1e-06,0.0003087116647828614,0.9986821106039807,2.8395833946873084e-05,0.97862073889254,4.440892098500626e-16,0.382720947265625
duffing,2,0.75,1600,1200,400,15,12.0,1e-06,0.00019435782939745817,0.9988047306109691,4.4778185565947535e-07,0.9918754843532989,7.281685536525022e-06,0.5716381072998047
vanderpol,0,0.25,1600,400,1200,20,4.0,1e-06,0.003358337718355938,0.9958329870214256,0.0033256182858751094,0.9959707094523604,0.02220472601746119,0.24700307846069336
vanderpol,0,0.5,1600,800,800,20,4.0,1e-06,0.0030345123432150975,0.9963064388656707,0.0024321817861541984,0.9970003444659603,0.02189331771045105,0.3398170471191406
vanderpol,0,0.75,1600,1200,400,20,4.0,1e-06,0.0018778350818338364,0.9977227736033206,0.0017910268988048164,0.9977712695316271,0.020826889026260963,0.5614199638366699
vanderpol,1,0.25,1600,400,1200,20,4.0,1e-06,0.0026603483503641885,0.9966828545132295,0.003059504626327292,0.9963051711240996,0.025939803484653263,0.17304396629333496
vanderpol,1,0.5,1600,800,800,20,4.0,1e-06,0.002184285738878673,0.997341292553518,0.002072137497598659,0.9974575710232847,0.02118954022382841,0.3368659019470215
vanderpol,1,0.75,1600,1200,400,20,4.0,1e-06,0.0017329172905895362,0.9978926246153298,0.0014896559613020658,0.9981221637968385,0.019124350830139736,0.5511460304260254
vanderpol,2,0.25,1600,400,1200,20,4.0,1e-06,0.0029532704139706755,0.9963144417944834,0.0035663795629070883,0.9956819910833447,0.021754866978780468,0.17498993873596191
vanderpol,2,0.5,1600,800,800,20,4.0,1e-06,0.002174225811471904,0.997348320020877,0.002090904032565225,0.9974156489429429,0.02198298028293234,0.3370542526245117
vanderpol,2,0.75,1600,1200,400,20,4.0,1e-06,0.0026614042466218788,0.9967678102955714,0.0023862199668524147,0.9970469417875345,0.018751673699561055,0.565025806427002
