system,seed,noise_level,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation
duffing,0,0.0,1,400,4.6001404507325703e-07,0.9926337818362392,7.1765190484543505e-06
duffing,0,0.0,10,391,7.66845051143331e-06,0.8771735075857955,0.00010918340444242921
duffing,0,0.0,50,351,5.7979874323297886e-05,0.032222751199118105,0.00028585085994347844
duffing,0,0.0,100,301,7.573637582708805e-05,-0.16479750495589007,0.0004086740214676516
duffing,0,0.0,200,201,5.97812179266069e-05,0.013822452016667097,0.0002859805809776921
duffing,0,0.005,1,400,7.095174382052923e-07,0.9889990988782967,1.449288445011541e-05
duffing,0,0.005,10,391,2.7814586579756144e-05,0.5681272573987797,0.00013829020091088695
duffing,0,0.005,50,351,0.0003423141259022746,-4.525980357864962,7.527493311781754e-05
duffing,0,0.005,100,301,0.0005175679315230403,-6.686809861732354,0.00045567365460601325
duffing,0,0.005,200,201,0.0006427359925569087,-9.216329834381575,0.00025368820514085023
duffing,0,0.01,1,400,6.579972150478098e-07,0.9902988956148929,1.789349436737693e-06
duffing,0,0.01,10,391,2.550850072307024e-05,0.6256378418770385,4.544698596980103e-05
duffing,0,0.01,50,351,0.000278189232504001,-3.2489549542605074,0.0001256668016261368
duffing,0,0.01,100,301,0.00043241886343006725,-5.0740942944391,0.0002604079819234151
duffing,0,0.01,200,201,0.0007972702982000099,-11.04478142729288,0.00011517220247713815
duffing,0,0.02,1,400,2.9561304365977182e-05,0.903882214574182,0.00012393366065908016
duffing,0,0.02,10,391,0.0002824172582621887,0.08886341033151124,0.001014769333109416
duffing,0,0.02,50,351,0.002852024460383659,-8.029866686161043,0.0010108718275907405
duffing,0,0.02,100,301,0.003749899444120158,-11.028857051621909,1.2656542480726785e-14
duffing,0,0.02,200,201,0.003751971284644257,-10.87403180380363,0.001202759373505827
duffing,0,0.05,1,400,3.095235113797428e-05,0.50031684289188,9.641224835703803e-05
duffing,0,0.05,10,391,0.002732500727197241,-43.04098774297819,8.881784197001252e-16
duffing,0,0.05,50,351,0.03512914139758,-587.97651839376,3.1086244689504383e-15
duffing,0,0.05,100,301,0.041127119469002646,-633.6722500831498,6.217248937900877e-15
duffing,0,0.05,200,201,0.04782889609276052,-790.6883398125925,1.0103029524088925e-14
duffing,1,0.0,1,400,4.857369920527166e-07,0.9979647468173308,1.7914823764745356e-05
duffing,1,0.0,10,391,1.1581023959942969e-05,0.9520461559866047,0.00017482452678658407
duffing,1,0.0,50,351,0.00011501465563679099,0.5222558314530839,0.0004966125412851497
duffing,1,0.0,100,301,0.00015080068728649546,0.3768427921154459,0.000770920091033904
duffing,1,0.0,200,201,0.00012590166939442684,0.39795921135819756,0.0008478524935759427
duffing,1,0.005,1,400,6.282826674157014e-07,0.9973783129924443,1.8896144818768085e-05
duffing,1,0.005,10,391,2.463751813311422e-05,0.8984300938559118,0.00023596887514262574
duffing,1,0.005,50,351,0.00025064277950937803,-0.03795724944845813,0.0007506797511156356
duffing,1,0.005,100,301,0.00039749557962570826,-0.6333840847540759,0.0006261747325804819
duffing,1,0.005,200,201,0.0005403051717195901,-1.5762387813964063,0.0006840167466207533
duffing,1,0.01,1,400,5.051001374052919e-07,0.9978571135644586,2.6643765659223186e-05
duffing,1,0.01,10,391,1.410801710992601e-05,0.9408536858301749,0.00022973532696361827
duffing,1,0.01,50,351,0.00018219392006325644,0.23336374476311983,0.00042315185359585516
duffing,1,0.01,100,301,0.0002254909778519195,0.05664162564712938,0.000855411743331913
duffing,1,0.01,200,201,0.00022487988798731387,-0.08997145801428519,0.0007787102243320328
duffing,1,0.02,1,400,5.294218855816135e-07,0.997729148587267,1.3811278838790023e-07
duffing,1,0.02,10,391,1.5530688865370442e-05,0.9341417718771851,5.5039551339777746e-05
duffing,1,0.02,50,351,0.0001875491165426988,0.2021949257984239,0.00020366969092526195
duffing,1,0.02,100,301,0.0002772710561491407,-0.17578085822387157,0.0005354794612375531
duffing,1,0.02,200,201,0.00032990329775564635,-0.6184420724831512,0.0005568570130913489
duffing,1,0.05,1,400,3.3529362892793235e-06,0.986857931412202,2.2974313613475372e-05
duffing,1,0.05,10,391,0.00022738942162840985,0.11997081869364101,0.0002512451546374992
duffing,1,0.05,50,351,0.0014692072696393184,-4.705277345150925,0.0007960481360655676
duffing,1,0.05,100,301,0.002173405390967074,-7.364126906010906,3.603316804262326e-05
duffing,1,0.05,200,201,0.003607970647897535,-15.040058162633894,0.0010341718122432383
duffing,2,0.0,1,400,4.4778185565947535e-07,0.9918754843532989,7.281685536525022e-06
duffing,2,0.0,10,391,7.0826697265835875e-06,0.8704117887582585,0.0001098958221303847
duffing,2,0.0,50,351,3.7794619740176953e-05,0.1974730484082411,0.00027674468507992155
duffing,2,0.0,100,301,5.8283966125081816e-05,-0.40290445507868733,0.00041091572863106003
duffing,2,0.0,200,201,9.129240920693194e-05,-0.7025754144531222,0.00028630746335119424
duffing,2,0.005,1,400,4.834452398122776e-07,0.9913558941299607,9.234368683711219e-06
duffing,2,0.005,10,391,1.067686643252487e-05,0.8085072871483945,0.00013834631228570047
duffing,2,0.005,50,351,0.0001115762169320756,-1.3444180962086154,0.0006354383920191848
duffing,2,0.005,100,301,0.00016662455604149983,-2.9638487870773504,0.0010682384203027618
duffing,2,0.005,200,201,0.0002904628589874618,-4.30177834215935,0.000513432831525551
duffing,2,0.01,1,400,5.815011305926623e-07,0.9900099634735725,7.70167739334751e-06
duffing,2,0.01,10,391,2.0235234805481538e-05,0.6504013320573967,0.00012908736692072135
duffing,2,0.01,50,351,0.00031572766293956557,-5.3715049328006526,0.0003845932310599192
duffing,2,0.01,100,301,0.0003814965792230426,-7.721277864107316,0.0011406074830782376
duffing,2,0.01,200,201,0.000564619751610535,-8.957231431933058,0.00015783669452105776
duffing,2,0.02,1,400,1.110573948456879e-06,0.9801030370707808,5.32225284467208e-06
duffing,2,0.02,10,391,6.346754713673802e-05,-0.1485416199280436,0.0001248382642221616
duffing,2,0.02,50,351,0.0007770185574218016,-15.118281350930822,0.0009694992962878249
duffing,2,0.02,100,301,0.0014723830743536258,-33.912944122040734,0.0006667669635848315
duffing,2,0.02,200,201,0.0016723514285930884,-29.87029507874662,1.176836406102666e-14
duffing,2,0.05,1,400,9.756713360075196e-06,0.8282244530605407,1.5902909991052324e-05
duffing,2,0.05,10,391,0.000921172670466149,-15.33702199110543,0.00020635071223542147
duffing,2,0.05,50,351,0.012172398013474577,-248.93088099118955,0.0018312934274924003
duffing,2,0.05,100,301,0.013303935994361141,-309.64558721535735,0.0026936220613623264
