system,noise_level,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
duffing,0.0,1,3,4.645109642618163e-07,1.9373043289548255e-08,4.4778185565947535e-07,4.857369920527166e-07,0.9941580043356231,0.0033184665147757554,1.0791009449908243e-05,1.7914823764745356e-05
duffing,0.0,10,3,8.777381399319956e-06,2.445627422110196e-06,7.0826697265835875e-06,1.1581023959942969e-05,0.8998771507768862,0.04530600444537557,0.00013130125111979933,0.00017482452678658407
duffing,0.0,50,3,7.02630499000886e-05,4.004860531474587e-05,3.7794619740176953e-05,0.00011501465563679099,0.25065054368681433,0.24930701843083844,0.00035306936210284995,0.0004966125412851497
duffing,0.0,100,3,9.49403430795551e-05,4.915719878400377e-05,5.8283966125081816e-05,0.00015080068728649546,-0.0636197226397105,0.39959873636251947,0.0005301699470442051,0.000770920091033904
duffing,0.0,200,3,9.232509884265522e-05,3.3072320170950825e-05,5.97812179266069e-05,0.00012590166939442684,-0.09693125035941919,0.5585641436710053,0.00047338017930160966,0.0008478524935759427
duffing,0.005,1,3,6.070817818110904e-07,1.1451754400255666e-07,4.834452398122776e-07,7.095174382052923e-07,0.9925777686669006,0.004321173490002324,1.4207799317531571e-05,1.8896144818768085e-05
duffing,0.005,10,3,2.104299038179841e-05,9.116788649378618e-06,1.067686643252487e-05,2.7814586579756144e-05,0.7583548794676953,0.17076720686371558,0.00017086846277973773,0.00023596887514262574
duffing,0.005,50,3,0.0002348443741145761,0.00011617739826983921,0.0001115762169320756,0.0003423141259022746,-1.969451901174012,2.30837351796287,0.00048713102541754597,0.0007506797511156356
duffing,0.005,100,3,0.00036056268906341617,0.000178362950195827,0.00016662455604149983,0.0005175679315230403,-3.42801424452126,3.053289715742572,0.0007166956024964189,0.0010682384203027618
duffing,0.005,200,3,0.0004911680077546535,0.0001812041274932697,0.0002904628589874618,0.0006427359925569087,-5.03144898597911,3.8719584528782414,0.00048371259442905147,0.0006840167466207533
duffing,0.01,1,3,5.815328276819214e-07,7.644854374960082e-08,5.051001374052919e-07,6.579972150478098e-07,0.992721990884308,0.004449492572273806,1.2044930829769465e-05,2.6643765659223186e-05
duffing,0.01,10,3,1.995058421282593e-05,5.705569745723639e-06,1.410801710992601e-05,2.550850072307024e-05,0.7389642865882035,0.17527921940775326,0.00013475655995138022,0.00022973532696361827
duffing,0.01,50,3,0.000258703605168941,6.886640963575557e-05,0.00018219392006325644,0.00031572766293956557,-2.7956987140993466,2.8297913593792816,0.0003111372954273037,0.00042315185359585516
duffing,0.01,100,3,0.0003464688068350098,0.00010781927511494235,0.0002254909778519195,0.00043241886343006725,-4.246243510966429,3.954492456314432,0.0007521424027778553,0.0011406074830782376
duffing,0.01,200,3,0.0005289233125992862,0.0002878599872236978,0.00022487988798731387,0.0007972702982000099,-6.697328105746742,5.816557198939284,0.00035057304044340955,0.0007787102243320328
duffing,0.02,1,3,1.0400433400005224e-05,1.6596344975958303e-05,5.294218855816135e-07,2.9561304365977182e-05,0.9605714667440767,0.049879088158108154,4.3131342097380044e-05,0.00012393366065908016
duffing,0.02,10,3,0.00012047183142143239,0.00014228220743019263,1.5530688865370442e-05,0.0002824172582621887,0.2914878540935509,0.5690723421763928,0.0003982157162237851,0.001014769333109416
duffing,0.02,50,3,0.001272197378116053,0.0013995566308057038,0.0001875491165426988,0.002852024460383659,-7.648651037097814,7.667349109358066,0.000728013604934609,0.0010108718275907405
duffing,0.02,100,3,0.001833184524874308,0.0017642052729937403,0.0002772710561491407,0.003749899444120158,-15.039194010628838,17.222402508533506,0.000400748808278347,0.0006667669635848315
duffing,0.02,200,3,0.0019180753369976641,0.0017242164904945035,0.00032990329775564635,0.003751971284644257,-13.7875896516778,14.841978997919822,0.0005865387955363148,0.001202759373505827
duffing,0.05,1,3,1.4687333595776264e-05,1.4445247901269108e-05,3.3529362892793235e-06,3.095235113797428e-05,0.7717997424548743,0.24812974162690546,4.509649065385524e-05,9.641224835703803e-05
duffing,0.05,10,3,0.0012936876064306,0.0012934338778846186,0.00022738942162840985,0.002732500727197241,-19.419346305129995,21.86815298200205,0.00015253195562460294,0.0002512451546374992
duffing,0.05,50,3,0.0162569155602313,0.01719768164802015,0.0014692072696393184,0.03512914139758,-280.5375589100335,292.91734623506903,0.0008757805211870254,0.0018312934274924003
duffing,0.05,100,3,0.018868153618110287,0.020064105971651643,0.002173405390967074,0.041127119469002646,-316.89398806817275,313.2169707656497,0.000909885076470389,0.0026936220613623264
duffing,0.05,200,3,0.02852082349120914,0.0226369771164096,0.003607970647897535,0.04782889609276052,-473.74017517801434,406.7895969779221,0.0003447239374292528,0.0010341718122432383
vanderpol,0.0,1,3,0.0018889676089864325,0.00045623572968946763,0.0014896559613020658,0.0023862199668524147,0.9976467917053334,0.0005483125379307279,0.019567637851987254,0.020826889026260963
vanderpol,0.0,10,3,0.015247138511131547,0.002335141685010014,0.01255280967105293,0.01668557595682394,0.9811030100114331,0.00274387334818048,0.07322916571613186,0.08137523684723166
vanderpol,0.0,50,3,0.08355032125554995,0.003305974251858861,0.07998471132764529,0.08651392473553901,0.898658697778405,0.004033580808846962,0.0939617351953727,0.09674787530650235
vanderpol,0.0,100,3,0.16391436858519937,0.010935486226646222,0.15133189616600085,0.17112533294933688,0.7970456967766338,0.013611660555943844,0.08418919805827846,0.10270194081867523
vanderpol,0.0,200,3,0.17955130008636308,0.032116408095556666,0.15999754440054118,0.21661740012219716,0.7578503407530764,0.0416864007181939,0.057538717530003815,0.07265307509337388
vanderpol,0.005,1,3,0.0008756409857792812,9.275852149248716e-05,0.0007963756659107723,0.0009776587409613545,0.9988969888561398,0.00011221021823160297,0.014016015194653493,0.014864844376408797
