system,noise_level,n_runs,train_closure_error_noisy_train_mean,train_closure_error_noisy_train_std,clean_test_closure_error_mean,clean_test_closure_error_std,clean_test_association_r2_mean,clean_test_association_r2_std,clean_test_simplex_violation_mean,clean_test_simplex_violation_max
duffing,0.0,3,0.00020183717407375008,6.059361582583352e-05,4.645109642618163e-07,1.9373043289548255e-08,0.9941580043356231,0.0033184665147757554,1.0791009449908243e-05,1.7914823764745356e-05
duffing,0.005,3,0.0002052950353983067,3.860550774926133e-05,6.070817818110904e-07,1.1451754400255666e-07,0.9925777686669006,0.004321173490002324,1.4207799317531571e-05,1.8896144818768085e-05
duffing,0.01,3,0.00025599437178677986,2.8498684607146012e-05,5.815328276819214e-07,7.644854374960082e-08,0.992721990884308,0.004449492572273806,1.2044930829769465e-05,2.6643765659223186e-05
duffing,0.02,3,0.00035615658118352394,3.8225659421902324e-05,1.0400433400005224e-05,1.6596344975958303e-05,0.9605714667440767,0.049879088158108154,4.3131342097380044e-05,0.00012393366065908016
duffing,0.05,3,0.0012470375052716712,9.235907142957653e-05,1.4687333595776264e-05,1.4445247901269108e-05,0.7717997424548743,0.24812974162690546,4.509649065385524e-05,9.641224835703803e-05
vanderpol,0.0,3,0.002090718873015084,0.000499511399560938,0.0018889676089864325,0.00045623572968946763,0.9976467917053334,0.0005483125379307279,0.019567637851987254,0.020826889026260963
vanderpol,0.005,3,0.0020867575248311484,0.0003274279256942503,0.0008756409857792812,9.275852149248716e-05,0.9988969888561398,0.00011221021823160297,0.014016015194653493,0.014864844376408797
vanderpol,0.01,3,0.0024296226788306807,0.00030334844440655913,0.0007163070696206776,8.488858733018293e-05,0.9990904783869228,0.00010384245876748745,0.006969847391175507,0.008057254596189662
vanderpol,0.02,3,0.004279397624802092,0.00020702805146248084,0.0006721888818183776,5.661892270554981e-05,0.9991479938073816,7.34542820768359e-05,0.0007687992290529985,0.0009288947912979039
vanderpol,0.05,3,0.017635612865253215,0.0005784901465218206,0.0013734058076235432,6.409781056308099e-05,0.9982377022833379,8.089899280366725e-05,0.000783792106978138,0.0019475730337766982
