system,seed,noise_level,n_steps,train_fraction,n_train,n_test,n_clusters,omega,tau,train_closure_error_noisy_train,train_association_r2_noisy_train,clean_test_closure_error,clean_test_association_r2,clean_test_simplex_violation,fit_seconds
duffing,0,0.0,1600,0.75,1200,400,15,12.0,1e-06,0.0001453304288316065,0.9990862174188512,4.6001404507325703e-07,0.9926337818362392,7.1765190484543505e-06,0.6792070865631104
duffing,0,0.005,1600,0.75,1200,400,15,12.0,1e-06,0.00017635235910665807,0.9989150774054522,7.095174382052923e-07,0.9889990988782967,1.449288445011541e-05,0.5490360260009766
duffing,0,0.01,1600,0.75,1200,400,15,12.0,1e-06,0.0002508434053696331,0.9984834041459798,6.579972150478098e-07,0.9902988956148929,1.789349436737693e-06,0.5492329597473145
duffing,0,0.02,1600,0.75,1200,400,15,12.0,1e-06,0.00032805366149209295,0.9979607862193411,2.9561304365977182e-05,0.903882214574182,0.00012393366065908016,0.5726048946380615
duffing,0,0.05,1600,0.75,1200,400,15,12.0,1e-06,0.0013483810527286156,0.9916949793467345,3.095235113797428e-05,0.50031684289188,9.641224835703803e-05,0.5485460758209229
duffing,1,0.0,1600,0.75,1200,400,15,12.0,1e-06,0.0002658232639921856,0.9982690333675667,4.857369920527166e-07,0.9979647468173308,1.7914823764745356e-05,0.5602109432220459
duffing,1,0.005,1600,0.75,1200,400,15,12.0,1e-06,0.00024912836164756003,0.9983791183663098,6.282826674157014e-07,0.9973783129924443,1.8896144818768085e-05,0.5586907863616943
duffing,1,0.01,1600,0.75,1200,400,15,12.0,1e-06,0.0002867172471137121,0.9981400783842356,5.051001374052919e-07,0.9978571135644586,2.6643765659223186e-05,0.5693118572235107
duffing,1,0.02,1600,0.75,1200,400,15,12.0,1e-06,0.0003996846498377847,0.9974075566413808,5.294218855816135e-07,0.997729148587267,1.3811278838790023e-07,0.5616991519927979
duffing,1,0.05,1600,0.75,1200,400,15,12.0,1e-06,0.0012251287654055218,0.9920088264495779,3.3529362892793235e-06,0.986857931412202,2.2974313613475372e-05,0.5384550094604492
duffing,2,0.0,1600,0.75,1200,400,15,12.0,1e-06,0.00019435782939745817,0.9988047306109691,4.4778185565947535e-07,0.9918754843532989,7.281685536525022e-06,0.5698561668395996
duffing,2,0.005,1600,0.75,1200,400,15,12.0,1e-06,0.000190404385440702,0.998857134779364,4.834452398122776e-07,0.9913558941299607,9.234368683711219e-06,0.54184889793396
