method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.17318359734656186,-0.22383333150129525,0.00047867312010205633,CartPole-v1
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.1731801790551422,-0.22380917552440005,8.881784197001252e-16,CartPole-v1
kmeans_hard_nlms,1,own_association,0.61277876978741,0.31296666765246894,2.220446049250313e-16,CartPole-v1
kmeans_distance_nlms,1,own_association,0.2959427720788762,0.49180646710414044,0.01940572620198256,CartPole-v1
kmeans_rbf_nlms,1,own_association,0.05348526424353699,-0.015215428989318935,9.992007221626409e-16,CartPole-v1
state_dmd,1,kahkm_association_of_predicted_state,0.14019146281560846,0.009311576763639806,2.55351295663786e-15,CartPole-v1
state_edmd_poly2,1,kahkm_association_of_predicted_state,0.15564518485910162,-0.09989495562369943,2.6645352591003757e-15,CartPole-v1
state_edmd_poly3,1,kahkm_association_of_predicted_state,0.12263066262569859,0.13340815940500172,4.3298697960381105e-15,CartPole-v1
kahkm_nlms,5,kahkm_association,0.15767897181153392,-0.11352019116048107,0.00015791016872911852,CartPole-v1
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.15767717117032432,-0.11350747513169868,8.881784197001252e-16,CartPole-v1
kmeans_hard_nlms,5,own_association,0.6701746875819143,0.2475100687905275,9.992007221626409e-16,CartPole-v1
kmeans_distance_nlms,5,own_association,0.31474199791919066,0.46019875253698317,0.007430335756469911,CartPole-v1
kmeans_rbf_nlms,5,own_association,0.05245187939602894,0.0061909712718595244,9.992007221626409e-16,CartPole-v1
state_dmd,5,kahkm_association_of_predicted_state,0.16498258976702357,-0.1650979378221007,3.219646771412954e-15,CartPole-v1
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.16352856424256504,-0.15482968986648538,3.1086244689504383e-15,CartPole-v1
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.16329933358261903,-0.15321087560513935,2.6645352591003757e-15,CartPole-v1
kahkm_nlms,10,kahkm_association,0.1451654208720941,-0.027641314615224122,5.10702591327572e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.14516340135451178,-0.0276270182374041,9.992007221626409e-16,CartPole-v1
kmeans_hard_nlms,10,own_association,0.798424495176738,0.10171492846171859,1.3322676295501878e-15,CartPole-v1
kmeans_distance_nlms,10,own_association,0.34129997162273695,0.41537763509397163,0.006617871769953427,CartPole-v1
kmeans_rbf_nlms,10,own_association,0.04982502426465829,0.048370297836121345,1.4432899320127035e-15,CartPole-v1
state_dmd,10,kahkm_association_of_predicted_state,0.16944153397301306,-0.19949447792990394,2.886579864025407e-15,CartPole-v1
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.17016790221985478,-0.20463651530764038,2.886579864025407e-15,CartPole-v1
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.164687814479083,-0.1658423965960263,2.886579864025407e-15,CartPole-v1
kahkm_nlms,20,kahkm_association,0.15051185200780406,-0.06456506422150698,8.881784197001252e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.15051101171851772,-0.06455912088477866,8.881784197001252e-16,CartPole-v1
kmeans_hard_nlms,20,own_association,0.8557797331657221,0.03417563897948506,1.5543122344752192e-15,CartPole-v1
kmeans_distance_nlms,20,own_association,0.4067916053988102,0.30937337237515883,0.0016897289390810338,CartPole-v1
kmeans_rbf_nlms,20,own_association,0.050268353799115206,0.04504068463960176,1.5543122344752192e-15,CartPole-v1
state_dmd,20,kahkm_association_of_predicted_state,0.16643774744284318,-0.17720836553247854,3.1086244689504383e-15,CartPole-v1
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.16702904013170453,-0.18139055803688509,2.6645352591003757e-15,CartPole-v1
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.16939302407986798,-0.19811093380812173,2.886579864025407e-15,CartPole-v1
kahkm_nlms,50,kahkm_association,0.15592218441931016,-0.10605460261393551,0.0006507475301253956,CartPole-v1
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.15592088601619342,-0.10604539221999021,9.992007221626409e-16,CartPole-v1
kmeans_hard_nlms,50,own_association,0.8578782141124434,0.02188501420977862,3.219646771412954e-15,CartPole-v1
kmeans_distance_nlms,50,own_association,0.5083386184045254,0.1453534403726402,1.3100631690576847e-14,CartPole-v1
kmeans_rbf_nlms,50,own_association,0.04830287842496811,0.04514640084200561,0.00047759075693037847,CartPole-v1
state_dmd,50,kahkm_association_of_predicted_state,0.16299540642507243,-0.15622943683601598,2.6645352591003757e-15,CartPole-v1
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.16320033941469947,-0.15768315605659122,2.6645352591003757e-15,CartPole-v1
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.16614112355790103,-0.17854399666753995,2.7755575615628914e-15,CartPole-v1
kahkm_nlms,1,kahkm_association,0.007526151352649568,0.9579844770374474,1.7763568394002505e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.007526151352649568,0.9579844770374474,8.881784197001252e-16,MountainCar-v0
kmeans_hard_nlms,1,own_association,0.42872730978025053,0.5631655078073783,2.220446049250313e-16,MountainCar-v0
kmeans_distance_nlms,1,own_association,0.31737649462317813,0.6208444476302656,0.03914578612913316,MountainCar-v0
kmeans_rbf_nlms,1,own_association,0.0011978388888993123,0.995136538229209,3.485390764658899e-05,MountainCar-v0
state_dmd,1,kahkm_association_of_predicted_state,0.00015077166017548317,0.9991583015204744,3.3306690738754696e-15,MountainCar-v0
