task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
CartPole-v1,kahkm_nlms,kahkm_association,1,0.17318359734656186,0.0,-0.22383333150129525,0.0,0.00047867312010205633,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,10,0.1451654208720941,0.0,-0.027641314615224122,0.0,5.10702591327572e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,20,0.15051185200780406,0.0,-0.06456506422150698,0.0,8.881784197001252e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,5,0.15767897181153392,0.0,-0.11352019116048107,0.0,0.00015791016872911852,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,50,0.15592218441931016,0.0,-0.10605460261393551,0.0,0.0006507475301253956,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.1731801790551422,0.0,-0.22380917552440005,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.14516340135451178,0.0,-0.0276270182374041,0.0,9.992007221626409e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.15051101171851772,0.0,-0.06455912088477866,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.15767717117032432,0.0,-0.11350747513169868,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.15592088601619342,0.0,-0.10604539221999021,0.0,9.992007221626409e-16,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,1,0.2959427720788762,0.0,0.49180646710414044,0.0,0.01940572620198256,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,10,0.34129997162273695,0.0,0.41537763509397163,0.0,0.006617871769953427,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,20,0.4067916053988102,0.0,0.30937337237515883,0.0,0.0016897289390810338,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,5,0.31474199791919066,0.0,0.46019875253698317,0.0,0.007430335756469911,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,50,0.5083386184045254,0.0,0.1453534403726402,0.0,1.3100631690576847e-14,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,1,0.61277876978741,0.0,0.31296666765246894,0.0,2.220446049250313e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,10,0.798424495176738,0.0,0.10171492846171859,0.0,1.3322676295501878e-15,0.0,1
