task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation
CartPole-v1,kahkm_nlms,own_association,0.16457907480822587,0.013444808734473956,0.17318359734656186,-0.22383333150129525,0.00047867312010205633
CartPole-v1,kmeans_hard_nlms,own_association,0.55236919161072,0.43530665855900097,0.61277876978741,0.31296666765246894,2.220446049250313e-16
CartPole-v1,kmeans_distance_nlms,own_association,0.4217438266274573,0.4854219875987269,0.2959427720788762,0.49180646710414044,0.01940572620198256
CartPole-v1,kmeans_rbf_nlms,own_association,0.05293378583675393,0.2563752063550644,0.05348526424353699,-0.015215428989318935,9.992007221626409e-16
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,nan,nan,0.14019146281560846,0.009311576763639806,2.55351295663786e-15
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,0.15564518485910162,-0.09989495562369943,2.6645352591003757e-15
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,0.12263066262569859,0.13340815940500172,4.3298697960381105e-15
MountainCar-v0,kahkm_nlms,own_association,0.008046470286665067,0.9545173635810575,0.007526151352649568,0.9579844770374474,1.7763568394002505e-15
MountainCar-v0,kmeans_hard_nlms,own_association,0.4187352927363201,0.5756926474687664,0.42872730978025053,0.5631655078073783,2.220446049250313e-16
MountainCar-v0,kmeans_distance_nlms,own_association,0.2970778100183657,0.6516171951737195,0.31737649462317813,0.6208444476302656,0.03914578612913316
MountainCar-v0,kmeans_rbf_nlms,own_association,0.0012639987921416595,0.9950725994359758,0.0011978388888993123,0.995136538229209,3.485390764658899e-05
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,nan,nan,0.00015077166017548317,0.9991583015204744,3.3306690738754696e-15
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,0.00022348789776720432,0.9987523555585704,2.886579864025407e-15
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,0.00015591008530253746,0.9991296157275902,3.9968028886505635e-15
