task,n_clusters,omega,status,seconds,output_dir
CartPole-v1,10,2.0,ok,7.757205963134766,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C10_omega2p0
CartPole-v1,10,4.0,ok,7.155002117156982,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C10_omega4p0
CartPole-v1,10,8.0,ok,7.201714992523193,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C10_omega8p0
CartPole-v1,10,12.0,ok,6.960271120071411,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C10_omega12p0
CartPole-v1,15,2.0,ok,6.983033895492554,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C15_omega2p0
CartPole-v1,15,4.0,ok,6.988839864730835,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C15_omega4p0
CartPole-v1,15,8.0,ok,8.224398136138916,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C15_omega8p0
CartPole-v1,15,12.0,ok,8.33250880241394,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C15_omega12p0
CartPole-v1,20,2.0,ok,7.522788047790527,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C20_omega2p0
CartPole-v1,20,4.0,ok,8.290845155715942,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C20_omega4p0
CartPole-v1,20,8.0,ok,7.600964784622192,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C20_omega8p0
CartPole-v1,20,12.0,ok,7.240582704544067,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C20_omega12p0
CartPole-v1,30,2.0,ok,8.086223125457764,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C30_omega2p0
CartPole-v1,30,4.0,ok,8.145961046218872,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C30_omega4p0
CartPole-v1,30,8.0,ok,7.710456132888794,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C30_omega8p0
CartPole-v1,30,12.0,ok,7.627853631973267,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C30_omega12p0
CartPole-v1,50,2.0,ok,8.162679195404053,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C50_omega2p0
CartPole-v1,50,4.0,ok,8.403640031814575,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C50_omega4p0
CartPole-v1,50,8.0,ok,8.159316778182983,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C50_omega8p0
CartPole-v1,50,12.0,ok,8.096829891204834,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C50_omega12p0
CartPole-v1,80,2.0,ok,9.460094928741455,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C80_omega2p0
CartPole-v1,80,4.0,ok,9.661334991455078,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C80_omega4p0
CartPole-v1,80,8.0,ok,9.415892839431763,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C80_omega8p0
CartPole-v1,80,12.0,ok,9.385348081588745,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C80_omega12p0
CartPole-v1,100,2.0,ok,10.825879096984863,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega2p0
CartPole-v1,100,4.0,ok,10.731014966964722,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega4p0
CartPole-v1,100,8.0,ok,10.744384050369263,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega8p0
CartPole-v1,100,12.0,ok,10.809530258178711,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0
MountainCar-v0,10,2.0,ok,4.1793200969696045,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C10_omega2p0
MountainCar-v0,10,4.0,ok,4.270630836486816,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C10_omega4p0
MountainCar-v0,10,8.0,ok,4.17423415184021,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C10_omega8p0
MountainCar-v0,10,12.0,ok,4.184005975723267,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C10_omega12p0
MountainCar-v0,15,2.0,ok,4.479689121246338,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C15_omega2p0
MountainCar-v0,15,4.0,ok,4.207050800323486,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C15_omega4p0
MountainCar-v0,15,8.0,ok,4.240397930145264,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C15_omega8p0
MountainCar-v0,15,12.0,ok,4.209160327911377,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C15_omega12p0
MountainCar-v0,20,2.0,ok,4.218315839767456,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C20_omega2p0
MountainCar-v0,20,4.0,ok,4.189467906951904,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C20_omega4p0
MountainCar-v0,20,8.0,ok,4.212006092071533,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C20_omega8p0
MountainCar-v0,20,12.0,ok,5.131725072860718,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C20_omega12p0
MountainCar-v0,30,2.0,ok,4.489879131317139,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C30_omega2p0
MountainCar-v0,30,4.0,ok,4.385499000549316,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C30_omega4p0
MountainCar-v0,30,8.0,ok,4.363294839859009,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C30_omega8p0
MountainCar-v0,30,12.0,ok,4.362939357757568,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C30_omega12p0
MountainCar-v0,50,2.0,ok,4.608850955963135,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C50_omega2p0
MountainCar-v0,50,4.0,ok,4.646996021270752,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C50_omega4p0
MountainCar-v0,50,8.0,ok,4.7129740715026855,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C50_omega8p0
MountainCar-v0,50,12.0,ok,4.669090032577515,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C50_omega12p0
MountainCar-v0,80,2.0,ok,5.378300905227661,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C80_omega2p0
MountainCar-v0,80,4.0,ok,6.101376056671143,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C80_omega4p0
MountainCar-v0,80,8.0,ok,5.855668067932129,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C80_omega8p0
MountainCar-v0,80,12.0,ok,5.809344053268433,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C80_omega12p0
MountainCar-v0,100,2.0,ok,5.9494898319244385,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C100_omega2p0
MountainCar-v0,100,4.0,ok,6.008794784545898,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C100_omega4p0
MountainCar-v0,100,8.0,ok,5.936732053756714,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C100_omega8p0
MountainCar-v0,100,12.0,ok,5.990087985992432,/Users/mohit/Pythonprojects/Kernel_affine_hull_Koopman_machine/kahkm_experiment_16a_sensitivity_outputs/runs/MountainCar-v0_C100_omega12p0
