task,n_clusters,omega,method,metric_space,horizon,relative_error,association_r2,simplex_violation
CartPole-v1,10,2.0,kahkm_nlms,kahkm_association,1,0.1439349810014776,0.1520546264368282,0.008290596716448828
CartPole-v1,10,2.0,kahkm_nlms,kahkm_association,10,0.16228264863597924,0.040687155472946324,1.5543122344752192e-15
CartPole-v1,10,2.0,kahkm_nlms,kahkm_association,20,0.17436135796761798,-0.03226085140526891,2.6645352591003757e-15
CartPole-v1,10,2.0,kahkm_nlms,kahkm_association,5,0.1577794522594596,0.06875558509695612,1.1102230246251565e-15
CartPole-v1,10,2.0,kahkm_nlms,kahkm_association,50,0.1814170523575432,-0.08368092047323383,5.551115123125783e-15
CartPole-v1,10,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.1439199340088874,0.15214327082100865,4.440892098500626e-16
CartPole-v1,10,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.16228244373016193,0.04068836674712828,4.440892098500626e-16
CartPole-v1,10,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.17436182688004215,-0.03226362747872824,4.440892098500626e-16
CartPole-v1,10,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.15778074517275908,0.06874795407611112,4.440892098500626e-16
CartPole-v1,10,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.18141715327114083,-0.08368152327290956,4.440892098500626e-16
CartPole-v1,10,4.0,kahkm_nlms,kahkm_association,1,0.276499744656468,0.18006576692823284,0.05566882242407776
CartPole-v1,10,4.0,kahkm_nlms,kahkm_association,10,0.30850280179523426,0.08196205735696649,2.4424906541753444e-15
CartPole-v1,10,4.0,kahkm_nlms,kahkm_association,20,0.344951403472868,-0.024821203036410555,3.552713678800501e-15
CartPole-v1,10,4.0,kahkm_nlms,kahkm_association,5,0.29212895583733367,0.13142021045729624,0.013947333224150801
CartPole-v1,10,4.0,kahkm_nlms,kahkm_association,50,0.36583491205901325,-0.08794570505128818,5.551115123125783e-15
CartPole-v1,10,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.27355751568284564,0.18879067284091577,4.440892098500626e-16
CartPole-v1,10,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.30922059631556736,0.07982605534709031,4.440892098500626e-16
CartPole-v1,10,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.3453745571276613,-0.026078356459207752,4.440892098500626e-16
CartPole-v1,10,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.2913567866566862,0.13371608195861906,4.440892098500626e-16
CartPole-v1,10,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.36587280584045845,-0.0880583962554693,4.440892098500626e-16
CartPole-v1,10,8.0,kahkm_nlms,kahkm_association,1,0.45609055464556936,0.1370890700885241,0.23541024799694193
CartPole-v1,10,8.0,kahkm_nlms,kahkm_association,10,0.46319045502810113,0.12185698930419842,0.029975319828971902
CartPole-v1,10,8.0,kahkm_nlms,kahkm_association,20,0.526515998030484,0.0072727324214793,0.021838309593914147
CartPole-v1,10,8.0,kahkm_nlms,kahkm_association,5,0.4448737487768418,0.15630779971176012,0.05605996128645733
CartPole-v1,10,8.0,kahkm_nlms,kahkm_association,50,0.5914409412489936,-0.10394853782333935,0.006057687435294282
CartPole-v1,10,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.4407621343161541,0.16609002462661693,4.440892098500626e-16
CartPole-v1,10,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.4653453425245176,0.11777163008905855,5.551115123125783e-16
CartPole-v1,10,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.5290558945659228,0.0024838474550393785,4.440892098500626e-16
CartPole-v1,10,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.44165802222124084,0.16240634659316133,4.440892098500626e-16
CartPole-v1,10,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.5921003101397105,-0.10517927663769333,4.440892098500626e-16
