task,n_clusters,omega,method,train_error,train_r2,test_error,test_r2,simplex_violation
CartPole-v1,10,2.0,kahkm_nlms,0.1402572836955765,0.25554079592563717,0.1439349810014777,0.15205462643682766,0.008290596716448814
CartPole-v1,10,4.0,kahkm_nlms,0.2625891536980966,0.3017862187495468,0.27649974465646826,0.18006576692823184,0.05566882242407734
CartPole-v1,10,8.0,kahkm_nlms,0.43033161311249035,0.27373301610726464,0.4560905546455704,0.1370890700885219,0.23541024799694202
CartPole-v1,10,12.0,kahkm_nlms,0.5090273665858276,0.2726094256453534,0.5546648101497714,0.11905404998104552,0.2989531289186971
CartPole-v1,15,2.0,kahkm_nlms,0.13126724662905886,0.3435627326803061,0.13206572515638465,0.2587324963040999,0.008793763532926466
CartPole-v1,15,4.0,kahkm_nlms,0.2492425946348652,0.41604788720289865,0.269879018571024,0.2865657127805965,0.046774225915832926
CartPole-v1,15,8.0,kahkm_nlms,0.37381910120817896,0.44530533018330776,0.4367977474685883,0.2776688655782328,0.3352481361127205
CartPole-v1,15,12.0,kahkm_nlms,0.4511416241875424,0.415265327117019,0.5559022120802465,0.20747429766016023,0.4445161001718327
CartPole-v1,20,2.0,kahkm_nlms,0.14184957174427107,0.3381357302892477,0.14336540753022625,0.27434481253208853,0.005328043143690422
CartPole-v1,20,4.0,kahkm_nlms,0.25270530536651253,0.43714575684018764,0.27221333130738096,0.33628361953840336,0.05484450012291766
CartPole-v1,20,8.0,kahkm_nlms,0.34639346211341104,0.49792546415085537,0.3986724112451236,0.36745684033549775,0.38254534656320605
CartPole-v1,20,12.0,kahkm_nlms,0.4161095551289813,0.467853781305582,0.5135223003287473,0.2868365290468631,0.42565422975169387
CartPole-v1,30,2.0,kahkm_nlms,0.15096108332368027,0.287203643779511,0.15681471832055532,0.16793279971302388,0.001047786690050458
CartPole-v1,30,4.0,kahkm_nlms,0.2424898273890595,0.48096889319703406,0.2933844681930408,0.2892330434146191,0.026912136811691825
CartPole-v1,30,8.0,kahkm_nlms,0.26747168312663183,0.6386950388448841,0.390443139714253,0.42110567441150826,0.05282590241835085
CartPole-v1,30,12.0,kahkm_nlms,0.27915483170547556,0.6646300456041014,0.4246722972381409,0.45361464845797195,0.11911957379631719
CartPole-v1,50,2.0,kahkm_nlms,0.1570030535882691,0.2022982818270832,0.15595236150869352,0.13094725899863435,0.0029131695091197895
CartPole-v1,50,4.0,kahkm_nlms,0.25817347266393864,0.4567612886743606,0.29164961850065385,0.3181268978892632,0.02388223939795611
CartPole-v1,50,8.0,kahkm_nlms,0.2574731824355534,0.6604673738089766,0.3894562484625008,0.4431114274318414,0.055841766262283925
CartPole-v1,50,12.0,kahkm_nlms,0.2551483367843557,0.6982220983881853,0.41375275614801493,0.4781256474590483,0.08665407815322368
CartPole-v1,80,2.0,kahkm_nlms,0.15926214055396265,0.09492518706713027,0.15845883554548226,0.010744522713106663,0.008270823308424798
CartPole-v1,80,4.0,kahkm_nlms,0.27644636648987025,0.4094908480645155,0.30376315835681145,0.2806445444040535,0.02142584223482992
