method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.13206572515638465,0.2587324963040999,0.008793763532926458,CartPole-v1
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.13204588963810301,0.2588438304530908,5.551115123125783e-16,CartPole-v1
kmeans_hard_nlms,1,own_association,0.7976215242533397,0.04942530365687303,1.1102230246251565e-16,CartPole-v1
kmeans_distance_nlms,1,own_association,0.3918892587102931,0.21431531392572778,0.07096434162935196,CartPole-v1
kmeans_rbf_nlms,1,own_association,0.05019623365494786,0.24851167597599977,8.881784197001252e-16,CartPole-v1
state_dmd,1,kahkm_association_of_predicted_state,0.13975270117763086,0.21558651335135381,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,1,kahkm_association_of_predicted_state,0.14332089337499782,0.19555872097965898,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,1,kahkm_association_of_predicted_state,0.12292305095379481,0.3100491212287997,6.661338147750939e-16,CartPole-v1
kahkm_nlms,5,kahkm_association,0.15489390410286621,0.13089673590351536,2.886579864025407e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.1549030750093746,0.13084527832791004,5.551115123125783e-16,CartPole-v1
kmeans_hard_nlms,5,own_association,0.9396213678586981,-0.1200166774475957,5.551115123125783e-16,CartPole-v1
kmeans_distance_nlms,5,own_association,0.4155233289868753,0.1679446876835451,0.03383694061280136,CartPole-v1
kmeans_rbf_nlms,5,own_association,0.04873381361589079,0.2673652183927142,2.6645352591003757e-15,CartPole-v1
state_dmd,5,kahkm_association_of_predicted_state,0.17021673710531138,0.04492095619312453,5.551115123125783e-16,CartPole-v1
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.17156398745523677,0.037361590423005686,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.17086883805986497,0.04126204481500739,5.551115123125783e-16,CartPole-v1
kahkm_nlms,10,kahkm_association,0.1567286341191751,0.12099302301435988,4.3298697960381105e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.15672170733611576,0.12103187163108797,5.551115123125783e-16,CartPole-v1
kmeans_hard_nlms,10,own_association,1.0009188799618063,-0.19168404127557137,7.771561172376096e-16,CartPole-v1
kmeans_distance_nlms,10,own_association,0.45316959276247093,0.09270194013111932,0.030584777605007028,CartPole-v1
kmeans_rbf_nlms,10,own_association,0.048668119956962276,0.27193817664681763,5.329070518200751e-15,CartPole-v1
state_dmd,10,kahkm_association_of_predicted_state,0.1743828407880524,0.0219800320423994,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.17423142685561918,0.02282923170377371,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.17151466412245395,0.03806609898515989,4.440892098500626e-16,CartPole-v1
kahkm_nlms,20,kahkm_association,0.16847619685961152,0.056382455837741374,6.772360450213455e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.168482491473261,0.05634720036554952,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,20,own_association,1.0204195064079165,-0.21209421242984527,1.7763568394002505e-15,CartPole-v1
kmeans_distance_nlms,20,own_association,0.5144058973142326,-0.028242087299054308,3.774758283725532e-15,CartPole-v1
kmeans_rbf_nlms,20,own_association,0.049455525202713665,0.27192531006883036,1.0325074129013956e-14,CartPole-v1
state_dmd,20,kahkm_association_of_predicted_state,0.17304732440535817,0.030780048915152847,5.551115123125783e-16,CartPole-v1
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.173047017642622,0.030781767061129228,5.551115123125783e-16,CartPole-v1
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.17698940783078712,0.008700852268248016,5.551115123125783e-16,CartPole-v1
kahkm_nlms,50,kahkm_association,0.18267565874104918,-0.024060440917549775,1.176836406102666e-14,CartPole-v1
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.18267817679918263,-0.024074556885381515,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,50,own_association,1.0369373300666824,-0.22336310918286695,2.6645352591003757e-15,CartPole-v1
kmeans_distance_nlms,50,own_association,0.5592435656187322,-0.1490984338835306,5.662137425588298e-15,CartPole-v1
kmeans_rbf_nlms,50,own_association,0.0507160058121295,0.27346564473628343,1.9984014443252818e-14,CartPole-v1
state_dmd,50,kahkm_association_of_predicted_state,0.1689311992683765,0.052989546610951344,5.551115123125783e-16,CartPole-v1
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.16889088098956032,0.05321556662186078,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.17212419263956444,0.03508996315204804,4.440892098500626e-16,CartPole-v1
