task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
CartPole-v1,kahkm_nlms,kahkm_association,1,0.5135223003287476,0.0,0.28683652904686296,0.0,0.4256542297516934,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,10,0.7077282836120964,0.0,0.01861398560428784,0.0,0.26946426853511984,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,20,0.7993359295393074,0.0,-0.10381119495473135,0.0,0.24945567296112328,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,5,0.6515433032282821,0.0,0.09561855868980818,0.0,0.3846732931280484,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,50,0.9631075869675145,0.0,-0.3146182561717661,0.0,0.21139692602108046,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.4960889139262834,0.0,0.3110474627283979,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.7341531868802981,0.0,-0.018028651265918683,0.0,5.551115123125783e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.8307485059937948,0.0,-0.14718914441437647,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.6566937027064579,0.0,0.08846949326266518,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.9424202742055392,0.0,-0.286380581174668,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,1,0.4870002630545992,0.0,0.09781090171288964,0.0,0.06788466840982146,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,10,0.49172167975764947,0.0,0.09249998820087124,0.0,0.048503702050131874,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,20,0.5534938344620035,0.0,-0.01812864483435983,0.0,0.030994644455441162,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,5,0.46743878169170133,0.0,0.1361033924041144,0.0,0.05560899409162821,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,50,0.5945230901704421,0.0,-0.13495260815897048,0.0,8.215650382226158e-15,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,1,0.7778315912684072,0.0,0.08104005398179293,0.0,2.220446049250313e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,10,1.0614743158281308,0.0,-0.2521978127712694,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,20,1.0721891539040345,0.0,-0.26556273286803234,0.0,1.3322676295501878e-15,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,5,0.974492793318787,0.0,-0.1508438926575899,0.0,4.440892098500626e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,50,1.046434310840297,0.0,-0.23040857948738092,0.0,2.6645352591003757e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,1,0.048769600010270205,0.0,0.23646704041234234,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,10,0.046719990877047535,0.0,0.26924584190769607,0.0,2.4424906541753444e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,20,0.047416713353695905,0.0,0.2700639853225111,0.0,4.218847493575595e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,5,0.04701206297261879,0.0,0.26116805107380214,0.0,1.7763568394002505e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,50,0.04828592608964124,0.0,0.2767314904245066,0.0,8.881784197001252e-15,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,1,0.7532330628779028,0.0,-0.04606616930710894,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,10,0.9096699497926174,0.0,-0.261412588862749,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,20,0.9234844174722261,0.0,-0.27524911705093724,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,5,0.8356944173981642,0.0,-0.15999430576086637,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,50,0.9108433648239134,0.0,-0.24327887363099476,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,1,0.7247371139736288,0.0,-0.006491899960548109,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,10,0.9087671102953557,0.0,-0.2601606478616989,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,20,0.9208131340799922,0.0,-0.2715603143782688,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,5,0.8486231577047351,0.0,-0.1779401778692089,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,50,0.9076601592275565,0.0,-0.23893387599340477,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,1,0.6049309229643283,0.0,0.15989113533737231,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,10,0.9265831150370086,0.0,-0.28486557811632895,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,20,0.9087545452338532,0.0,-0.25490848518876175,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,5,0.8815239673571811,0.0,-0.22360848802805977,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,50,0.9221556876036336,0.0,-0.25871991702756136,0.0,6.661338147750939e-16,0.0,1
