task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
MountainCar-v0,kahkm_nlms,kahkm_association,1,0.010328986761829431,0.0,0.9821955915340562,0.0,0.029125823100105863,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,10,0.4051859525723913,0.0,0.32113624752680614,0.0,0.035713092257264704,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,20,0.7919725672517989,0.0,-0.2869026028850403,0.0,0.03457898980946134,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,5,0.1517824062617829,0.0,0.7416620719793483,0.0,0.05815243277261199,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,50,2.465363900109666,0.0,-2.9162353618256027,0.0,0.8758780992676797,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.01018652934720125,0.0,0.9824411499859671,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.4064662642136875,0.0,0.31899116535002425,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.7938556950480263,0.0,-0.2899625599627704,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.15177101320788117,0.0,0.741681463277795,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,2.4053041667789485,0.0,-2.820830358336621,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,1,0.0909903339839184,0.0,0.8717028685302075,0.0,0.013435845760870303,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,10,0.622711832130124,0.0,0.13489013204472466,0.0,0.017077572976001116,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,20,0.8217205716490887,0.0,-0.1354601778109048,0.0,0.030991326306553213,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,5,0.41788741226111226,0.0,0.41444720253076617,0.0,0.007031157217680831,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,50,0.9147566637143256,0.0,-0.27497061627736685,0.0,1.3100631690576847e-14,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,1,0.37712311560920525,0.0,0.5885912582733028,0.0,2.220446049250313e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,10,0.9061681506320846,0.0,0.01723787843990099,0.0,1.2212453270876722e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,20,1.0145388413127072,0.0,-0.08709607381995288,0.0,1.6653345369377348e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,5,0.7863950988618683,0.0,0.1437666165720386,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,50,1.3227275523941229,0.0,-0.41146191783479114,0.0,2.9976021664879227e-15,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,1,0.0008081387050303477,0.0,0.9957941162317041,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,10,0.08977138029722319,0.0,0.55883525730822,0.0,0.0015717381911628833,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,20,0.35283320505832394,0.0,-0.6226397198851767,0.0,7.549516567451064e-15,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,5,0.02142599518284225,0.0,0.8912495249049881,0.0,0.0006969080269180089,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,50,2.947496973625382,0.0,-10.376062416252406,0.0,0.060674707237090474,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,1,4.1752672376400884e-05,0.0,0.9999280295685651,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,10,0.032959203106662276,0.0,0.9447789140826214,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,20,0.12917102127888114,0.0,0.7901057052039785,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,5,0.004749996280846338,0.0,0.991915372621098,0.0,5.551115123125783e-16,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,50,0.5619631117266187,0.0,0.10732050141261507,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,1,3.358239317430866e-05,0.0,0.9999421129430092,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,10,0.025020437486334337,0.0,0.9580798199625165,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,20,0.1683358972843538,0.0,0.7264653937118658,0.0,5.551115123125783e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,5,0.003349864699452909,0.0,0.9942984359853038,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,50,0.521302546779057,0.0,0.17190988810411512,0.0,5.551115123125783e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,1,2.2361587151884616e-05,0.0,0.9999614546091713,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,10,0.016549609773717205,0.0,0.9722721626413111,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,20,0.10556145431057708,0.0,0.8284696769384176,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,5,0.001831350794012647,0.0,0.9968829893974126,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,50,0.8315515162489179,0.0,-0.3209212047636656,0.0,8.881784197001252e-16,0.0,1
