method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.006155724937856931,0.9626963145290538,1.9984014443252818e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.0061557249378569314,0.9626963145290538,8.881784197001252e-16,MountainCar-v0
kmeans_hard_nlms,1,own_association,0.4184903568461655,0.5704794852108203,2.220446049250313e-16,MountainCar-v0
kmeans_distance_nlms,1,own_association,0.2511108448833941,0.6903296572926363,0.012298231337938021,MountainCar-v0
kmeans_rbf_nlms,1,own_association,0.0010271185359715146,0.9955112721201568,1.1102230246251565e-15,MountainCar-v0
state_dmd,1,kahkm_association_of_predicted_state,0.00011318404019305644,0.9993141048571345,2.220446049250313e-15,MountainCar-v0
state_edmd_poly2,1,kahkm_association_of_predicted_state,0.00011183973151413555,0.9993222513660575,2.220446049250313e-15,MountainCar-v0
state_edmd_poly3,1,kahkm_association_of_predicted_state,0.00011933631603721511,0.9992768220731669,2.3314683517128287e-15,MountainCar-v0
kahkm_nlms,5,kahkm_association,0.05463451529785701,0.6751318807063396,1.2768008911878592e-05,MountainCar-v0
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.0546345115071467,0.6751319032466865,8.881784197001252e-16,MountainCar-v0
kmeans_hard_nlms,5,own_association,0.7743886187901173,0.20541437939642448,7.771561172376096e-16,MountainCar-v0
kmeans_distance_nlms,5,own_association,0.5355373272970877,0.34020456054877446,0.08898987461545856,MountainCar-v0
kmeans_rbf_nlms,5,own_association,0.027001437518683696,0.8847449590882847,0.00035476871622179464,MountainCar-v0
state_dmd,5,kahkm_association_of_predicted_state,0.002080904476282436,0.9876265119228366,2.220446049250313e-15,MountainCar-v0
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.0020512561205151617,0.9878028071736639,2.4424906541753444e-15,MountainCar-v0
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.0011874512308707014,0.9929391695703204,2.6645352591003757e-15,MountainCar-v0
kahkm_nlms,10,kahkm_association,0.12612856685498355,0.26734481688504796,0.001171487128695858,MountainCar-v0
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.12612472246410308,0.26736714816950424,8.881784197001252e-16,MountainCar-v0
kmeans_hard_nlms,10,own_association,0.89461082482352,0.08193477609802302,1.3322676295501878e-15,MountainCar-v0
kmeans_distance_nlms,10,own_association,0.6736314716102176,0.1728990576304702,0.11757032610040044,MountainCar-v0
kmeans_rbf_nlms,10,own_association,0.11161154476562254,0.5377510942340433,0.0009675349606887611,MountainCar-v0
state_dmd,10,kahkm_association_of_predicted_state,0.009248201637102374,0.9462790783018596,2.3314683517128287e-15,MountainCar-v0
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.008477479304385865,0.9507560475237206,2.7755575615628914e-15,MountainCar-v0
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.006570723787644339,0.9618320023776269,2.6645352591003757e-15,MountainCar-v0
kahkm_nlms,20,kahkm_association,0.24722366289453154,-0.38154361840571527,5.329070518200751e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.24722366289453154,-0.38154361840571527,8.881784197001252e-16,MountainCar-v0
kmeans_hard_nlms,20,own_association,0.9577544037572401,0.01807738628760336,1.9984014443252818e-15,MountainCar-v0
kmeans_distance_nlms,20,own_association,0.786402206469095,0.0436480019378247,0.08459171586609701,MountainCar-v0
kmeans_rbf_nlms,20,own_association,0.42820021792165347,-0.6686117919676213,0.0025532965707242773,MountainCar-v0
state_dmd,20,kahkm_association_of_predicted_state,0.030863683621005257,0.8275265213375496,2.4424906541753444e-15,MountainCar-v0
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.03925986119564105,0.7806067183889629,2.4424906541753444e-15,MountainCar-v0
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.026112601575570688,0.8540766784039964,2.4424906541753444e-15,MountainCar-v0
kahkm_nlms,50,kahkm_association,0.43670904637736396,-1.4435217795603128,0.0019102434512505808,MountainCar-v0
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.4365191035152078,-1.4424589906751253,6.661338147750939e-16,MountainCar-v0
kmeans_hard_nlms,50,own_association,0.9848354838571723,-0.005270103953626926,3.552713678800501e-15,MountainCar-v0
kmeans_distance_nlms,50,own_association,0.8607246407419182,-0.03786104185573835,0.013593701993746958,MountainCar-v0
kmeans_rbf_nlms,50,own_association,2.551012082237101,-7.566395519145262,0.012695680903515607,MountainCar-v0
state_dmd,50,kahkm_association_of_predicted_state,0.17960562305431474,-0.004948844786435647,2.220446049250313e-15,MountainCar-v0
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.15548251146227968,0.13002740325530138,2.1094237467877974e-15,MountainCar-v0
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.3603089588989358,-1.016039731129065,3.885780586188048e-15,MountainCar-v0
