task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,state2_mean,state2_std,state3_mean,state3_std,action_0_rate,action_1_rate,action_2_rate
CartPole-v1,0,2,0.002,0.022262865992128393,1.0,0.0,0.0,0.0,0.0,0.9394668434648896,0.23346411436796188,0.0012307539582252502,0.1593223512172699,0.00044783949851989746,-0.02953546028584242,0.0008193450048565865,-0.11039005219936371,0.009880505502223969,1.0,0.0,
CartPole-v1,1,24,0.024,0.02247440505591064,1.0,0.0,0.0,0.0,0.0,0.8961436727321592,0.05140761355869472,0.014446467994801765,-0.15362654502193132,0.0021131924202922136,-0.005451119703745159,0.007049538365696287,0.28689910595615703,0.016858077488785456,0.08333333333333333,0.9166666666666666,
CartPole-v1,2,0,0.0,nan,nan,nan,nan,nan,0.0,0.9249873842308296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,3,37,0.037,0.024029985447730662,1.0,0.0,0.0,0.0,0.0,0.9153382494382928,0.11445781729511313,0.012915801157850673,0.2388000846714587,0.002237543106787541,0.0034970041387832433,0.0048695848450266005,-0.31893950539666255,0.009586916349340781,0.972972972972973,0.02702702702702703,
CartPole-v1,4,0,0.0,nan,nan,nan,nan,nan,0.0,0.9831387676425555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,5,57,0.057,0.02268794887095992,1.0,0.0,0.0,0.0,0.0,0.9288000861424023,0.10190110300716601,0.009925916399037053,0.0433315503361978,0.0020712573439182597,0.00038284659528966457,0.004170795377017856,-0.022216926606600743,0.0029474583251892293,0.543859649122807,0.45614035087719296,
CartPole-v1,6,0,0.0,nan,nan,nan,nan,nan,0.0,0.9497621263833176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,7,16,0.016,0.0274816032231872,1.0,0.0,0.0,0.0,0.0,0.9164579614216464,-0.4739879500120878,0.01700642648845156,-0.17109405249357224,0.00017589805456699566,-0.00046139909318299033,0.0034672530213345244,0.1083645448088646,0.003880326802363418,0.125,0.875,
CartPole-v1,8,12,0.012,0.02415358136941484,1.0,0.0,0.0,0.0,0.0,0.9474519558331862,-0.22817529862125716,0.017901751815077627,0.024782456768055756,0.00019845614670569483,0.0034448532824171707,0.002558428663964825,-0.20096862316131592,0.004379284335356058,1.0,0.0,
CartPole-v1,9,0,0.0,nan,nan,nan,nan,nan,0.0,0.9251056233236362,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,10,28,0.028,0.02188621850108437,1.0,0.0,0.0,0.0,0.0,0.9288586788484888,0.021709092909337153,0.044202777140369735,0.15700699814728328,0.0013583366896233338,0.0007883463778333473,0.01406265130528252,-0.05927572485857776,0.02996757875199328,0.4642857142857143,0.5357142857142857,
CartPole-v1,11,23,0.023,0.023296728525063367,1.0,0.0,0.0,0.0,0.0,0.9112918492109358,-0.027356116809760748,0.015417252965729265,0.1668132634266563,0.0006390631459318825,0.0018276411180483158,0.005626239162769265,-0.2755678205386452,0.014104290235697724,0.9565217391304348,0.043478260869565216,
CartPole-v1,12,15,0.015,0.022965683501932323,1.0,0.0,0.0,0.0,0.0,0.9269803740214,-0.17050859630107879,0.025662888246525153,-0.17064382235209147,0.000955817967096283,-0.00444030649960041,0.007340496782152098,0.09843386113643646,0.021087460075576124,0.3333333333333333,0.6666666666666666,
CartPole-v1,13,3,0.003,0.02492403952089169,1.0,0.0,0.0,0.0,0.0,0.9312832076559381,0.12921766253809133,0.11306511929776278,0.35234302282333374,0.001645159251389219,-0.0039152764560033875,0.013367316568573612,-0.3567064305146535,0.036304351064393954,1.0,0.0,
CartPole-v1,14,0,0.0,nan,nan,nan,nan,nan,0.0,0.9805856801591055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,15,15,0.015,0.02728448663663147,1.0,0.0,0.0,0.0,0.0,0.9482157002193388,-0.4787134369214376,0.018599540314297346,0.024023546651005746,0.0001530394183050484,0.0026804911632401247,0.003044936595768223,-0.1842244138320287,0.003377780239224204,1.0,0.0,
CartPole-v1,16,1,0.001,0.02738073529724611,1.0,0.0,0.0,0.0,0.0,0.9503324784590468,-0.3359573483467102,0.0,-0.36536744236946106,0.0,-0.0015744606498628855,0.0,0.3823312819004059,0.0,0.0,1.0,
