method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega,effective_subspace_dim
kahkm_nlms,1,0.0660151684502935,0.8131013258632495,0.0027956962869861053,1079,Acrobot-v1,5,2.0,6
kahkm_nlms,5,0.16995006332590898,0.5235121204072724,1.5543122344752192e-15,1055,Acrobot-v1,5,2.0,6
kahkm_nlms,10,0.25531547634106816,0.29240336510816733,1.9984014443252818e-15,1025,Acrobot-v1,5,2.0,6
kahkm_nlms,20,0.35925006979799984,0.025996963009848884,2.6645352591003757e-15,965,Acrobot-v1,5,2.0,6
kahkm_nlms,50,0.4364695436379379,-0.14362121276506978,5.10702591327572e-15,785,Acrobot-v1,5,2.0,6
kahkm_nlms,1,0.15048341271587415,0.7074597975573651,0.06591167002852702,1079,Acrobot-v1,5,4.0,6
kahkm_nlms,5,0.34717367311751773,0.33405634566727693,0.03954147553890254,1055,Acrobot-v1,5,4.0,6
kahkm_nlms,10,0.4724966450013314,0.10844937073209204,4.884981308350689e-15,1025,Acrobot-v1,5,4.0,6
kahkm_nlms,20,0.575027531973029,-0.050941832752811056,5.995204332975845e-15,965,Acrobot-v1,5,4.0,6
kahkm_nlms,50,0.6699797721407751,-0.1410061043906614,8.215650382226158e-15,785,Acrobot-v1,5,4.0,6
kahkm_nlms,1,0.21715022983551682,0.6266543834488199,0.06266772404212216,1079,Acrobot-v1,5,6.0,6
kahkm_nlms,5,0.4420222492636555,0.24992895993120112,0.04091782445218636,1055,Acrobot-v1,5,6.0,6
kahkm_nlms,10,0.563662051909572,0.05885823453926986,3.219646771412954e-15,1025,Acrobot-v1,5,6.0,6
kahkm_nlms,20,0.6571659321675937,-0.06349784843553818,5.10702591327572e-15,965,Acrobot-v1,5,6.0,6
kahkm_nlms,50,0.7588771812556192,-0.14401915129387977,9.880984919163893e-15,785,Acrobot-v1,5,6.0,6
kahkm_nlms,1,0.261020855419091,0.576230939621943,0.05104677181305089,1079,Acrobot-v1,5,8.0,6
kahkm_nlms,5,0.4907638838134662,0.21316452551877252,0.03843152420611018,1055,Acrobot-v1,5,8.0,6
kahkm_nlms,10,0.6062476311416711,0.04290091940966878,3.9968028886505635e-15,1025,Acrobot-v1,5,8.0,6
kahkm_nlms,20,0.6945387555881861,-0.06435901377045616,3.9968028886505635e-15,965,Acrobot-v1,5,8.0,6
kahkm_nlms,50,0.7969881901680893,-0.1428019952834112,3.9968028886505635e-15,785,Acrobot-v1,5,8.0,6
kahkm_nlms,1,0.289575559017935,0.5443607097396665,0.0412832562372215,1079,Acrobot-v1,5,10.0,6
kahkm_nlms,5,0.5179588219734013,0.19481488577684136,0.03652540224759612,1055,Acrobot-v1,5,10.0,6
kahkm_nlms,10,0.6288038441512083,0.03695370925731012,2.3314683517128287e-15,1025,Acrobot-v1,5,10.0,6
kahkm_nlms,20,0.7136628017846381,-0.062187325357922374,3.1086244689504383e-15,965,Acrobot-v1,5,10.0,6
kahkm_nlms,50,0.8157744503047759,-0.1401379281587667,4.9960036108132044e-15,785,Acrobot-v1,5,10.0,6
kahkm_nlms,1,0.30902894370695067,0.5229819933781354,0.03369691073169126,1079,Acrobot-v1,5,12.0,6
kahkm_nlms,5,0.5348005681261656,0.1841782736705344,0.03521620880899515,1055,Acrobot-v1,5,12.0,6
kahkm_nlms,10,0.6422534334950303,0.03438494150792848,3.552713678800501e-15,1025,Acrobot-v1,5,12.0,6
kahkm_nlms,20,0.7247230672782821,-0.05970556430865437,4.6629367034256575e-15,965,Acrobot-v1,5,12.0,6
kahkm_nlms,50,0.8264885918462981,-0.13768301677001382,6.661338147750939e-15,785,Acrobot-v1,5,12.0,6
kahkm_nlms,1,0.07745623091842732,0.8066561714306395,0.008701951107897593,1079,Acrobot-v1,10,2.0,6
kahkm_nlms,5,0.21477888446067187,0.4680187293303859,1.7763568394002505e-15,1055,Acrobot-v1,10,2.0,6
kahkm_nlms,10,0.2562615352920926,0.37089016085696924,2.6645352591003757e-15,1025,Acrobot-v1,10,2.0,6
kahkm_nlms,20,0.3347226961750933,0.18743717108501468,4.218847493575595e-15,965,Acrobot-v1,10,2.0,6
kahkm_nlms,50,0.46193257603217275,-0.11178925874150814,7.771561172376096e-15,785,Acrobot-v1,10,2.0,6
kahkm_nlms,1,0.2048842650127963,0.6849699716854598,0.014499611482155013,1079,Acrobot-v1,10,4.0,6
kahkm_nlms,5,0.4646788123363519,0.2920471810110401,0.0056839166350051915,1055,Acrobot-v1,10,4.0,6
kahkm_nlms,10,0.5401210739574887,0.18563162907816744,7.549516567451064e-15,1025,Acrobot-v1,10,4.0,6
kahkm_nlms,20,0.645123758571858,0.04124787400468932,9.992007221626409e-15,965,Acrobot-v1,10,4.0,6
kahkm_nlms,50,0.7786467321472069,-0.1325175114632906,1.2212453270876722e-14,785,Acrobot-v1,10,4.0,6
kahkm_nlms,1,0.29058334101048006,0.6111556052490724,0.02106230169150997,1079,Acrobot-v1,10,6.0,6
kahkm_nlms,5,0.5839730555741716,0.2242451769307512,0.00980919175740651,1055,Acrobot-v1,10,6.0,6
kahkm_nlms,10,0.6685917422588699,0.11914371486331843,0.0045765651013672986,1025,Acrobot-v1,10,6.0,6
kahkm_nlms,20,0.766797786708028,0.001218241771695494,6.439293542825908e-15,965,Acrobot-v1,10,6.0,6
kahkm_nlms,50,0.875015623921954,-0.12413706068198183,1.0658141036401503e-14,785,Acrobot-v1,10,6.0,6
kahkm_nlms,1,0.34110440567658645,0.5674306786884079,0.021261545484954427,1079,Acrobot-v1,10,8.0,6
kahkm_nlms,5,0.6374857272882185,0.1964485313562736,0.009422214281515205,1055,Acrobot-v1,10,8.0,6
kahkm_nlms,10,0.7235535788330106,0.09415740077833079,0.006742176387160705,1025,Acrobot-v1,10,8.0,6
kahkm_nlms,20,0.8160129075228588,-0.012151793573813352,3.774758283725532e-15,965,Acrobot-v1,10,8.0,6
kahkm_nlms,50,0.9096360558366856,-0.11962561416329187,4.440892098500626e-15,785,Acrobot-v1,10,8.0,6
kahkm_nlms,1,0.37331665162834776,0.53864382965426,0.020998576046460982,1079,Acrobot-v1,10,10.0,6
kahkm_nlms,5,0.6645312975723549,0.1830879125606154,0.007761503511014645,1055,Acrobot-v1,10,10.0,6
kahkm_nlms,10,0.74980517396759,0.08374964357051673,0.006330495285025949,1025,Acrobot-v1,10,10.0,6
kahkm_nlms,20,0.839499959611038,-0.017615665153188242,3.1086244689504383e-15,965,Acrobot-v1,10,10.0,6
kahkm_nlms,50,0.9258457437726282,-0.11757990709959465,3.9968028886505635e-15,785,Acrobot-v1,10,10.0,6
kahkm_nlms,1,0.3957278543734934,0.518002036458693,0.02088772531780124,1079,Acrobot-v1,10,12.0,6
kahkm_nlms,5,0.6802057635658809,0.17548619899302142,0.0060900298700752795,1055,Acrobot-v1,10,12.0,6
kahkm_nlms,10,0.764232819466487,0.0786646476342231,0.005428927769835302,1025,Acrobot-v1,10,12.0,6
kahkm_nlms,20,0.852444455234989,-0.020174689068593876,4.9960036108132044e-15,965,Acrobot-v1,10,12.0,6
kahkm_nlms,50,0.9348829007640299,-0.11641793272067158,9.658940314238862e-15,785,Acrobot-v1,10,12.0,6
kahkm_nlms,1,0.09309961023075926,0.7860383608775703,0.0008386828812707999,1079,Acrobot-v1,25,2.0,6
kahkm_nlms,5,0.20578853930532737,0.5297660827625661,0.0027837295322124572,1055,Acrobot-v1,25,2.0,6
