task,n_clusters,omega,state_dim,requested_subspace_dim,effective_subspace_dim,train_transitions,test_transitions,train_closure_error,train_r2,test_one_step_error,test_one_step_r2,test_simplex_violation,fit_seconds
Acrobot-v1,5,2.0,6,20,6,1730,1079,0.057376654992425294,0.8106930312401581,0.0660151684502935,0.8131013258632495,0.0027956962869861088,0.9674708843231201
Acrobot-v1,5,4.0,6,20,6,1730,1079,0.12394150218060175,0.7157828506168247,0.15048341271587415,0.7074597975573651,0.06591167002852702,0.8969449996948242
Acrobot-v1,5,6.0,6,20,6,1730,1079,0.17601531044843088,0.6475090814195646,0.21715022983551682,0.6266543834488199,0.06266772404212217,0.8972070217132568
Acrobot-v1,5,8.0,6,20,6,1730,1079,0.21073326631506623,0.6064429944051801,0.261020855419091,0.576230939621943,0.05104677181305089,0.8984477519989014
Acrobot-v1,5,10.0,6,20,6,1730,1079,0.23358215245109368,0.5809262112069716,0.289575559017935,0.5443607097396668,0.04128325623722149,0.8978118896484375
Acrobot-v1,5,12.0,6,20,6,1730,1079,0.24918897496301742,0.5639600727520289,0.30902894370695067,0.5229819933781354,0.03369691073169126,0.8996100425720215
Acrobot-v1,10,2.0,6,20,6,1730,1079,0.07899150155213813,0.7902390272656756,0.07745623091842732,0.8066561714306395,0.008701951107897591,0.9062626361846924
Acrobot-v1,10,4.0,6,20,6,1730,1079,0.193930730440369,0.6837264457995171,0.2048842650127963,0.6849699716854598,0.014499611482155013,0.9062211513519287
Acrobot-v1,10,6.0,6,20,6,1730,1079,0.2685511980953273,0.6226278977540711,0.29058334101048006,0.6111556052490723,0.02106230169150997,0.9061570167541504
Acrobot-v1,10,8.0,6,20,6,1730,1079,0.31315523829213676,0.5857941403863556,0.34110440567658645,0.567430678688408,0.021261545484954427,0.9050908088684082
Acrobot-v1,10,10.0,6,20,6,1730,1079,0.34182842766628135,0.5611437773402581,0.37331665162834776,0.53864382965426,0.020998576046460986,0.9102449417114258
Acrobot-v1,10,12.0,6,20,6,1730,1079,0.36168789167122767,0.543409160735298,0.39572785437349345,0.518002036458693,0.020887725317801236,0.912229061126709
Acrobot-v1,25,2.0,6,20,6,1730,1079,0.09242672061420633,0.7859068570285496,0.09309961023075926,0.7860383608775704,0.0008386828812707995,0.901608943939209
Acrobot-v1,25,4.0,6,20,6,1730,1079,0.25935653818038656,0.6499968793776666,0.2776554592886655,0.6291896050973622,0.02369974958553252,0.9070770740509033
Acrobot-v1,25,6.0,6,20,6,1730,1079,0.3747553723059704,0.5575567644579306,0.40927089604343697,0.5205096459060425,0.03252809691284721,0.9033129215240479
Acrobot-v1,25,8.0,6,20,6,1730,1079,0.4384821138249324,0.504747107480318,0.4785330824364189,0.4620403750061943,0.04215888151044545,0.8975989818572998
Acrobot-v1,25,10.0,6,20,6,1730,1079,0.47583042130583836,0.4724748523486969,0.5185673015003017,0.426851018213082,0.05225871265471168,0.9039509296417236
Acrobot-v1,25,12.0,6,20,6,1730,1079,0.49981766966172086,0.45103742662776847,0.5443542269618988,0.4035029440156762,0.054892650441873365,0.902087926864624
Acrobot-v1,50,2.0,6,20,6,1730,1079,0.10129541608133835,0.7839248604797463,0.10381130329109203,0.7702882102208974,0.0010055769648698747,0.9589390754699707
Acrobot-v1,50,4.0,6,20,6,1730,1079,0.24514658688284052,0.6989228043319835,0.25796821141792575,0.6790143850610321,0.042158718539830296,0.963874101638794
Acrobot-v1,50,6.0,6,20,6,1730,1079,0.3730239056162293,0.5887825599818233,0.39923972581932726,0.5570459120023388,0.07220612755274947,0.9590260982513428
Acrobot-v1,50,8.0,6,20,6,1730,1079,0.44882645529731474,0.5204277441581093,0.476858760425576,0.48734296623313333,0.06295528997471478,0.9586780071258545
Acrobot-v1,50,10.0,6,20,6,1730,1079,0.4932774744347606,0.47926292076436305,0.5222935093968986,0.44522247835879736,0.051166587811693025,0.9572329521179199
Acrobot-v1,50,12.0,6,20,6,1730,1079,0.5213845526668213,0.4527600866856908,0.5517439781890356,0.4173868063603269,0.044175223062241344,0.9654848575592041
Acrobot-v1,75,2.0,6,20,6,1730,1079,0.12686726455907876,0.7331091243280214,0.13392799647647616,0.7073259847275724,0.002953819353407711,1.0976271629333496
Acrobot-v1,75,4.0,6,20,6,1730,1079,0.26456415742319905,0.6866267590083528,0.28079221730056514,0.6623192266567796,0.034449849993124795,1.0944030284881592
Acrobot-v1,75,6.0,6,20,6,1730,1079,0.3933133118540377,0.578398559970321,0.4277123472007137,0.5384118479578035,0.09054268818722723,1.0910639762878418
Acrobot-v1,75,8.0,6,20,6,1730,1079,0.4695393752716849,0.5093794188040124,0.5071712325053688,0.4673265073660634,0.1176608851390928,1.0996887683868408
Acrobot-v1,75,10.0,6,20,6,1730,1079,0.5146295807341601,0.46717723089486807,0.5542194410572661,0.4235963390376093,0.11071151976412506,1.12056303024292
Acrobot-v1,75,12.0,6,20,6,1730,1079,0.5438057404563122,0.43933929748326694,0.5862803110976663,0.393088819909421,0.09101516577946227,1.093937873840332
Acrobot-v1,100,2.0,6,20,6,1730,1079,0.14112139267315038,0.703291088117054,0.14376033044665248,0.6842903962319486,0.000730015711873188,1.355402946472168
Acrobot-v1,100,4.0,6,20,6,1730,1079,0.28445861523891336,0.6695543939442792,0.29750854471560184,0.6473570111728086,0.05861223495990521,1.3560988903045654
Acrobot-v1,100,6.0,6,20,6,1730,1079,0.40171866740323614,0.5756196541375257,0.44704355617834945,0.5232318163550267,0.10374730696924853,1.3537249565124512
Acrobot-v1,100,8.0,6,20,6,1730,1079,0.4783707188868053,0.5055265968389975,0.5313029063391778,0.4469565309662018,0.12445630885206883,1.35257887840271
Acrobot-v1,100,10.0,6,20,6,1730,1079,0.5238144485672647,0.46247645244077873,0.578897344536027,0.4024254284965446,0.11864234414228486,1.3539772033691406
Acrobot-v1,100,12.0,6,20,6,1730,1079,0.5531895489375546,0.4341485216789671,0.6105800096071348,0.37217191881991984,0.09689100083318031,1.3600380420684814
