method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega
kahkm_nlms,1,0.10381130329109205,0.7702882102208974,0.001005576964869876,1079,Acrobot-v1,50,2.0
kahkm_nlms,5,0.18744398292110778,0.5856139775139146,0.019360060689787125,1055,Acrobot-v1,50,2.0
kahkm_nlms,10,0.24114696784167006,0.46614088690505584,0.006357162662460548,1025,Acrobot-v1,50,2.0
kahkm_nlms,20,0.27925330144472515,0.3759774182277006,0.004105352943883638,965,Acrobot-v1,50,2.0
kahkm_nlms,50,0.3359878976932059,0.20205197507342343,1.2878587085651816e-14,785,Acrobot-v1,50,2.0
kahkm_nlms_simplex_project_each_step,1,0.10381109334366156,0.7702886747888057,8.881784197001252e-16,1079,Acrobot-v1,50,2.0
kahkm_nlms_simplex_project_each_step,5,0.18727493449931618,0.5859876961151846,8.881784197001252e-16,1055,Acrobot-v1,50,2.0
kahkm_nlms_simplex_project_each_step,10,0.2404739555881455,0.4676308236352764,8.881784197001252e-16,1025,Acrobot-v1,50,2.0
kahkm_nlms_simplex_project_each_step,20,0.27919887990657305,0.3760990292115851,1.1102230246251565e-15,965,Acrobot-v1,50,2.0
kahkm_nlms_simplex_project_each_step,50,0.33592343012971737,0.20220508107905832,8.881784197001252e-16,785,Acrobot-v1,50,2.0
kmeans_hard_nlms,1,0.7343197905114203,0.24012997382902546,2.220446049250313e-16,1079,Acrobot-v1,50,2.0
kmeans_hard_nlms,5,0.8861863226572694,0.08396544834066055,8.881784197001252e-16,1055,Acrobot-v1,50,2.0
kmeans_hard_nlms,10,0.9098735823226984,0.060071057463609745,1.2212453270876722e-15,1025,Acrobot-v1,50,2.0
kmeans_hard_nlms,20,0.9289357434031779,0.04068575763790694,1.7763568394002505e-15,965,Acrobot-v1,50,2.0
kmeans_hard_nlms,50,0.9553214753042478,0.006455540389726289,3.6637359812630166e-15,785,Acrobot-v1,50,2.0
kmeans_distance_nlms,1,0.17047608009631995,0.6243829932790566,0.004492906943120295,1079,Acrobot-v1,50,2.0
kmeans_distance_nlms,5,0.24316301848721333,0.4643446178985201,0.03573289376625421,1055,Acrobot-v1,50,2.0
kmeans_distance_nlms,10,0.2562946504465878,0.4356266371059002,0.0320943223921057,1025,Acrobot-v1,50,2.0
kmeans_distance_nlms,20,0.2845027345320544,0.3702876958456993,1.84297022087776e-14,965,Acrobot-v1,50,2.0
kmeans_distance_nlms,50,0.37855738544787454,0.16982938671432102,3.730349362740526e-14,785,Acrobot-v1,50,2.0
kmeans_rbf_nlms,1,0.040368838274300996,0.7727261713034579,0.004361354481507721,1079,Acrobot-v1,50,2.0
kmeans_rbf_nlms,5,0.056676910249133114,0.6858831874212579,0.008066851626700563,1055,Acrobot-v1,50,2.0
kmeans_rbf_nlms,10,0.06791762247648972,0.6310527560478432,0.0051473240074015915,1025,Acrobot-v1,50,2.0
kmeans_rbf_nlms,20,0.08880785149558032,0.5366740942437851,0.0026177203414695506,965,Acrobot-v1,50,2.0
kmeans_rbf_nlms,50,0.15512147499408102,0.28758475867939126,0.0021705711606087217,785,Acrobot-v1,50,2.0
state_dmd,1,0.26263214366363735,0.41885230353645553,6.661338147750939e-16,1079,Acrobot-v1,50,2.0
state_dmd,5,0.5443841993524102,-0.2034806322316718,6.661338147750939e-16,1055,Acrobot-v1,50,2.0
state_dmd,10,0.6304264567447311,-0.3956588883601677,7.771561172376096e-16,1025,Acrobot-v1,50,2.0
state_dmd,20,0.624390543062868,-0.3952701604619071,6.661338147750939e-16,965,Acrobot-v1,50,2.0
state_dmd,50,0.7702802692709053,-0.8293623780040673,6.661338147750939e-16,785,Acrobot-v1,50,2.0
state_edmd_poly2,1,0.2169803140329283,0.5198698532512052,6.661338147750939e-16,1079,Acrobot-v1,50,2.0
state_edmd_poly2,5,0.415754214961327,0.08088415117512571,6.661338147750939e-16,1055,Acrobot-v1,50,2.0
state_edmd_poly2,10,0.603108327312102,-0.3351811121689625,6.661338147750939e-16,1025,Acrobot-v1,50,2.0
state_edmd_poly2,20,0.666148799920265,-0.4885836329245472,6.661338147750939e-16,965,Acrobot-v1,50,2.0
state_edmd_poly2,50,0.8110106570216286,-0.9260942325837225,6.661338147750939e-16,785,Acrobot-v1,50,2.0
state_edmd_poly3,1,0.1743383357141947,0.6142272579728403,6.661338147750939e-16,1079,Acrobot-v1,50,2.0
state_edmd_poly3,5,0.4133102528916573,0.08628706518375262,6.661338147750939e-16,1055,Acrobot-v1,50,2.0
state_edmd_poly3,10,0.7069300144652441,-0.5650249883730722,8.881784197001252e-16,1025,Acrobot-v1,50,2.0
state_edmd_poly3,20,0.742239455989468,-0.658616672474666,6.661338147750939e-16,965,Acrobot-v1,50,2.0
state_edmd_poly3,50,0.7896484570208081,-0.8753604846845469,6.661338147750939e-16,785,Acrobot-v1,50,2.0
