regime,count,mass_fraction,mean_reward,terminal_next_rate,terminal_risk_within_25,action_0_prob,action_1_prob,action_2_prob,action_purity,mean_tip_height,mean_theta1,mean_theta2
0,27,0.025023169601482854,-1.0,0.0,0.0,0.5555555555555556,0.07407407407407407,0.37037037037037035,0.5555555555555556,-0.8633776960015249,0.11222003112828004,1.3565095646518222
1,14,0.012974976830398516,-1.0,0.0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.9285714285714286,-0.44234902581534874,-0.0387151921453109,0.19016106284923423
2,18,0.016682113067655237,-1.0,0.0,0.16666666666666666,1.0,0.0,0.0,1.0,-0.5111565760285964,0.15825689968459733,-1.0743459413354188
3,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,12,0.011121408711770158,-1.0,0.0,0.3333333333333333,1.0,0.0,0.0,1.0,-1.3978343898995442,-0.009822367760195619,0.0482136735015144
5,3,0.0027803521779425394,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.08604702445460947,-0.7539550204904311,-1.717434933426894
6,16,0.014828544949026877,-0.9375,0.0625,0.375,0.9375,0.0625,0.0,0.9375,-0.1769384721854288,-0.344939719620893,-0.6595670239953001
7,25,0.023169601482854494,-1.0,0.0,0.4,0.96,0.0,0.04,0.96,-0.4894529941110531,0.13557429131622467,0.7649326682783913
8,44,0.04077849860982391,-1.0,0.0,0.045454545454545456,0.8636363636363636,0.06818181818181818,0.06818181818181818,0.8636363636363636,-0.39769726494606716,-0.15997201322653973,-1.9235695742722043
9,11,0.010194624652455977,-1.0,0.0,0.18181818181818182,1.0,0.0,0.0,1.0,-1.5407365141591496,0.22197905467811455,-0.606746299140121
10,73,0.06765523632993513,-0.9863013698630136,0.0136986301369863,0.0684931506849315,0.0136986301369863,0.0273972602739726,0.958904109589041,0.958904109589041,-0.4979468420987286,0.14022826999327057,-0.21035858283754652
11,2,0.0018535681186283596,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.18384866696997948,-1.8713408018177198,-2.2470505652628283
12,17,0.015755329008341055,-1.0,0.0,0.058823529411764705,0.0,0.0,1.0,1.0,-0.25056097377949305,0.05313323286575664,-0.862263630512561
13,27,0.025023169601482854,-1.0,0.0,0.1111111111111111,0.037037037037037035,0.0,0.9629629629629629,0.9629629629629629,-1.465181674724208,-0.15769385033272437,0.4863200539758168
14,7,0.006487488415199258,-1.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.7142857142857143,-1.903171448377311,0.09859033510969814,-0.08667444259203687
15,48,0.04448563484708063,-1.0,0.0,0.0,0.8125,0.0625,0.125,0.8125,-1.7735272782032148,0.07415949082710308,-0.6822135819081913
16,52,0.04819277108433735,-1.0,0.0,0.15384615384615385,0.0,0.019230769230769232,0.9807692307692307,0.9807692307692307,-0.42163500206041377,0.035999762895942575,0.3278393856414142
17,53,0.04911955514365153,-1.0,0.0,0.05660377358490566,0.018867924528301886,0.018867924528301886,0.9622641509433962,0.9622641509433962,-1.4389222760388922,0.010416613668195707,-0.04165294771010776
18,42,0.03892493049119555,-1.0,0.0,0.0,0.9285714285714286,0.023809523809523808,0.047619047619047616,0.9285714285714286,-1.8436702618809855,0.16828497775506918,-0.09682941050542321
19,10,0.009267840593141797,-1.0,0.0,0.0,0.9,0.1,0.0,0.9,-1.2896018018443232,-0.21055863961151067,0.30295584918603763
20,14,0.012974976830398516,-1.0,0.0,0.07142857142857142,1.0,0.0,0.0,1.0,-1.433796144739693,0.24766110339465838,-1.1433755148285056
21,10,0.009267840593141797,-1.0,0.0,0.1,0.0,0.1,0.9,0.9,-1.6247161285963414,0.08222507156228208,-0.276230274684565
22,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,47,0.04355885078776645,-0.9787234042553191,0.02127659574468085,0.14893617021276595,0.0425531914893617,0.02127659574468085,0.9361702127659575,0.9361702127659575,-0.25263447104447184,0.11862437791833993,-0.07811840847537574
