abstraction,label,horizon,error_mean,error_std,r2_mean,n_runs
kahkm_folding_nlms,KAHKM folding,1,0.0018889676089864325,0.0004562357296894672,0.99764679170533344,3
kahkm_folding_nlms,KAHKM folding,2,0.0041622233217389641,0.0008380060405491777,0.994817253420333,3
kahkm_folding_nlms,KAHKM folding,5,0.009217609329857844,0.0016159797601853982,0.98854226581739424,3
kahkm_folding_nlms,KAHKM folding,10,0.015247138511131556,0.002335141685010019,0.98110301001143307,3
kahkm_folding_nlms,KAHKM folding,20,0.026040042912888636,0.0022279807452926579,0.96791476878682448,3
kahkm_folding_nlms,KAHKM folding,50,0.083550321255549911,0.0033059742518589423,0.89865869777840501,3
kahkm_folding_nlms,KAHKM folding,100,0.16391436858519939,0.010935486226646507,0.79704569677663384,3
kahkm_folding_nlms,KAHKM folding,200,0.17955130008636258,0.032116408095557221,0.75785034075307711,3
kmeans_rbf_nlms,KMeans RBF,1,0.030062241581416183,0.00076983510138195119,0.96724076631639289,3
kmeans_rbf_nlms,KMeans RBF,2,0.09223055273252985,0.0013105415147461445,0.89952881556516184,3
kmeans_rbf_nlms,KMeans RBF,5,0.27154948832245435,0.002127441391881279,0.70449218635534605,3
kmeans_rbf_nlms,KMeans RBF,10,0.39982840264319613,0.0055427928679834234,0.56568680944935668,3
kmeans_rbf_nlms,KMeans RBF,20,0.49268702397436298,0.021570237784675983,0.46648029197760921,3
kmeans_rbf_nlms,KMeans RBF,50,0.62907666457260969,0.015064239305140895,0.32406987155908462,3
kmeans_rbf_nlms,KMeans RBF,100,0.70712143857124043,0.022916076252510902,0.23335536837383675,3
kmeans_rbf_nlms,KMeans RBF,200,0.81858512121706306,0.028609159238903205,0.07953845179600276,3
kmeans_distance_nlms,KMeans distance,1,0.092138037179618645,0.0054989558504943666,0.90009279285345156,3
kmeans_distance_nlms,KMeans distance,2,0.19463980704541306,0.010595701374530761,0.78898629047972568,3
kmeans_distance_nlms,KMeans distance,5,0.44290150311054149,0.023643698262528153,0.52021830688934867,3
kmeans_distance_nlms,KMeans distance,10,0.63405723169649875,0.022949333661539634,0.31441493228737655,3
kmeans_distance_nlms,KMeans distance,20,0.77203059468974955,0.014769930528351528,0.167765698009778,3
kmeans_distance_nlms,KMeans distance,50,0.98146431578885041,0.07502237567414502,-0.050967792096859053,3
kmeans_distance_nlms,KMeans distance,100,1.03989475265881,0.075879403196177933,-0.12247381877671944,3
kmeans_distance_nlms,KMeans distance,200,1.0671876398724709,0.11428453497764575,-0.18869544444861663,3
kmeans_hard_nlms,KMeans hard,1,0.11212377388042986,0.0030466564558675573,0.87917176112949669,3
kmeans_hard_nlms,KMeans hard,2,0.21499098319515741,0.0061526834571373487,0.7683626753588686,3
kmeans_hard_nlms,KMeans hard,5,0.43384980587309707,0.012937937120860298,0.53284898952703508,3
kmeans_hard_nlms,KMeans hard,10,0.58604914706723676,0.011911335987372687,0.37001842171224392,3
kmeans_hard_nlms,KMeans hard,20,0.74069759126068802,0.012451871425802018,0.20601951712961505,3
kmeans_hard_nlms,KMeans hard,50,0.94177655589715747,0.044244776317170796,-0.0027723328318748353,3
kmeans_hard_nlms,KMeans hard,100,1.0660541576131917,0.066144532049246738,-0.14352278105248253,3
kmeans_hard_nlms,KMeans hard,200,1.0924905991638607,0.076883969278470091,-0.21143274118561836,3
