system,system_label,noise_level,noise_percent,horizon,error_mean,error_std,r2_mean,n_runs
duffing,Duffing,0,0,1,4.6451096426181632e-07,1.9373043289548255e-08,0.99415800433562307,3
duffing,Duffing,0,0,10,8.7773813993199557e-06,2.4456274221101961e-06,0.89987715077688624,3
duffing,Duffing,0,0,50,7.0263049900088606e-05,4.0048605314745871e-05,0.25065054368681433,3
duffing,Duffing,0,0,100,9.4940343079555104e-05,4.9157198784003767e-05,-0.063619722639710496,3
duffing,Duffing,0,0,200,9.2325098842655219e-05,3.3072320170950825e-05,-0.096931250359419185,3
duffing,Duffing,0.0050000000000000001,0.5,1,6.0708178181109044e-07,1.1451754400255666e-07,0.99257776866690062,3
duffing,Duffing,0.0050000000000000001,0.5,10,2.1042990381798411e-05,9.1167886493786181e-06,0.75835487946769531,3
duffing,Duffing,0.0050000000000000001,0.5,50,0.0002348443741145761,0.00011617739826983921,-1.9694519011740119,3
duffing,Duffing,0.0050000000000000001,0.5,100,0.00036056268906341617,0.00017836295019582699,-3.4280142445212598,3
duffing,Duffing,0.0050000000000000001,0.5,200,0.00049116800775465352,0.00018120412749326971,-5.0314489859791101,3
duffing,Duffing,0.01,1,1,5.8153282768192138e-07,7.644854374960082e-08,0.99272199088430801,3
duffing,Duffing,0.01,1,10,1.995058421282593e-05,5.7055697457236388e-06,0.73896428658820346,3
duffing,Duffing,0.01,1,50,0.00025870360516894099,6.8866409635755574e-05,-2.7956987140993466,3
duffing,Duffing,0.01,1,100,0.00034646880683500978,0.00010781927511494235,-4.2462435109664289,3
duffing,Duffing,0.01,1,200,0.00052892331259928624,0.00028785998722369782,-6.6973281057467418,3
duffing,Duffing,0.02,2,1,1.0400433400005224e-05,1.6596344975958303e-05,0.96057146674407667,3
duffing,Duffing,0.02,2,10,0.00012047183142143239,0.00014228220743019263,0.29148785409355088,3
duffing,Duffing,0.02,2,50,0.0012721973781160531,0.0013995566308057038,-7.6486510370978138,3
duffing,Duffing,0.02,2,100,0.0018331845248743079,0.0017642052729937403,-15.039194010628838,3
duffing,Duffing,0.02,2,200,0.0019180753369976641,0.0017242164904945035,-13.7875896516778,3
duffing,Duffing,0.050000000000000003,5,1,1.4687333595776264e-05,1.4445247901269108e-05,0.77179974245487426,3
duffing,Duffing,0.050000000000000003,5,10,0.0012936876064305999,0.0012934338778846186,-19.419346305129995,3
duffing,Duffing,0.050000000000000003,5,50,0.016256915560231299,0.017197681648020151,-280.53755891003351,3
duffing,Duffing,0.050000000000000003,5,100,0.018868153618110287,0.020064105971651643,-316.89398806817275,3
duffing,Duffing,0.050000000000000003,5,200,0.02852082349120914,0.0226369771164096,-473.74017517801434,3
vanderpol,Van der Pol,0,0,1,0.0018889676089864325,0.00045623572968946763,0.99764679170533344,3
vanderpol,Van der Pol,0,0,10,0.015247138511131547,0.0023351416850100142,0.98110301001143307,3
vanderpol,Van der Pol,0,0,50,0.083550321255549953,0.0033059742518588612,0.89865869777840501,3
vanderpol,Van der Pol,0,0,100,0.16391436858519937,0.010935486226646222,0.79704569677663384,3
vanderpol,Van der Pol,0,0,200,0.17955130008636308,0.032116408095556666,0.75785034075307645,3
vanderpol,Van der Pol,0.0050000000000000001,0.5,1,0.00087564098577928124,9.2758521492487155e-05,0.99889698885613976,3
vanderpol,Van der Pol,0.0050000000000000001,0.5,10,0.017096843486367627,0.0025423950465933349,0.97859526510053374,3
vanderpol,Van der Pol,0.0050000000000000001,0.5,50,0.087461366317277259,0.0080709681856537731,0.89298563559613908,3
vanderpol,Van der Pol,0.0050000000000000001,0.5,100,0.17376027842685846,0.0094583804711220604,0.78321439711018359,3
vanderpol,Van der Pol,0.0050000000000000001,0.5,200,0.18297245879224963,0.0021191826196110338,0.75080528384369727,3
vanderpol,Van der Pol,0.01,1,1,0.00071630706962067762,8.4888587330182933e-05,0.99909047838692278,3
vanderpol,Van der Pol,0.01,1,10,0.018674806815267023,0.0019184257137266345,0.97641545491172277,3
vanderpol,Van der Pol,0.01,1,50,0.10400549681932396,0.0042814152177797484,0.87181079885035062,3
vanderpol,Van der Pol,0.01,1,100,0.18503348817424181,0.0043358857562160675,0.76715923200451808,3
vanderpol,Van der Pol,0.01,1,200,0.20092778588888496,0.0075916974528571352,0.72306070312305482,3
vanderpol,Van der Pol,0.02,2,1,0.00067218888181837765,5.661892270554981e-05,0.99914799380738162,3
vanderpol,Van der Pol,0.02,2,10,0.022049903914996311,0.0035203611675267811,0.97218047535098473,3
vanderpol,Van der Pol,0.02,2,50,0.14863309144287676,0.030089591631051453,0.81633023183835884,3
vanderpol,Van der Pol,0.02,2,100,0.27566208602581255,0.070775115938605249,0.65203867865623233,3
vanderpol,Van der Pol,0.02,2,200,0.37023369390709487,0.11849567894830124,0.49276131848177646,3
vanderpol,Van der Pol,0.050000000000000003,5,1,0.0013734058076235432,6.409781056308099e-05,0.99823770228333786,3
vanderpol,Van der Pol,0.050000000000000003,5,10,0.057198560891111673,0.0012137742222479129,0.92708388187334967,3
vanderpol,Van der Pol,0.050000000000000003,5,50,0.37442405315683014,0.044590938135472442,0.53591637493263355,3
vanderpol,Van der Pol,0.050000000000000003,5,100,0.59211813424186832,0.077293902390220631,0.25078510761176426,3
vanderpol,Van der Pol,0.050000000000000003,5,200,0.70458112224343095,0.11389989017714638,0.011481567527118819,3
