method,method_label,horizon,error_mean,error_std,r2_mean,r2_std,n_runs
kahkm_nlms,KAHKM + NLMS,1,0.00022780437118376869,9.6454423621487547e-05,0.99904609238298114,0.0003447187060017037,3
kahkm_nlms,KAHKM + NLMS,10,0.0069751027504875258,0.0015899089468617812,0.96963338270993005,0.0041439093691661702,3
kahkm_nlms,KAHKM + NLMS,50,0.031227018465429426,0.002764846511863608,0.83054653202740492,0.01099797381815148,3
kahkm_nlms,KAHKM + NLMS,100,0.031648650967606322,0.003541879946503432,0.78943499036505704,0.0085413706766100488,3
kahkm_nlms,KAHKM + NLMS,200,0.022897682346512325,0.0045043948428118681,0.75290409561755622,0.0060203021183974602,3
state_dmd,State DMD,1,0.00038153372107367032,3.6270758426699356e-05,0.99837279198365092,8.3053297402216765e-05,3
state_dmd,State DMD,10,0.029070044941835942,0.0015741289113592875,0.87188360588488256,0.0065513494546203819,3
state_dmd,State DMD,50,0.34570279418742672,0.029711354013731452,-0.87612200800171391,0.12004721831171926,3
state_dmd,State DMD,100,0.60958172212176576,0.036391364858490739,-3.0790396334899213,0.40110084517651773,3
state_dmd,State DMD,200,0.54641717565697989,0.024577299266563022,-5.0254248758766753,0.98176743360266172,3
state_edmd_poly2,State EDMD poly2,1,1.6618791943192298e-05,2.7971530132192285e-05,0.99993270251134103,0.000112979395907291,3
state_edmd_poly2,State EDMD poly2,10,3.1713556238805077e-05,2.2956500536827455e-05,0.99986315029876638,9.0044645497511068e-05,3
state_edmd_poly2,State EDMD poly2,50,0.00021833301327311671,5.8601617540190117e-05,0.99882742876716224,0.00021150800578449529,3
state_edmd_poly2,State EDMD poly2,100,0.0011364524576618505,0.00045070669988521797,0.99264930737878398,0.0020872489640551923,3
state_edmd_poly2,State EDMD poly2,200,0.0012068155617518106,0.00016529270797416363,0.98678239392710176,0.0018762013426519499,3
state_edmd_poly3,State EDMD poly3,1,1.1742651909574378e-06,1.3374485315437524e-06,0.99999514716487548,5.321283777235466e-06,3
state_edmd_poly3,State EDMD poly3,10,2.497879074115134e-05,2.3777855258813548e-05,0.99989469308166734,9.4857623135452516e-05,3
state_edmd_poly3,State EDMD poly3,50,6.0534607406409885e-05,3.387218527991438e-05,0.99967713737350061,0.00015306028484496682,3
state_edmd_poly3,State EDMD poly3,100,0.00011223972847533597,3.1466214636000881e-05,0.99926585983953464,0.00011583139552908508,3
state_edmd_poly3,State EDMD poly3,200,0.00018666359619357086,9.8332244180435318e-05,0.99805913068099483,0.00078724161510902453,3
