method,method_label,horizon,error_mean,error_std,r2_mean,r2_std,n_runs
kahkm_nlms,KAHKM + NLMS,1,0.0016147959031927331,4.3196962936761251e-05,0.99803358713058454,4.9451234239459377e-05,3
kahkm_nlms,KAHKM + NLMS,10,0.012106261452586286,0.0012179709772268768,0.98527215414565295,0.0014591261881258314,3
kahkm_nlms,KAHKM + NLMS,50,0.071056825283752845,0.0023676180418989432,0.914183706202361,0.0027423979976774725,3
kahkm_nlms,KAHKM + NLMS,100,0.16375244493632723,0.00072494695464056784,0.80324756813089548,0.00089924119265783668,3
kahkm_nlms,KAHKM + NLMS,200,0.16221708820433353,0.0015273315930242814,0.80330134601406533,0.0013715486915346375,3
state_dmd,State DMD,1,0.029456193204544057,0.00075066243386711056,0.96412980195949427,0.00085398915655165151,3
state_dmd,State DMD,10,0.33029605773270637,0.006695231693535671,0.59812484587929804,0.0088906066682863591,3
state_dmd,State DMD,50,0.66587538190043283,0.0036287295842095659,0.1957835155785225,0.0056799197091060467,3
state_dmd,State DMD,100,0.88580037598279393,0.011274383841647992,-0.06431596057737414,0.014279572772068179,3
state_dmd,State DMD,200,0.55449572486813248,0.00091605664188271446,0.32762618456511278,0.0027266112339437275,3
state_edmd_poly2,State EDMD poly2,1,0.028815040077301218,0.00065398996261368614,0.96491043729493919,0.00073859492751834357,3
state_edmd_poly2,State EDMD poly2,10,0.33004973555632877,0.0067697939070053767,0.59842405902490448,0.0090059458265209797,3
state_edmd_poly2,State EDMD poly2,50,0.68699239299537063,0.004385696764151268,0.17027781069429127,0.0067530230437468051,3
state_edmd_poly2,State EDMD poly2,100,0.87964225721041078,0.010231275957136417,-0.056916267189901427,0.013020835532793328,3
state_edmd_poly2,State EDMD poly2,200,0.54802625688932893,0.0016274973813013324,0.33546954700225368,0.0035781281493884672,3
state_edmd_poly3,State EDMD poly3,1,1.2734411992606781e-07,2.1048575223341941e-08,0.99999984494523819,2.544082945544466e-08,3
state_edmd_poly3,State EDMD poly3,10,0.00047573169740769395,1.7592018956839029e-05,0.99942118560489013,2.1421840790059964e-05,3
state_edmd_poly3,State EDMD poly3,50,0.2943399887392627,0.012147668054433295,0.64449339838619102,0.01530622796668564,3
state_edmd_poly3,State EDMD poly3,100,0.43909943925538591,0.018888712124419428,0.47240145304918907,0.023064824036112187,3
state_edmd_poly3,State EDMD poly3,200,0.40532783653325472,0.0099169911565016484,0.50848677293468025,0.013242748995508903,3
