task,task_label,C,selected_omega,E1,R2_1,E50,R2_50
CartPole-v1,CartPole,10,2,0.1439349810014777,0.15205462643682766,0.18141705235754493,-0.083680920473244269
CartPole-v1,CartPole,15,2,0.13206572515638465,0.25873249630409989,0.18267565874104941,-0.024060440917551107
CartPole-v1,CartPole,20,2,0.14336540753022625,0.27434481253208853,0.1908104838974404,0.02624217075957147
CartPole-v1,CartPole,30,2,0.15681471832055532,0.16793279971302388,0.16940343028988325,0.091171662035164247
CartPole-v1,CartPole,50,2,0.15595236150869352,0.13094725899863435,0.15778260881041745,0.11514390617598647
CartPole-v1,CartPole,80,2,0.15845883554548226,0.010744522713106663,0.1444807167676268,0.094073137556426545
CartPole-v1,CartPole,100,2,0.16091216167150552,-0.062674962858154437,0.13677091917374543,0.097223959753151457
MountainCar-v0,MountainCar,10,2,0.0022088206794802761,0.990195576671136,0.70907992989157631,-1.3358878882291885
MountainCar-v0,MountainCar,15,2,0.0021766401788572399,0.99073152898851846,0.9139815899316216,-1.8988758318807877
MountainCar-v0,MountainCar,20,2,0.0041389669297030602,0.98137002409907514,0.68769163659803356,-1.3553319952862872
MountainCar-v0,MountainCar,30,2,0.0035592786241009366,0.98087674345492382,0.599924671107536,-1.5333593052829997
MountainCar-v0,MountainCar,50,2,0.0050572751587158529,0.97029553990203887,0.46262874059401549,-1.3396171605375087
MountainCar-v0,MountainCar,80,2,0.0061557249378569314,0.9626963145290538,0.43670904637736396,-1.4435217795603128
MountainCar-v0,MountainCar,100,2,0.0072407581695999078,0.95811223486730668,0.39421047240452339,-1.1867522880660921
