task,n_clusters,omega,E1,R2_1,E50,R2_50,mean_E_1_5_10_20_50,simplex_violation_1
CartPole-v1,10,1,0.07878300901001781,-0.2314120889770972,0.09882252267759785,-0.5513446778343158,0.08977228041447531,1.1102230246251565e-15
CartPole-v1,10,2,0.18801169754825003,-0.14854814987581166,0.25699583493934797,-0.584317652698729,0.2212187230158098,9.992007221626409e-16
CartPole-v1,20,1,0.0735445001394032,-0.07038584565892458,0.08960596250017071,-0.3026186230737151,0.08272919640721181,8.881784197001252e-16
CartPole-v1,20,2,0.168915070543963,0.09334379423215056,0.2434652254234309,-0.3062075711808787,0.21103268566273742,1.5543122344752192e-15
CartPole-v1,20,4,0.28841584694842537,0.21791957068115675,0.4958344451515575,-0.3371770679553252,0.38772604470177646,0.03831022330875916
MountainCar-v0,10,1,0.0009007244625442272,0.9895639281552793,0.8509574447454894,-5.75521736793339,0.21249038602514977,5.551115123125783e-16
MountainCar-v0,20,1,0.0021133471032034647,0.9739864341497163,0.41907066916080093,-2.637897623978463,0.1259469785403668,1.2212453270876722e-15
MountainCar-v0,20,2,0.004268084060384435,0.9797459568760382,0.6960406488382701,-1.533915229997311,0.2587582042657276,8.881784197001252e-16
MountainCar-v0,20,4,0.005707053184683146,0.9854602248954513,2.460636797656687,-4.39231018283105,0.7029712488702022,0.0007416180763826028
MountainCar-v0,100,1,0.003312295153604829,0.9431151787353816,0.12577813590346149,-1.1369943152091846,0.05932745485879702,2.4424906541753444e-15
