experiment,random_state,n_steps,dt,data_seed,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,rollout_mode,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,1,300,4.509564973592526e-05,0.9724622606916564,0.00018042512111800322
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,2,299,8.819262957867152e-05,0.9461346957539789,0.00034440096825941765
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,5,296,0.00024132847324089194,0.8524186535131187,0.0007069255484073269
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,10,291,0.0005064118294360997,0.6885535061505965,0.0011144575418453712
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,20,281,0.001013173597867589,0.360900806349558,0.00195847043475641
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,50,251,0.0016541538893984355,-0.6456616580858603,0.006253017782742929
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,100,201,0.0013623299503900262,-1.6670284030980769,0.0044007481076717946
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,200,101,0.0016358492898372959,-10.754146189428765,0.0039770488855778935
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,300,4.504695318608621e-05,0.9724919973270645,5.551115123125783e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,299,8.801174734515758e-05,0.9462451729739855,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,296,0.0002404738799786491,0.8529412691110492,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,291,0.0005044653035466454,0.6897506319447009,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,281,0.0010139487882932614,0.3604118244248261,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,251,0.0017890277096528331,-0.7798430520267499,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,201,0.0017138890186938394,-2.3552743161124186,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,101,0.0018199031401815,-12.07663712860825,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,1,300,4.5031105955555e-05,0.9725016744667816,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,2,299,8.794417297943547e-05,0.9462864452864933,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,5,296,0.00023999796803030618,0.8532323069865324,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,10,291,0.0005025413000541002,0.6909339063215545,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,20,281,0.001006148313687954,0.3653322813345158,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,50,251,0.0017474090137161171,-0.7384380215749005,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,100,201,0.001762596493058145,-2.4506287620273635,5.551115123125783e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,200,101,0.0019146164547520711,-12.757185240505876,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,1,300,7.899336887742692e-05,0.9517625577639376,5.551115123125783e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,2,299,0.0002218206716220178,0.8645188603394773,5.551115123125783e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,5,296,0.001041401323052645,0.36314431767893574,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,10,291,0.003491061101826489,-1.147024766756739,5.551115123125783e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,20,281,0.011464589549727837,-6.231741877389414,6.661338147750939e-16
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,50,251,0.047751711106370914,-46.50655944370787,1.1102230246251565e-15
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,100,201,0.11419327740059414,-222.5557650208378,1.3322676295501878e-15
04_duffing_kahkm_projection_diagnostics,0,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,200,101,0.23828643322484633,-1711.1709123711366,1.5543122344752192e-15
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,1,300,6.870653233891937e-07,0.9992224817173452,4.4948241369699846e-05
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,2,299,1.9732320126420024e-06,0.9977635277352229,9.41332213145118e-05
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,5,296,9.155118929149741e-06,0.9895638332898272,0.000234903168637102
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,10,291,3.047475518379273e-05,0.9647119123719116,0.0004502106582404826
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,20,281,9.462595369808308e-05,0.8835819191992436,0.0008394798437032987
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,50,251,0.00030855069578634433,0.5149795581507723,0.0016844603682915223
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,100,201,0.00040146560433563356,0.1826383155004413,0.0019003900272743998
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,200,101,0.000443562569293529,-2.1585638770985147,0.0005247841190851096
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,300,6.793965900624122e-07,0.999231160048449,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,299,1.9424661038166215e-06,0.9977983979893784,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,296,8.9723036376712e-06,0.9897722293657061,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,291,2.981393249123728e-05,0.9654771086447245,3.3306690738754696e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,281,9.259502478373781e-05,0.8860805661054107,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,251,0.0003055620361890028,0.5196775251890424,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,201,0.00041341017832485045,0.15831982591871907,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,101,0.0004883511675524787,-2.4774989233805176,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,1,300,6.788449094123517e-07,0.9992317843585067,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,2,299,1.939427948696306e-06,0.9978018414514848,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,5,296,8.948402625356045e-06,0.9897994747735477,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,10,291,2.9705901802518377e-05,0.9656022022307778,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,20,281,9.213730689614793e-05,0.8866436953098086,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,50,251,0.00030340743000280176,0.5230644177117736,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,100,201,0.00041075656282551885,0.1637224397693804,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,200,101,0.00048335121865228717,-2.4418947965295152,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,1,300,1.3469278294496898e-05,0.9847574753496837,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,2,299,5.252308048947857e-05,0.9404700450718427,6.661338147750939e-16
